run_id,seed,a1_pairs,a1_revive,a1_max_dcos,a1_max_dwnorm,a1d_pairs,a1d_revive,a2_n,a2_n_plus,a2_n_minus,a2_n_zero,a2_p_plus,a2_p_minus,a2_n_unit,a2_n_visit,a2_visit,a2_xmax_med,a2_xmax_max,a2d_terminal_revive,a2_dx_mean,a2_dx_sd,a5_rho,a5_n_window,a6_rho_ratio_vs_edx,a6_ratio_med,a6_ratio_q05,a6_ratio_q95,a6_frac_window_ratio_gt1,a6_frac_unit_ratio_gt1
A_w100_T10000_std_lr0.01_s0,0,1679697,0,0.0,0.0,8200,847,13966,6978,6988,0,0.49964198768437634,0.5003580123156237,100,93,0.93,0.950669527053833,4.894562721252441,0,-0.006747568491846323,0.12359032779932022,0.5335133513351336,100,0.25062106210621066,0.9853305518627167,0.8796802222728729,1.036805945634842,0.19,0.4425635182445603
A_w100_T10000_std_lr0.01_s1,1,1663063,0,0.0,0.0,8124,900,14616,7169,7428,19,0.4904898741105638,0.5082101806239737,100,95,0.95,0.8670612573623657,4.195400238037109,0,-0.00791047140955925,0.13535676896572113,0.5336813681368137,100,0.37824182418241825,0.9735104143619537,0.8552459746599197,1.0124195873737334,0.14,0.4206093563983576
A_w100_T10000_std_lr0.01_s2,2,1506921,0,0.0,0.0,7426,1045,20154,9991,10092,71,0.4957328570010916,0.5007442691277166,100,99,0.99,0.8549714684486389,2.901379346847534,0,-0.0036171446554362774,0.08773738145828247,0.5655325532553256,100,0.25471347134713473,0.9921937584877014,0.8560906201601028,1.0118267595767976,0.16,0.4230120925241733
A_w100_T10000_std_lr0.01_s3,3,1718569,0,0.0,0.0,8388,830,12417,6152,6265,0,0.4954497865829105,0.5045502134170895,100,92,0.92,0.9222983717918396,3.23174786567688,0,-0.006568782962858677,0.12904956936836243,0.6572457245724572,100,0.17803339517625233,0.97381991147995,0.8774575412273407,1.0722254753112792,0.22,0.43953049181571396
A_w100_T10000_std_lr0.01_s4,4,1761833,0,0.0,0.0,8582,771,10818,5280,5538,0,0.48807542983915697,0.511924570160843,100,93,0.93,0.972617506980896,4.899824142456055,0,-0.010299288667738438,0.16719314455986023,0.5706210621062107,100,0.06918691869186919,0.9725334346294403,0.8648985326290131,1.0222960770130158,0.19,0.42562594332916953
A_w100_T10000_std_lr0.01_s5,5,1451297,0,0.0,0.0,7177,1057,22248,11424,10800,24,0.5134843581445523,0.4854368932038835,100,99,0.99,1.0234321355819702,4.031922340393066,0,-0.0021535162813961506,0.06408849358558655,0.37416141614161413,100,0.22099009900990096,0.9973711669445038,0.9630142360925674,1.0019103825092315,0.16,0.43698285552515853
A_w100_T10000_std_lr0.01_s6,6,1732211,0,0.0,0.0,8488,965,11603,5598,6005,0,0.48246143238817546,0.5175385676118245,100,95,0.95,0.7543584704399109,3.7523560523986816,0,-0.008101782761514187,0.13555721938610077,0.38876687668766874,100,0.2433843384338434,0.9839526116847992,0.8870555460453033,1.0449553847312927,0.18,0.44765184706800876
A_w100_T10000_std_lr0.01_s7,7,1702742,0,0.0,0.0,8353,935,12722,6307,6415,0,0.4957553843735262,0.5042446156264738,100,93,0.93,0.8738967180252075,4.3734130859375,0,-0.0067685442045331,0.12564119696617126,0.31303355456521875,98,0.1227231286141448,0.983170747756958,0.8870568037033081,1.0406725883483885,0.15306122448979592,0.4330128005681096
A_w100_T10000_std_lr0.01_s8,8,1552686,0,0.0,0.0,7643,1019,18390,9237,8963,190,0.5022838499184339,0.48738444806960307,100,96,0.96,1.010434865951538,3.4133200645446777,0,-0.004164233338087797,0.08801718056201935,0.4068800764452937,91,0.18330658105939002,0.9942692816257477,0.9380408197641372,1.0289355278015135,0.12087912087912088,0.4326275614201833
A_w100_T10000_std_lr0.01_s9,9,1706274,0,0.0,0.0,8372,949,12558,6189,6369,0,0.49283325370281894,0.5071667462971811,100,96,0.96,0.8306030035018921,4.735947608947754,0,-0.008197157643735409,0.11985091865062714,0.22235823582358236,100,0.3105790579057906,0.9887830913066864,0.897209244966507,1.023236232995987,0.16,0.4378157597216351
