arm,endpoint,seed,delta_minus_ref
cap1,E1,0,4.8124999999954454e-05
cap1,E1,1,0.000485624999999934
cap1,E1,2,0.00010291666666673027
cap1,E1,3,8.333333333387927e-07
cap1,E1,4,0.0014302083333332938
cap1,E1,5,4.166666667249075e-07
cap1,E1,6,0.0008960416666665694
cap1,E1,7,0.00222375000000008
cap1,E1,8,0.0021379166666666283
cap1,E1,9,2.4166666666602943e-05
cap1,E2,0,1.4691545764389247e-06
cap1,E2,1,2.2750790983461222e-05
cap1,E2,2,4.8395539223866635e-06
cap1,E2,3,0.0
cap1,E2,4,7.474804003038127e-05
cap1,E2,5,0.0
cap1,E2,6,3.231932461267295e-05
cap1,E2,7,0.00011495053515830911
cap1,E2,8,0.00013077657449245272
cap1,E2,9,6.70551101311645e-07
cap2,E1,0,0.0015841666666666088
cap2,E1,1,0.010466666666666624
cap2,E1,2,0.004522083333333371
cap2,E1,3,0.015631874999999962
cap2,E1,4,0.005249166666666638
cap2,E1,5,0.014384375000000116
cap2,E1,6,0.024196874999999896
cap2,E1,7,8.333333333387927e-07
cap2,E1,8,0.00967895833333332
cap2,E1,9,0.011189166666666694
cap2,E2,0,0.0001227614166736668
cap2,E2,1,0.0009726131323775089
cap2,E2,2,0.00044946737075846066
cap2,E2,3,0.0016026416629651985
cap2,E2,4,0.00042725198847060053
cap2,E2,5,0.001363955416530338
cap2,E2,6,0.0026774515466193582
cap2,E2,7,1.9872992140790302e-14
cap2,E2,8,0.0009343760676284729
cap2,E2,9,0.0010383835886716986
cap12,E1,0,0.7354060416666667
cap12,E1,1,0.7309979166666666
cap12,E1,2,0.7213558333333334
cap12,E1,3,0.7248952083333333
cap12,E1,4,0.7364764583333333
cap12,E1,5,0.7473091666666667
cap12,E1,6,0.7304412499999999
cap12,E1,7,0.7381714583333334
cap12,E1,8,0.7434983333333334
cap12,E1,9,0.7386479166666666
cap12,E2,0,0.21655166990058616
cap12,E2,1,0.2021175559910635
cap12,E2,2,0.18861015226084987
cap12,E2,3,0.20743721091997624
cap12,E2,4,0.20579502393472193
cap12,E2,5,0.22745742820262904
cap12,E2,6,0.20159690975555777
cap12,E2,7,0.21193748003373536
cap12,E2,8,0.22507459303885702
cap12,E2,9,0.2171591206387381
cap12_bfix,E1,0,0.7446729166666668
cap12_bfix,E1,1,0.7496237499999999
cap12_bfix,E1,2,0.7359133333333334
cap12_bfix,E1,3,0.74941
cap12_bfix,E1,4,0.7536750000000001
cap12_bfix,E1,5,0.7579339583333335
cap12_bfix,E1,6,0.7425735416666667
cap12_bfix,E1,7,0.7463914583333333
cap12_bfix,E1,8,0.7490031250000001
cap12_bfix,E1,9,0.7466154166666666
cap12_bfix,E2,0,0.45016674285362157
cap12_bfix,E2,1,0.43745119670911636
cap12_bfix,E2,2,0.4510420075400869
cap12_bfix,E2,3,0.44870473203205075
cap12_bfix,E2,4,0.4404098651495774
cap12_bfix,E2,5,0.46388771448098615
cap12_bfix,E2,6,0.4699204396156172
cap12_bfix,E2,7,0.4560447767175436
cap12_bfix,E2,8,0.4381038378786842
cap12_bfix,E2,9,0.4724029758595527
