arm,endpoint,window,level,n,mean,sd,lo,hi,sign,degenerate,floor_state,label,role
cap1,E1,51-100,0.975,10,0.0007349999999999857,0.0008951233728506161,-2.5026861529685957e-05,0.0014950268615296573,0,False,FLOORED,COLLAPSED,report
cap1,E2,51-100,0.975,10,3.825245248774145e-05,5.03973906006442e-05,-4.538711020269073e-06,8.104361599575197e-05,0,False,FLOORED,COLLAPSED,report
cap1,E1,51-100,0.95,10,0.0007349999999999857,0.0008951233728506161,9.466731353563712e-05,0.001375332686464334,+,False,FLOORED,COLLAPSED,component
cap1,E2,51-100,0.95,10,3.825245248774145e-05,5.03973906006442e-05,2.200331078674844e-06,7.430457389680806e-05,+,False,FLOORED,COLLAPSED,component
cap2,E1,51-100,0.975,10,0.009690416666666656,0.007277485352479617,0.0035112859233157045,0.015869547410017608,+,False,SPLIT,SPLIT,report
cap2,E2,51-100,0.975,10,0.0009588902190715177,0.0007958076193432928,0.0002831898791455027,0.0016345905589975327,+,False,SPLIT,SPLIT,report
cap2,E1,51-100,0.95,10,0.009690416666666656,0.007277485352479617,0.0044844172616707685,0.014896416071662543,+,False,SPLIT,SPLIT,component
cap2,E2,51-100,0.95,10,0.0009588902190715177,0.0007958076193432928,0.00038960374275030275,0.0015281766953927326,+,False,SPLIT,SPLIT,component
cap12,E1,51-100,0.975,10,0.7347199583333333,0.007984236096192155,0.7279407432151134,0.7414991734515531,+,False,ALIVE,RESCUED,main
cap12,E2,51-100,0.975,10,0.21037371446767153,0.011752351502210313,0.20039508682959167,0.2203523421057514,+,False,ALIVE,RESCUED,main
cap12,E1,51-100,0.95,10,0.7347199583333333,0.007984236096192155,0.7290083799030228,0.7404315367636437,+,False,ALIVE,RESCUED,report
cap12,E2,51-100,0.95,10,0.21037371446767153,0.011752351502210313,0.2019665886591719,0.21878084027617117,+,False,ALIVE,RESCUED,report
cap12_bfix,E1,51-100,0.975,10,0.7475812500000001,0.006017331296008742,0.7424720845392374,0.7526904154607628,+,False,ALIVE,RESCUED,report
cap12_bfix,E2,51-100,0.975,10,0.45281342888368376,0.012661071070099016,0.4420632301950194,0.4635636275723481,+,False,ALIVE,RESCUED,report
cap12_bfix,E1,51-100,0.95,10,0.7475812500000001,0.006017331296008742,0.7432767105018875,0.7518857894981127,+,False,ALIVE,RESCUED,component
cap12_bfix,E2,51-100,0.95,10,0.45281342888368376,0.012661071070099016,0.44375624425670435,0.46187061351066316,+,False,ALIVE,RESCUED,component
