step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,neg_gate_frac,eval_loss
0,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.78125,4.64296,0.145138,0.447619,0,1.50977,76.7048,0.0196829,4.89279,0.29398,3.4016,0,1.3843
0,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.71417,4.08579,0.21571,0.466667,0,1.33344,74.1935,0.0179725,4.77652,0.409112,2.44432,0,1.16779
0,B_w5_K10000_c0.0_lr0.01_s2,0,0,0,4.81246,4.32585,0.218281,0.466667,0,2.86988,142.865,0.0200881,4.75667,0.393601,2.54064,0,1.93337
0,B_w5_K10000_c0.0_lr0.01_s3,0,0,0,4.75925,4.58869,0.183447,0.485714,0,1.99607,103.62,0.0192633,4.87886,0.316846,3.15611,0,2.48308
0,B_w5_K10000_c0.0_lr0.01_s4,0,0,0,4.65948,4.2607,0.187638,0.580952,0,0.933241,64.3572,0.014501,4.8005,0.323389,3.09226,0,1.54601
0,B_w5_K10000_c2.0_lr0.01_s0,0,0,0,4.59836,4.09836,0.243274,0.504762,0,9.66151,102.37,0.0943782,4.80298,0.41446,2.41278,0,1.86301
0,B_w5_K10000_c2.0_lr0.01_s1,0,0,0,3.84787,2.77668,0.29933,0.466667,0,31.2641,302.893,0.103218,4.66859,0.427648,2.33837,0,3.51902
0,B_w5_K10000_c2.0_lr0.01_s2,0,0,0,4.56447,3.80392,0.197311,0.485714,0,23.691,303.226,0.0781299,4.88014,0.370896,2.69617,0,3.31684
0,B_w5_K10000_c2.0_lr0.01_s3,0,0,0,4.28226,3.33021,0.119409,0.495238,0,3.63959,40.5706,0.0897102,4.92112,0.273599,3.65498,0,2.76987
0,B_w5_K10000_c2.0_lr0.01_s4,0,0,0,4.64579,4.41864,0.19801,0.52381,0,21.7397,329.208,0.0660364,4.84029,0.314753,3.17709,0,2.73438
1000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.72328,4.59003,0.147747,0.52381,0,0.00876214,1.31408,0.00666788,4.92131,0.29822,3.35322,0,0.0700134
1000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.68056,3.94218,0.266298,0.457143,0,0.00373307,0.33072,0.0112877,4.65836,0.424306,2.35679,0,0.125543
1000,B_w5_K10000_c0.0_lr0.01_s2,0,0,0,4.81977,4.35976,0.197241,0.438095,0,0.00612442,0.729308,0.00839757,4.8,0.381538,2.62097,0,0.0900789
1000,B_w5_K10000_c0.0_lr0.01_s3,0,0,0,4.79285,4.51127,0.178401,0.485714,0,0.0273981,3.66537,0.00747485,4.87129,0.344049,2.90656,0,0.157004
1000,B_w5_K10000_c0.0_lr0.01_s4,0,0,0,4.58857,3.84825,0.168743,0.52381,0,0.0241837,6.35284,0.00380676,4.77257,0.390322,2.56199,0,0.20408
1000,B_w5_K10000_c2.0_lr0.01_s0,0,0,0,4.56373,3.88789,0.257458,0.495238,0,0.00432072,0.327653,0.0131869,4.77608,0.428484,2.33381,0,0.230039
1000,B_w5_K10000_c2.0_lr0.01_s1,0,0,0,3.81577,2.58854,0.251723,0.466667,0,0.0081177,0.321404,0.025257,4.74359,0.376528,2.65585,0,0.150965
1000,B_w5_K10000_c2.0_lr0.01_s2,0,0,0,4.51908,3.49584,0.170668,0.504762,0,0.0140831,2.56682,0.00548658,4.88199,0.352559,2.8364,0,0.147535
1000,B_w5_K10000_c2.0_lr0.01_s3,0,0,0,3.87322,2.39233,0.18154,0.476191,0,0.100332,4.10084,0.0244663,4.84233,0.321972,3.10586,0,0.143733
1000,B_w5_K10000_c2.0_lr0.01_s4,0,0,0,4.6325,4.24604,0.185458,0.504762,0,0.0197863,3.69428,0.00535593,4.82525,0.35856,2.78893,0,0.178998
2000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.65482,4.15828,0.172987,0.52381,0,0.0032013,0.620122,0.00516236,4.85688,0.364311,2.74491,0,0.0420736
2000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.70954,3.98723,0.266837,0.466667,0,0.00338491,0.341409,0.00991451,4.66893,0.419992,2.381,0,0.0944219
2000,B_w5_K10000_c0.0_lr0.01_s2,0,0,0,4.81202,4.35471,0.176626,0.419048,0,0.00354854,0.413591,0.00857984,4.82942,0.336087,2.97542,0,0.0542767
2000,B_w5_K10000_c0.0_lr0.01_s3,0,0,0,4.77639,4.1495,0.219793,0.466667,0,0.00746904,2.2475,0.00332327,4.76873,0.416964,2.39829,0,0.102883
2000,B_w5_K10000_c0.0_lr0.01_s4,0,0,0,4.51029,3.50075,0.187581,0.514286,0,0.023145,5.04485,0.00458785,4.68032,0.412352,2.42511,0,0.156041
2000,B_w5_K10000_c2.0_lr0.01_s0,0,0,0,4.56756,3.94783,0.21743,0.504762,0,0.0147334,1.52109,0.00968605,4.81374,0.393466,2.54151,0,0.102144
2000,B_w5_K10000_c2.0_lr0.01_s1,0,0,0,3.8381,2.75661,0.242746,0.466667,0,0.0111156,0.455839,0.024385,4.76674,0.367992,2.71745,0,0.0835424
2000,B_w5_K10000_c2.0_lr0.01_s2,0,0,0,4.39964,3.12061,0.23845,0.533333,0,0.0217639,1.95316,0.0111429,4.79268,0.418616,2.38882,0,0.119739
2000,B_w5_K10000_c2.0_lr0.01_s3,0,0,0,3.82067,2.19202,0.192949,0.495238,0,0.264857,4.9915,0.0530616,4.84381,0.336273,2.97378,0,0.121221
2000,B_w5_K10000_c2.0_lr0.01_s4,0,0,0,4.63951,3.9911,0.231465,0.47619,0,0.00994555,2.99691,0.0033186,4.76498,0.414674,2.41154,0,0.126345
3000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.6395,4.08344,0.167067,0.52381,0,0.00171942,0.39893,0.00431008,4.84077,0.367867,2.71837,0,0.0288653
