exp,width,c,run_id,metric,t50
A,5,,A_w5_T10000_std_lr0.01_s0,srank_drop,4000.0
A,5,,A_w5_T10000_std_lr0.01_s0,srank_alive_drop,
A,5,,A_w5_T10000_std_lr0.01_s0,post_err,210000.0
A,5,,A_w5_T10000_std_lr0.01_s0,trC,
A,5,,A_w5_T10000_std_lr0.01_s0,dead,30800.0
A,5,,A_w5_T10000_std_lr0.01_s1,srank_drop,10200.0
A,5,,A_w5_T10000_std_lr0.01_s1,srank_alive_drop,20200.0
A,5,,A_w5_T10000_std_lr0.01_s1,post_err,100000.0
A,5,,A_w5_T10000_std_lr0.01_s1,trC,122800.0
A,5,,A_w5_T10000_std_lr0.01_s1,dead,240200.0
A,5,,A_w5_T10000_std_lr0.01_s2,srank_drop,44000.0
A,5,,A_w5_T10000_std_lr0.01_s2,srank_alive_drop,
A,5,,A_w5_T10000_std_lr0.01_s2,post_err,60000.0
A,5,,A_w5_T10000_std_lr0.01_s2,trC,70300.0
A,5,,A_w5_T10000_std_lr0.01_s2,dead,189800.0
A,5,,A_w5_T10000_std_lr0.01_s3,srank_drop,3000.0
A,5,,A_w5_T10000_std_lr0.01_s3,srank_alive_drop,6000.0
A,5,,A_w5_T10000_std_lr0.01_s3,post_err,320000.0
A,5,,A_w5_T10000_std_lr0.01_s3,trC,
A,5,,A_w5_T10000_std_lr0.01_s3,dead,71100.0
A,5,,A_w5_T10000_std_lr0.01_s4,srank_drop,31900.0
A,5,,A_w5_T10000_std_lr0.01_s4,srank_alive_drop,30000.0
A,5,,A_w5_T10000_std_lr0.01_s4,post_err,40000.0
A,5,,A_w5_T10000_std_lr0.01_s4,trC,192000.0
A,5,,A_w5_T10000_std_lr0.01_s4,dead,20700.0
A,100,,A_w100_T10000_std_lr0.01_s0,srank_drop,139800.0
A,100,,A_w100_T10000_std_lr0.01_s0,srank_alive_drop,102100.0
A,100,,A_w100_T10000_std_lr0.01_s0,post_err,440000.0
A,100,,A_w100_T10000_std_lr0.01_s0,trC,10300.0
A,100,,A_w100_T10000_std_lr0.01_s0,dead,90200.0
