switch_step,run_id,post_err
10000,A_w100_T10000_std_lr0.01_s0,4.13282
10000,A_w100_T10000_std_lr0.01_s1,1.75193
10000,A_w100_T10000_std_lr0.01_s2,3.40238
10000,A_w100_T10000_std_lr0.01_s3,0.725883
10000,A_w100_T10000_std_lr0.01_s4,1.47999
20000,A_w100_T10000_std_lr0.01_s0,1.56669
20000,A_w100_T10000_std_lr0.01_s1,1.82517
20000,A_w100_T10000_std_lr0.01_s2,1.15912
20000,A_w100_T10000_std_lr0.01_s3,1.95519
20000,A_w100_T10000_std_lr0.01_s4,0.332279
30000,A_w100_T10000_std_lr0.01_s0,3.35113
30000,A_w100_T10000_std_lr0.01_s1,3.28152
30000,A_w100_T10000_std_lr0.01_s2,1.58497
30000,A_w100_T10000_std_lr0.01_s3,0.844846
30000,A_w100_T10000_std_lr0.01_s4,1.0451
40000,A_w100_T10000_std_lr0.01_s0,2.80309
40000,A_w100_T10000_std_lr0.01_s1,3.22017
40000,A_w100_T10000_std_lr0.01_s2,1.72447
40000,A_w100_T10000_std_lr0.01_s3,0.724975
40000,A_w100_T10000_std_lr0.01_s4,2.00014
50000,A_w100_T10000_std_lr0.01_s0,1.99519
50000,A_w100_T10000_std_lr0.01_s1,4.03893
50000,A_w100_T10000_std_lr0.01_s2,3.74565
50000,A_w100_T10000_std_lr0.01_s3,1.19279
50000,A_w100_T10000_std_lr0.01_s4,2.9525
60000,A_w100_T10000_std_lr0.01_s0,1.21371
60000,A_w100_T10000_std_lr0.01_s1,1.77104
60000,A_w100_T10000_std_lr0.01_s2,1.18014
60000,A_w100_T10000_std_lr0.01_s3,0.944115
60000,A_w100_T10000_std_lr0.01_s4,3.0935
70000,A_w100_T10000_std_lr0.01_s0,4.13581
70000,A_w100_T10000_std_lr0.01_s1,2.07092
70000,A_w100_T10000_std_lr0.01_s2,3.53261
70000,A_w100_T10000_std_lr0.01_s3,0.924498
70000,A_w100_T10000_std_lr0.01_s4,3.93422
80000,A_w100_T10000_std_lr0.01_s0,3.39461
80000,A_w100_T10000_std_lr0.01_s1,1.77815
80000,A_w100_T10000_std_lr0.01_s2,2.05483
80000,A_w100_T10000_std_lr0.01_s3,2.13768
80000,A_w100_T10000_std_lr0.01_s4,1.20306
90000,A_w100_T10000_std_lr0.01_s0,1.8874
90000,A_w100_T10000_std_lr0.01_s1,4.22378
90000,A_w100_T10000_std_lr0.01_s2,4.0137
90000,A_w100_T10000_std_lr0.01_s3,1.46829
90000,A_w100_T10000_std_lr0.01_s4,1.39606
100000,A_w100_T10000_std_lr0.01_s0,2.26879
