act,reg,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,pen_l2_total,pen_l2init_total,pen_shell_total
R,none,0,0.001,1,18,0.1035875,0.1091666669,0.1091666669,1,1,-8.955475807,3.275690556,-16.51640129,0,0,0.9800000191,0.9800000191,-0.9956550002,0,-1.940950274,0,1,4.211186886,3.280959606,10.55708122,0,4.739522528,4.558709546,3.734128486
R,none,0,0.001,1,19,0.1116333333,0.1116666645,0.1116666645,1,1,-8.955475807,3.275690556,-16.51640129,0,0,0.9800000191,0.9800000191,-0.9956550002,0,-1.940950274,0,1.000000041,4.211186886,3.280959606,10.55298233,0,4.738281652,4.557576926,3.732951257
R,none,0,0.001,1,20,0.1032020833,0.1075000018,0.1075000018,1,1,-8.955475807,3.275690556,-16.51640129,0,0,0.9800000191,0.9800000191,-0.9956550002,0,-1.940950274,0,1,4.211186886,3.280959606,10.55004501,0,4.737901675,4.557129842,3.732615662
R,none,0,0.001,1,21,0.1081729167,0.1083333343,0.1083333343,1,1,-8.955475807,3.275690556,-16.51640129,0,0,0.9900000095,0.9900000095,-0.9956550002,0,-1.940950274,0,1,4.211186886,3.280959606,10.5446291,0,4.735819072,4.555133789,3.730631615
R,none,0,0.001,1,22,0.11571875,0.1158333346,0.1158333346,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733137054,4.552597642,3.728069359
R,none,0,0.001,1,23,0.1064958333,0.1083333343,0.1083333343,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733078051,4.552545193,3.728041127
R,none,0,0.001,1,24,0.1166208333,0.1166666672,0.1166666672,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733123162,4.552543987,3.728061935
R,none,0,0.001,1,25,0.12296875,0.1233333349,0.1233333349,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733167098,4.552573406,3.728086519
R,none,0,0.001,1,26,0.10650625,0.1066666692,0.1066666692,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733070979,4.552538294,3.728038523
R,none,0,0.001,1,27,0.1114020833,0.1116666645,0.1116666645,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733130499,4.55264354,3.72806581
R,none,0,0.001,1,28,0.1080145833,0.1083333343,0.1083333343,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733086817,4.552542245,3.72804466
R,none,0,0.001,1,29,0.10903125,0.1091666669,0.1091666669,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733101884,4.552544715,3.728051375
R,none,0,0.001,1,30,0.1172166667,0.1174999997,0.1174999997,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733136407,4.552656619,3.728069006
R,none,0,0.001,1,31,0.1104770833,0.1108333319,0.1108333319,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733141599,4.552637791,3.728071865
R,none,0,0.001,1,32,0.1024604167,0.1058333367,0.1058333367,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733117187,4.552571002,3.728058861
R,none,0,0.001,1,33,0.1182791667,0.1183333322,0.1183333322,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733229915,4.552674452,3.728125868
R,none,0,0.001,1,34,0.11294375,0.113333337,0.113333337,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733160585,4.552599151,3.728082688
R,none,0,0.001,1,35,0.10970625,0.1116666645,0.1116666645,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733200923,4.552653082,3.728107226
R,none,0,0.001,1,36,0.1239,0.1241666675,0.1241666675,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733287755,4.552795345,3.728164915
R,none,0,0.001,1,37,0.10408125,0.1058333367,0.1058333367,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733135211,4.552616806,3.728068354
R,none,0,0.001,1,38,0.11641875,0.1166666672,0.1166666672,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733184357,4.552663588,3.728096926
R,none,0,0.001,1,39,0.11144375,0.1116666645,0.1116666645,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.73318635,4.552658924,3.72809815
R,none,0,0.001,1,40,0.1190645833,0.1191666648,0.1191666648,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733253518,4.552784406,3.728141537
R,none,0,0.001,1,41,0.1245729167,0.125,0.125,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733308738,4.552812301,3.72817957
R,none,0,0.001,1,42,0.1121270833,0.112499997,0.112499997,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733233094,4.55277987,3.728127954
R,none,0,0.001,1,43,0.1097458333,0.1099999994,0.1099999994,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733212366,4.552725361,3.728114496
R,none,0,0.001,1,44,0.1063770833,0.1066666692,0.1066666692,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733194363,4.552674698,3.728103113
R,none,0,0.001,1,45,0.11233125,0.112499997,0.112499997,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733244294,4.552714158,3.728135366
R,none,0,0.001,1,46,0.1139354167,0.1141666695,0.1141666695,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733298388,4.55279128,3.728172313
R,none,0,0.001,1,47,0.1148083333,0.1150000021,0.1150000021,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733277073,4.552716511,3.728157545
R,none,0,0.001,1,48,0.1107770833,0.112499997,0.112499997,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733368033,4.552851402,3.728222094
R,none,0,0.001,1,49,0.1175,0.1174999997,0.1174999997,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733346098,4.552784665,3.728206189
R,none,0,0.001,1,50,0.1163708333,0.1166666672,0.1166666672,1,1,-8.955475807,3.275690556,-16.51640129,0,0,1,1,-0.9956550002,0,-1.940950274,0,0,4.211186886,3.280959606,10.53278351,0,4.733322749,4.552848691,3.728189479
