arm,seed,layer,unit,excluded_nan_gt_1pct,nan_fraction,delta_beta_total,delta_beta_bnd,delta_beta_int,delta_M_total,delta_B_total,rho_M,delta_beta_from_step10000,delta_M_from_step10000,rho_M_from_step10000,delta_b_raw_total,delta_b_raw_bnd,delta_b_raw_int,delta_log_sigma_total,delta_log_sigma_bnd,delta_log_sigma_int,onset_index,onset_step,onset_beta,onset_boundary,final_dead,b_raw_step10000,b_raw_final,sigma_step10000,sigma_final
L1w100_A1,0,1,0,0,0.0,2.6273291148245335,-0.5634058195719263,3.1907349343964597,3.382034245878458,-0.7547051310539246,1.2872518432485485,-0.76907579600811,-0.07615398988127708,0.09902013595611066,-0.6533273643035358,-1.1292224448962203,0.4758950805926848,0.6819410755918098,-1.4971285553437297,2.1790696309355395,,,,,0,-0.026195387421263927,-0.6533273643035358,0.4239879846572876,0.8656723499298096
L1w100_A1,0,1,1,0,0.0,-2.361677072942257,-5.944766986605828,3.5830899136635708,-0.051874540746212006,-2.309802532196045,0.02196512865392937,-2.304594546556473,-0.10076144337654114,0.04372198290892382,-1.534698017587516,-2.564608592958991,1.0299105753714748,0.4333877600428574,-1.8082007193105387,2.241588479353396,4971.0,4971000.0,-2.229731798171997,1.0,1,-0.04485631273797708,-1.534698017587516,0.4232948422431946,0.6644282341003418
L1w100_A1,0,1,2,0,0.0,-3.356361599639058,-7.099789206724381,3.743427607085323,0.7828357499092817,-4.13919734954834,0.2332393953003954,-4.276391701772809,0.03294743411242962,0.00770449397766136,-1.380914627748723,-2.312582422707539,0.9316677949588159,-0.052188239278695425,-1.9385905816088376,1.886402342330142,3461.0,3461000.0,-2.6077423989772797,1.0,1,0.058624991509059754,-1.380914627748723,0.3445655107498169,0.3336189389228821
L1w100_A1,0,1,3,0,0.0,-4.2945393226109445,-6.298533492619754,2.0039941700088093,0.6798492767848074,-4.974388599395752,0.1583055191054766,-4.881665227469057,-0.07326312130317092,0.015007813499975467,-0.8316051005793526,-0.9182635818780902,0.08665848129873766,-0.33978907956163606,-0.9741144472165815,0.6343253676549454,1991.0,1991000.0,-2.0973047325387597,1.0,1,-0.037398965516866056,-0.8316051005793526,0.22531330585479736,0.16717734932899475
L1w100_A1,0,1,4,0,0.0,-2.0232784412801266,-0.786602169939215,-1.2366762713409116,1.5992114879190922,-3.6224899291992188,0.7904060337376364,-3.806805517524481,-0.04904107376933098,0.012882474175150873,-2.403693330112219,-2.3861829581143548,-0.017510371997864205,0.6113510072363451,0.00373210153813619,0.6076189056982089,811.0,811000.0,-2.2635804330930114,1.0,1,0.05284211118524729,-2.403693330112219,0.39062872529029846,0.6635472774505615
L1w100_A1,0,1,5,0,0.0,-0.4520285949110985,-3.2289295431692153,2.776900948258117,0.47872910648584366,-0.9307577013969421,1.0590681914271296,-0.814133114181459,-0.03842771705240011,0.04720077881985661,-0.8301853478564355,-1.2271872227083844,0.39700187485194866,1.1357006298757226,-0.7168662818507234,1.8525669117264458,,,,,0,-0.04311024235661165,-0.8301853478564354,0.27803677320480347,0.8919457197189331
L1w100_A1,0,1,6,0,0.0,-1.4508370831608772,-7.16686385875073,5.716026775589853,-1.3086849078536034,-0.14215217530727386,0.9020205804241143,-0.2011732254177332,-0.08376139402389526,0.41636452291285775,-0.12925748593314257,-1.8465144488486953,1.7172569629155532,1.2187403447445007,-1.6933123652560618,2.9120527100005624,,,,,0,-0.00739211372726567,-0.12925748593314257,0.29878783226013184,0.909289538860321
L1w100_A1,0,1,7,0,0.0,-8.302544552832842,-8.687147858277967,0.38460330544512544,-5.500599343329668,-2.801945209503174,0.6625197020415692,-2.5153076760470867,0.018512029200792313,0.0073597474285470935,-1.405232669019938,-1.9524167354261492,0.5471840664062113,0.4257941514448987,-0.7336161391382972,1.1594102905831962,3111.0,3111000.0,-2.284660369157791,1.0,1,-0.08992355282174636,-1.405232669019938,0.33537858724594116,0.5015203952789307
L1w100_A1,0,1,8,0,0.0,-0.19078076630830765,-2.1359644120791472,1.9451836457708396,0.4245338961482048,-0.6153146624565125,2.225244736999037,-0.5294615849852562,-0.052913419902324677,0.0999381662482617,-0.7760596883103474,-3.2415452626092147,2.4654855742988673,1.2117522554532854,-2.4641302466782076,3.6758825021314925,,,,,0,-0.05200362000915337,-0.7760596883103474,0.3747563064098358,1.2612403631210327
L1w100_A1,0,1,9,0,0.0,0.27023060619831085,-3.0201100096019218,3.2903406158002326,3.222245290875435,-2.952014684677124,11.924057515937942,-2.7009248305112123,0.042855484411120415,0.01586696672450859,-1.8504903143311964,-3.1724567488415243,1.3219664345103277,0.7079549845671257,-1.6710889609350215,2.379043945502148,4861.0,4861000.0,-2.2539769280701876,1.0,1,-0.062170085935406405,-1.8504903143311964,0.29855823516845703,0.6268567442893982
L1w100_A1,0,1,10,0,0.0,-3.8880604938603938,-8.502790755919705,4.614730262059311,-4.138765259180218,0.2507047653198242,1.0644806750604088,0.4097584574483335,0.03666894277557731,0.08948916638334646,0.1604291245901665,-1.7281878563584356,1.888616980948602,0.6233382015429673,-2.4744497769257943,3.0977879784687614,,,,,0,-0.04465325201627368,0.16042912459016634,0.36485961079597473,0.6399125456809998
L1w100_A1,0,1,11,0,0.0,-0.891283318400383,-7.914812672737753,7.02352935433737,0.4783458262681961,-1.369629144668579,0.5366933458675069,-1.3513235314749181,0.10668101767078042,0.07894557830599025,-1.5586454928427997,-4.202657414960828,2.644011922118028,1.0189125925047793,-1.9770785495701961,2.995991142074976,,,,,0,0.04396815721419456,-1.5586454928427997,0.4975157678127289,1.1380054950714111
L1w100_A1,0,1,12,0,0.0,-4.211144544184208,-1.3860062838994054,-2.8251382602848025,-0.6716898456215858,-3.539454698562622,0.1595029186422066,-3.5097723100334406,-0.01761600561439991,0.005019130604011195,-1.2200754867794643,-0.6335559754116538,-0.5865195113678106,0.10461789596471904,-0.48462645274193716,0.5892443487066562,3401.0,3401000.0,-2.3561110589653254,1.0,1,-0.016925100969396256,-1.2200754867794643,0.35783669352531433,0.344707190990448
L1w100_A1,0,1,13,0,0.0,-5.020183303626254,-5.330408055688167,0.310224752061913,-2.069663980277255,-2.950519323348999,0.4122686075590635,-3.1560551014263183,0.010873711435124278,0.00344534904672929,-2.31633976612855,-3.0494918512651643,0.7331520851366142,0.5965010874564047,-0.48242584389387233,1.0789269313502772,3951.0,3951000.0,-2.3899368718266487,1.0,1,0.12786037342574996,-2.31633976612855,0.5908260941505432,0.7850617170333862
L1w100_A1,0,1,14,0,0.0,4.488297313451767,6.405762387730647,-1.91746507427888,5.109462112188339,-0.6211647987365723,1.1383965355581267,-0.0892710592597723,-0.05753033421933651,0.6444455201537087,-0.8341697846406078,-2.573966580289324,1.7397967956487164,1.7759511372629522,-0.26077785952333965,2.036728996786292,,,,,0,-0.1522137771052101,-0.8341697846406078,0.25824153423309326,1.342912197113037
L1w100_A1,0,1,15,0,0.0,-0.2720363922417164,-3.0721344284611405,2.800098036219424,3.6995917968451977,-3.971628189086914,13.599620868218052,-3.9281710870563984,-0.03287305310368538,0.008368539041490432,-2.2921853883592576,-2.465181537290771,0.17299614893151327,0.3082374511330803,-1.778035540747317,2.0862729918803975,3561.0,3561000.0,-2.6254426687955856,1.0,1,-0.03219715039727067,-2.2921853883592576,0.42181429266929626,0.5771399736404419
