act,reg,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,pen_l2_total,pen_l2init_total,pen_shell_total
R,shell,0.001,0.001,1,1,0.957475,0.8208333254,0.8208333254,0.2199999988,0.2199999988,-0.05696746707,0.8260676265,-1.450275183,0.323333323,56.02046138,0.02999999933,0.02999999933,0.49339661,0.424305141,-0.1316597909,0.8816666603,26.11467172,1.357649565,1.068913221,2.479933023,0.104013158,0.3271925952,0.3414985128,0.104013158
R,shell,0.001,0.001,1,2,0.9477104167,1,1,0.3100000024,0.3100000024,-0.2861377001,0.8214353323,-1.040869713,0.2599999905,52.08333955,0.01999999955,0.01999999955,0.5202409625,0.3966855407,-4.345264415e-08,0.9241666794,20.10700444,1.33871603,1.055690885,2.570935965,0.1116770833,0.3401568505,0.3763762606,0.1116770833
R,shell,0.001,0.001,1,3,0.94451875,1,1,0.3799999952,0.3799999952,-0.4309631884,0.8974586725,-2.642309427,0.1708333343,41.15355216,0.05000000075,0.05000000075,0.5685269237,0.4284317195,-0.1639980674,0.9083333611,19.6570177,1.164206982,1.11236155,2.674087763,0.1394504179,0.3893166446,0.4351664552,0.1394504179
R,shell,0.001,0.001,1,4,0.9354270833,1,1,0.3600000143,0.3600000143,-0.2259764075,0.877744019,-1.663762569,0.2416666597,43.36519075,0.1099999994,0.1099999994,0.5932374597,0.4161481559,-0.0107730031,0.9333333373,17.09710462,1.407395005,1.047016621,2.611399412,0.1228410086,0.3599751486,0.4121946983,0.1228410086
R,shell,0.001,0.001,1,5,0.9466479167,1,1,0.3000000119,0.3000000119,-0.4784727991,0.904325664,-2.038096666,0.1949999928,52.08251936,0.1299999952,0.1299999952,0.3013163209,0.4087966084,-0.1180567443,0.7641666532,25.35305036,1.476468563,1.048040867,2.709511042,0.1442986367,0.3975642877,0.4513748402,0.1442986367
R,shell,0.001,0.001,1,6,0.9427604167,1,1,0.3000000119,0.3000000119,-0.3102287948,0.793343544,-2.76482439,0.2358333319,53.61678097,0.09000000358,0.09000000358,0.4132493436,0.3251840472,-0.0009537462611,0.9016666412,15.97700031,1.226785779,0.9496920705,2.621735573,0.1125076864,0.3401799774,0.3968283594,0.1125076864
R,shell,0.001,0.001,1,7,0.94023125,1,1,0.3300000131,0.3300000131,-0.3427639604,0.8665947318,-1.167464852,0.2099999934,44.03171825,0.1199999973,0.1199999973,0.5327360034,0.3431233466,-0.01356529351,0.9566666484,13.12873288,1.428198338,0.9543483853,2.600799322,0.1188700658,0.3526256003,0.4109772765,0.1188700658
R,shell,0.001,0.001,1,8,0.9445333333,1,1,0.2899999917,0.2899999917,-0.3075962365,0.8142152429,-0.8681968451,0.2408333272,47.15905491,0.09000000358,0.09000000358,0.5634762645,0.3576358259,-0.0004629561445,0.9558333158,13.29593588,1.210082412,0.9157989025,2.560401917,0.1118925241,0.3405361028,0.4002667794,0.1118925241
R,shell,0.001,0.001,1,9,0.9387770833,1,1,0.3400000036,0.3400000036,-0.1920294166,0.7556009889,-1.138656735,0.2283333391,48.28321471,0.09000000358,0.09000000358,0.4513031542,0.3460144699,-9.424999735e-05,0.9233333468,15.26008093,1.243464351,0.9295654893,2.606317043,0.1096574131,0.3355839362,0.3963821217,0.1096574131
R,shell,0.001,0.001,1,10,0.93874375,1,1,0.3400000036,0.3400000036,-0.1180773154,0.7806571126,-1.04712534,0.2199999988,47.92946808,0.05999999866,0.05999999866,0.4759707153,0.362383604,-0.001866505714,0.9275000095,16.28471039,1.329744697,0.9868703485,2.579942942,0.1119375025,0.340352612,0.3996302061,0.1119375025
