arm,seed,t,correct,spread,zy_c,m_med,m_p05,m_min,M_mean,M_med,ce,shift,zc_norm,n1,n2,n3,nb3,trace_m_med,trace_correct,rank2,old_c,acc_old
A,0,1,1200,8.142925606490476,17.56771410883941,10.121372469800843,8.221733199471647,6.748365168869807,0.0011027458081667334,0.0005913134921874262,0.00012097847322040143,-6.383162940122846,937.2776786945946,1329.3441387228017,100.05525450576397,16.55153924958498,0.07627266160301543,10.121431350708008,1200,,,
A,0,2,1200,8.645030534796298,18.315119291077682,9.725986555047248,7.473088383204194,6.049118475990932,0.0017754727392874736,0.0007432524750380278,0.00021173796194736945,1.704572762511936,1009.3111699915065,3101.1578589663673,162.7774897265357,18.300349167172364,0.1940978214441143,9.725958824157715,1200,0.16114181280136108,1.9188208089718857,0.0949999988079071
A,0,3,1200,9.07382002612118,19.145822970665645,10.292088085024698,8.016718375304151,6.841382657932176,0.0011305842146424026,0.0005102140625766002,0.00012671316935308584,3.613801875417552,1062.0167049348609,4502.278869041351,208.665808129757,16.090748901853352,0.12740019609675135,10.292102813720703,1200,0.18190297484397888,2.7993959095817194,0.1066666692495346
A,0,4,1200,9.187019921943492,19.399835957000626,10.167195000059817,7.612716157632612,6.5085328871256625,0.0014423378549319706,0.00052792725334588,0.00016996651708802994,7.199300223775448,1077.6656984244294,6066.246717264281,258.87205004876284,14.667702103018271,0.1227996736873553,10.167196273803711,1200,0.18732525408267975,2.6275106263496624,0.10583333671092987
A,0,5,1200,9.721925525208352,20.13252460708574,10.328606641106154,7.989347884325796,6.475523571888036,0.001131475185739669,0.0004708522595674008,0.00012817242206200776,8.328313453598426,1141.0447116013652,7543.348885480107,304.49056184640733,13.283998783731974,0.15478415025215872,10.328596115112305,1200,0.19184429943561554,3.5547029731358672,0.10083333402872086
A,0,6,1200,10.212648283096584,21.07151534368379,10.68546293905047,8.25911231979617,6.073170034327823,0.0008517119213194713,0.00032244146417358837,9.405044596816029e-05,10.306815712180091,1196.4929526256997,9093.955360266964,349.80608578962267,12.24221068488227,0.11101770716741605,10.685474395751953,1200,0.17070895433425903,3.473365227553447,0.1066666692495346
A,0,7,1200,10.89198561634684,22.216475651600316,10.859366545529667,7.847129257317391,6.084078141298534,0.001045491481018953,0.00026937618385082133,0.00012173121909921787,13.603375492662924,1292.785746625356,10784.753502213436,403.59863304145705,12.190506579142975,0.1584897970705672,10.85934066772461,1200,0.17007434368133545,3.7130691198399215,0.10333333909511566
A,0,8,1200,11.771803330601585,23.835572234231837,11.647556863993675,7.858136429470485,5.711915882111789,0.0009542980775147214,0.00013271724812431024,0.0001124657678598603,14.080775340250447,1403.4752751856367,12488.26694458094,458.00709915824564,11.92297211933734,0.1463059614912707,11.647571563720703,1200,0.15948671102523804,3.204184492362056,0.09083333611488342
A,0,9,1200,11.344284360675964,23.047296413392402,11.222933388234267,8.038954172859084,6.1332569298484625,0.0009296843647752089,0.0001985112325030147,0.00010610936320932348,16.959754695758864,1360.2819795529144,14214.858411210182,507.8743716769528,11.521099188137207,0.189410035631708,11.222972869873047,1200,0.1721915304660797,3.6736495546658485,0.0949999988079071
A,0,10,1200,11.85037279244144,24.25794733222719,11.815452577175407,7.868352985195038,6.600323607768708,0.0009833495274115668,0.00011597765665390113,0.00011645801427973145,17.44060193612273,1414.5239218889021,15961.360537075401,557.1805677574475,11.12062071341143,0.12762093355300902,11.815470695495605,1200,0.17216117680072784,3.3383438531545226,0.09000000357627869
A,0,11,1200,12.036041835842651,24.408816877898644,12.118594399900076,8.464178927323733,6.857925297500088,0.0005907209952338777,8.678643908231607e-05,6.463963843614968e-05,18.529136381130208,1417.8171020369293,17593.038974547217,603.1938949872268,10.303655957131259,0.1294311575037413,12.11855697631836,1200,0.17387303709983826,4.055055434581622,0.09416666626930237
A,0,12,1200,12.233663144680598,24.443020375838277,11.714822576015703,8.07532617963694,6.921334247028174,0.0007936634328312649,0.00011511170804286267,9.068366746784164e-05,15.856762696376448,1443.5298621702848,19275.6699951951,645.4908030045349,10.078550855268299,0.2917901997157308,11.714797973632812,1200,0.17137648165225983,3.5975496153132385,0.08583333343267441
A,0,13,1200,12.839249388534862,25.66882177408798,12.520725592287597,8.170568323694017,6.711262201701555,0.0006630179399765936,5.4787403984877705e-05,7.533928750493063e-05,16.32257111572426,1515.6528340928917,20985.389767762143,687.4762839534894,10.274525612523405,0.17625019209512066,12.520751953125,1200,0.1657303422689438,4.147892997642956,0.10999999940395355
A,0,14,1200,13.263021435422495,26.298583232893417,12.025047051329352,7.741090966014756,6.534645185555268,0.0009407268754890194,8.907868834036694e-05,0.00011315717159570874,20.504898453204834,1587.8353330407217,22942.037345349534,739.8118410932316,10.451132601861103,0.18613430057996042,12.025093078613281,1200,0.19909091293811798,5.111706089404373,0.0833333358168602
A,0,15,1200,14.417150614385884,28.56268491525254,13.167271818460854,7.717141985924181,6.028376848060695,0.0008402578707594296,2.8906687155586993e-05,0.00010352422571686721,16.472857328972093,1742.5471135351834,24694.63309138575,789.2138372212983,10.210512044350535,0.17345316381834217,13.16726303100586,1200,0.18959107995033264,5.466540615137943,0.10333333909511566
