arm,seed,t,g1,p1,g2,p2,C12,C23,n3,n3_common,b3bar,n1,n2
A,0,0,-0.004472538593608173,-1.095323066943544,1.1662452215857395,-2.2758539033460936,-0.1952909262183269,30.648550312602808,3.2603452835256173,0.3729870297106536,0.012795667652972043,33.36467150212418,33.57104730462854
A,0,1,1.2982294341989433,1.283799865857647,0.9096901362445204,-0.9337809185021589,1229.96722529992,84.0024506666628,16.55153924958498,1.5004353721228472,0.007859961688518524,1329.3441387228017,100.05525450576397
A,0,5,1.6116471368385445,2.704749424782039,1.6005650618535123,-0.4808116910904835,7255.590448652676,292.99500605404563,13.283998783731974,2.289313380474038,-0.013787627080455422,7543.348885480107,304.49056184640733
A,0,10,1.681328345905602,3.412684262194094,2.0001523886287265,-0.26906176387442304,15450.08171865172,551.2334423265139,11.120620713411428,2.5110495675491147,-0.04646109761670232,15961.360537075401,557.1805677574475
A,0,25,1.7717694622710014,4.235427075306696,2.3509578714313317,0.07219273252339323,39835.36435130027,1190.7072503756397,12.406821011296145,4.577148593244049,-0.17533206790685654,40796.738598878685,1176.823803098705
A,0,50,1.867731636271845,4.818281646249438,2.436409549279012,0.4950089540109349,78998.78153973083,1955.0102916741248,18.952987077132903,12.606554265614214,-0.2581378944218159,80114.74968736933,1896.8092320423557
A,1,0,-0.0006796969175627715,-1.0928536873362695,1.1713318333644263,-2.275954763364261,-0.2441898159350302,30.70538825020279,3.218174642901186,0.31098181178037243,-0.031257313559763134,33.336158971384755,33.58984318339297
A,1,1,1.2889621557617907,1.2610864897579863,0.9176697319688247,-0.9162284925248859,1177.5118915352946,82.39651751426753,15.781284610660903,1.3034527425648943,-0.03385190793778747,1274.6591102114312,97.70349553344923
A,1,5,1.620565105414797,2.695319106557768,1.577606029048234,-0.48421812642335604,7247.856607678626,284.9430394553804,13.740799697284773,2.668817159846117,-0.05682233744300902,7526.541286707425,297.1070083494611
A,1,10,1.6880983397592595,3.3814887947589023,1.9973760092562336,-0.28563967791169875,15226.153650834483,537.7610654111269,11.023470248529673,2.8417377976453437,-0.08475163402035832,15717.65215348062,543.1659550045965
A,1,25,1.8030894484155486,4.208037414202968,2.4253848923916874,-0.006250055255873041,39355.97581924738,1133.49933561029,10.53915547325743,3.1247288301099703,-0.18439491260796786,40235.98679143588,1104.7626070166086
A,1,50,1.877761967969444,4.784487442381824,2.4242216836588835,0.48328969667056143,76922.4218322036,1954.6730462186215,19.49826330098624,11.825897494079882,-0.3083424523472786,77860.46740416036,1839.892744893498
A,2,0,0.007650607889230117,-1.1052110469696608,1.1493441705748262,-2.2506921956986816,0.3730023788407095,29.96434212505166,3.4233232437195054,0.3744703441171893,-0.01001915568485856,33.396908946282416,33.03410650974287
A,2,1,1.3239647915599213,1.3162991863530022,0.8860608265527574,-0.905747928144182,1283.3692664956716,81.19474482414753,17.717427724092758,1.7319833268945264,-0.014113976596854627,1380.8811465974547,98.30839402326224
A,2,5,1.6185414939847758,2.736756671958555,1.546069922269122,-0.41132164477332567,7478.427367100142,295.7155906610353,14.63293436938418,2.952482577358841,-0.03364148251712322,7770.733807902627,308.4669506597812
A,2,10,1.6852451992786297,3.4194611193746702,2.0281567198760873,-0.2741317831464405,15742.442088137563,560.380832585163,11.33895171040184,2.9558239047105235,-0.06367233246564866,16258.574572685993,565.7255366213356
A,2,25,1.789598118701003,4.2317873771401215,2.4908913633154466,-0.01428224716059175,40153.75172465588,1191.113324488615,9.563896177641297,2.645496893732414,-0.1511377738090232,41104.34841010591,1160.6160344011116
A,2,50,1.8594194865180151,4.818551652566219,2.3862014170219714,0.5484380330036127,77287.51179177669,1991.5918699679917,19.487410892223064,11.864382461192625,-0.3246465057134628,78300.67154223636,1893.4394286129427
A,3,0,-0.005382224739254076,-1.0974814505593808,1.175761279509559,-2.240651389759356,-0.12207899280283385,30.506504730002888,3.3233364969743713,0.2727737443999255,-0.0006295074010267854,33.35180925885921,33.483406488586255
A,3,1,1.3013172426357484,1.3050701374996094,0.8993104211946666,-0.8937275642665143,1262.4642884420282,84.37051018492319,16.959740672338754,1.685474681826731,-0.003672387544065714,1362.3325958362475,100.82412849685956
A,3,5,1.6226598298558328,2.747692856255722,1.595617582877237,-0.46842278110939845,7501.712457104295,292.0751508687127,13.545798185202496,2.8497323906436085,-0.024717100060661322,7786.423947536878,303.6522559666089
A,3,10,1.6948504301154221,3.4172517665117708,1.9996440408011318,-0.260502647396037,15953.064842724893,554.2420450080416,11.481974197125915,2.889011010312837,-0.036044909723568705,16460.499681472596,560.1710782823276
A,3,25,1.8032018414644708,4.2140131973151895,2.4505192913723146,-0.02358662054747136,40169.36675474519,1137.1288839066747,9.180450486537003,2.2739757419421345,-0.11252838401123881,41062.67030377917,1110.812240288325
A,3,50,1.9071246723157236,4.71002936444677,2.4686937480348243,0.3790765477459789,74115.6765782889,1756.4421027559667,14.957247119365395,7.41142391855485,-0.28064909279346467,74845.40856155191,1632.9342870909932
A,4,0,0.0030361227881039055,-1.1039888593517757,1.1661784073086712,-2.272384349646021,0.3704128201777337,29.936361522198645,3.3027136822120653,0.29887531295513203,0.05255550378933549,33.26132581611597,32.90292924021618
A,4,1,1.2935695387463038,1.3011859027279682,0.9003297739047071,-0.8979032956156047,1218.059372310949,83.88372674395612,17.185826159747755,1.4534552511142096,0.05054085955489427,1317.9491890154222,100.48201385562136
A,4,5,1.6328695344753674,2.726606212418794,1.5458490208273894,-0.42937871770335145,7452.822188392567,289.28622679380334,14.284547405085213,2.900952892451042,0.025859387312084436,7735.332633171854,301.7433871198409
A,4,10,1.6857704042867299,3.3921461612359165,2.000971702994408,-0.2502729398734552,15412.185828686197,543.9802566719146,11.017719901334683,2.985342787143597,0.013438174733892083,15914.372588387596,551.055121117069
A,4,25,1.7913575946680809,4.2075165751705015,2.3930286738090634,0.019706779801624715,38604.85096585649,1139.1298103374922,9.882836471274846,1.9994009106069577,-0.09387633390724659,39522.867048344844,1120.6671276896736
A,4,50,1.869428737785178,4.810143004878347,2.4744557723641325,0.41931775367387525,77482.44678187185,1955.135150738248,16.45003899875509,10.394341775320502,-0.240490956697613,78628.04431426273,1883.923155276209
A,5,0,0.00897904105253122,-1.1023319316190143,1.1768936047297127,-2.2496564623463997,0.12023239589144907,30.21894304077296,3.3237519427919047,0.29606764236785943,0.017271021357737483,33.30101153578894,33.19136311911417
A,5,1,1.2687421550218043,1.2316470251785105,0.882089287289455,-0.9223781981424112,1133.8313282399395,79.77052354432536,17.306726729499687,1.8283128853765749,0.012436121236532927,1229.9051106790885,96.62624393796266
A,5,5,1.6193218051245566,2.735133039620941,1.5536678401993431,-0.41744806113273214,7425.962241400601,289.99240866209567,14.96233114499644,2.824047523466496,-0.00037638847716152667,7710.595249408064,303.0588883124233
A,5,10,1.7127496539706049,3.363590592925023,1.9884300819076435,-0.3467709873579921,15404.111031941413,520.1006577522178,11.513996812742763,3.141069058195626,-0.014385379804298281,15879.773012315594,526.5854733987101
A,5,25,1.8053448010414679,4.191132692330806,2.3845504558491184,0.04722877106897706,38998.305056327255,1098.5506800029787,11.401853555135405,4.4689103672022,-0.04908326878212392,39799.53558632,1071.5937634390373
A,5,50,1.9528794805900527,4.632807088396529,2.495604322652543,0.27541412512204666,70865.88495646762,1613.7029478369582,12.359272121777163,4.408871272603314,-0.21287697665393351,71162.49121720914,1457.3134418233958
A,6,0,-0.002168941517505865,-1.0941036374021753,1.1477578198843417,-2.2439193204148746,0.05571137415113725,30.276937263368836,3.3765716719885224,0.3422094851074336,-0.03850634582340717,33.36487848185253,33.320156620302804
A,6,1,1.2621688109331575,1.2374823523336376,0.8771062230899942,-0.8893940233203375,1128.0282082408896,80.90792516505685,17.262828314371788,1.2641938184840331,-0.03872854895889759,1225.2640255398044,97.64654953373322
A,6,5,1.6105104586119499,2.6896898164727547,1.5787066344082645,-0.4958974540760662,7076.688127143903,281.8564857703759,13.220503890669313,2.476875388871196,-0.04706369210034609,7353.906327984128,293.2262481660607
A,6,10,1.6912622293970414,3.364427240285697,1.9695309423247007,-0.26739777224483163,15213.556934020777,528.4474238999784,11.095111268017222,3.060811698543882,-0.06434901803731918,15702.302405034883,533.994351016614
A,6,25,1.798720252419908,4.191140367557431,2.4784760550895815,-0.048460934369848704,39141.97893016613,1120.1057665407864,9.60142705256979,2.953407178728664,-0.1288190543651581,40040.30504320552,1091.4425336727027
A,6,50,1.9028654461062895,4.7393875725313706,2.505425783755092,0.3913170608090213,74837.3657285549,1820.3212430990036,14.105250716405692,7.428255037421241,-0.2720255494117737,75760.78925184454,1685.562881414669
A,7,0,0.00588618267484921,-1.1040413852609943,1.1822825484328323,-2.2586919483160877,0.3847766350387758,30.01845914180569,3.281757155819531,0.3400640511105512,0.011370332445949316,33.34420634268723,32.969408969708994
A,7,1,1.313742154960591,1.3266695127712604,0.9142523279263481,-0.8989916342695068,1298.7027296596125,85.71040892252051,16.777060620551936,1.288801434669977,0.010404661437496543,1399.8253783261773,101.89133551682048
A,7,5,1.6162320886957708,2.7596561144922545,1.5719129488723886,-0.3849086592289092,7645.646954557493,307.10079340719835,14.515629758102733,2.814522139065499,-0.013431222643703222,7946.541851892218,319.47951516990406
A,7,10,1.70034601607172,3.4089723941665957,1.9583136260872014,-0.22903722036465168,15965.216632530868,546.0962404404731,12.597595336875765,3.982027416357501,-0.007613849826157093,16467.747683220034,553.5090896806898
A,7,25,1.8085917510713263,4.176371718920956,2.2687968051736895,0.13312005563814738,38970.40621161396,1094.2705209236096,13.638403782170535,6.00290433677695,-0.021274498756974937,39805.36215772592,1067.5485404525173
A,7,50,1.9717270020493478,4.623773227611526,2.481096528604266,0.3054982955668856,71222.76648873885,1640.2378895388538,12.177769964279829,4.43311054633934,-0.09965715892612934,71550.06528674657,1445.4546801318304
A,8,0,-0.00189291346250691,-1.088884938630505,1.188552813390888,-2.26278426058753,-0.01885747662078785,30.505240588724583,3.322374218170401,0.3709451843979255,0.01425551762804389,33.446015595947166,33.474311966512715
A,8,1,1.3289857574551731,1.3487560442677649,0.9006088868094411,-0.858395207726401,1359.645507087125,86.85622217743071,17.312876591568266,1.8315375696603111,0.004595670010894537,1462.3268560175022,103.498555727138
A,8,5,1.6228552896535184,2.7112237914420616,1.5478441204312023,-0.43714641312084435,7348.957119640068,290.3094557626832,14.519752006763355,3.149264138338404,-0.001605999516323209,7636.014413232028,302.82812546849755
A,8,10,1.7057006700674093,3.3844235475857607,1.9422344313457336,-0.22175719409175493,15603.917319566117,542.7606913189682,12.28205614376181,3.7278248444625794,-0.012010606145486236,16104.791856285683,548.2774202824102
A,8,25,1.8167547809897377,4.179409957315867,2.3836027735107868,0.02549060649517167,38761.55773112943,1095.7321385613427,10.40518227542255,3.039960194702074,-0.07990059219300746,39585.2936895323,1067.3243230911876
A,8,50,1.8699436686589124,4.761773447763172,2.4589316477441026,0.48409502625034995,75295.48466584469,1903.1363209953613,18.14184724106726,11.21754483961773,-0.3117187682539225,76203.93317486483,1791.1799597088084
