task,arm,seed,online_acc,online_loss,train_acc,train_loss,val_acc,val_loss,samples,steps,online_global_acc,train_global_acc,val_global_acc,train_seconds,seconds,online_chunks
1,SILU,0,0.5252479910850525,1.1476939861717224,0.5852,1.004472119140625,0.544,1.1609967651367188,62500,500,0.5249119997024536,0.5852,0.544,47.159424760960974,49.13477398798568,"[0.4095200002193451, 0.5033599734306335, 0.5408799648284912, 0.5686399936676025, 0.6038399934768677]"
2,SILU,0,0.7592639923095703,0.638357241991043,0.8376,0.4235225208282471,0.736,0.7097378845214843,62500,500,0.75900799036026,0.8376,0.736,31.29736366996076,32.645325344987214,"[0.6233599781990051, 0.7595999836921692, 0.7888000011444092, 0.8059200048446655, 0.8186399936676025]"
3,SILU,0,0.6724960207939148,0.793329949853897,0.77,0.5717215682983399,0.712,0.8128703308105468,62500,500,0.6721439957618713,0.77,0.712,31.344319554045796,32.67843120201724,"[0.545199990272522, 0.6643199920654297, 0.6954399943351746, 0.7200799584388733, 0.7374399900436401]"
4,SILU,0,0.6555039882659912,0.9048140449256896,0.7076,0.8047138305664062,0.656,0.9453289794921875,62500,500,0.6550400257110596,0.7076,0.656,31.360394748975523,32.71900626801653,"[0.5464000105857849, 0.6304000020027161, 0.6813600063323975, 0.6982399821281433, 0.7211199998855591]"
5,SILU,0,0.6614879965782166,0.8777735141334533,0.764,0.6241921619415283,0.688,0.8492236328125,62500,500,0.6610559821128845,0.764,0.688,31.364068954018876,32.71717763203196,"[0.5503999590873718, 0.6442399621009827, 0.68367999792099, 0.7033599615097046, 0.7257599830627441]"
6,SILU,0,0.659600019454956,0.8930143496055603,0.7088,0.7734294677734375,0.628,0.9241186828613281,62500,500,0.6592159867286682,0.7088,0.628,31.363889814005233,32.707850981969386,"[0.5662400126457214, 0.6425600051879883, 0.676639974117279, 0.701200008392334, 0.711359977722168]"
7,SILU,0,0.8073599934577942,0.4994970807685852,0.894,0.26711962661743166,0.864,0.31712319946289064,62500,500,0.8069919943809509,0.894,0.864,31.354467433004174,32.694330293976236,"[0.6955999732017517, 0.7977599501609802, 0.8298400044441223, 0.854159951210022, 0.8594399690628052]"
8,SILU,0,0.7085440158843994,0.7538839049110412,0.7956,0.5356400596618652,0.72,0.7524996948242187,62500,500,0.7080960273742676,0.7956,0.72,31.356075405026786,32.69923267798731,"[0.6086399555206299, 0.6967200040817261, 0.7213599681854248, 0.7515199780464172, 0.7644799947738647]"
9,SILU,0,0.806335985660553,0.5328141387119293,0.89,0.30865140533447266,0.776,0.6309729614257813,62500,500,0.8059679865837097,0.89,0.776,31.363907007034868,32.92163578001782,"[0.7175999879837036, 0.7966399788856506, 0.8241599798202515, 0.8435199856758118, 0.8497599959373474]"
10,SILU,0,0.6842399835586548,0.8047943130531311,0.758,0.6153838294982911,0.604,1.0147578735351563,62500,500,0.6837599873542786,0.758,0.604,31.370007115008775,32.736328699975275,"[0.5839999914169312, 0.674079954624176, 0.7001599669456482, 0.7195199728012085, 0.7434399724006653]"
11,SILU,0,0.785103976726532,0.5880092461605072,0.87,0.3663922218322754,0.8,0.5124390563964843,62500,500,0.7846559882164001,0.87,0.8,31.375005351030268,32.733958250959404,"[0.6815199851989746, 0.7711199522018433, 0.8113600015640259, 0.820639967918396, 0.8408799767494202]"
12,SILU,0,0.8112319707870483,0.5133969338493347,0.9064,0.27317679119110105,0.816,0.5157564544677734,62500,500,0.810975968837738,0.9064,0.816,31.365175749990158,32.72842827998102,"[0.7044000029563904, 0.8025599718093872, 0.8303200006484985, 0.8485599756240845, 0.8703199625015259]"
