step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss,b_mean_alive,b_mean_dead,b_std,b_min,beta_mean,beta_p10,beta_min,p_min,p_mean,dead_b_dominant_frac,dead_persist_frac
0,B_w20_K1000_c0.0_lr0.01_s0,0,0,0,17.4253,12.9387,0.174345,0.502005,0,1.36177,75.6667,0.017997,15.8822,0.16017,6.24337,6.24337,0,1.4576,-0.000832844,nan,0.00449733,-0.0108461,-0.000660201,-0.00490048,-0.00796891,0.4895,0.5011,nan,nan
0,B_w20_K1000_c0.0_lr0.01_s1,0,0,0,17.5844,13.4374,0.166087,0.49599,0,1.62926,93.2728,0.0174677,16.2645,0.164132,6.09266,6.09266,0,1.85244,-0.000783666,nan,0.00285555,-0.00739816,-0.000482123,-0.00314818,-0.00443271,0.485,0.498025,nan,nan
1000,B_w20_K1000_c0.0_lr0.01_s0,0,0,0,17.5293,13.1471,0.171677,0.498246,0,0.0281587,4.61088,0.00610701,16.0057,0.163833,6.10378,6.10378,0,0.248379,-0.0300395,nan,0.035868,-0.0909591,-0.0228572,-0.0538189,-0.0725362,0.4615,0.491825,nan,nan
1000,B_w20_K1000_c0.0_lr0.01_s1,0,0,0,17.6692,13.8141,0.15969,0.488471,0,0.0284641,5.39246,0.00527849,16.3255,0.147724,6.76936,6.76936,0,0.202991,-0.0286581,nan,0.0382147,-0.0814793,-0.0201045,-0.0490711,-0.0525885,0.465,0.4898,nan,nan
2000,B_w20_K1000_c0.0_lr0.01_s0,0,0,0,17.5877,12.9854,0.180735,0.493484,0,0.0360664,6.14221,0.00587189,15.9801,0.17841,5.60506,5.60506,0,0.255312,-0.0432213,nan,0.0368009,-0.0977742,-0.0330374,-0.0623766,-0.0825881,0.456,0.48995,nan,nan
2000,B_w20_K1000_c0.0_lr0.01_s1,0,0,0,17.6167,13.0925,0.166432,0.490977,0,0.0645172,12.0332,0.00536161,16.1714,0.162173,6.16626,6.16626,0,0.29168,-0.0435669,nan,0.130251,-0.143144,-0.0345,-0.0999513,-0.103173,0.4455,0.48625,nan,nan
3000,B_w20_K1000_c0.0_lr0.01_s0,0,0,0,17.6927,13.4008,0.177084,0.489474,0,0.0235601,5.8857,0.00400294,15.7948,0.166359,6.01109,6.01109,0,0.244661,-0.0641061,nan,0.0375014,-0.130239,-0.0493634,-0.0866255,-0.101748,0.459,0.482525,nan,nan
3000,B_w20_K1000_c0.0_lr0.01_s1,0,0,0,17.6638,13.2838,0.169254,0.491729,0,0.0210838,3.51534,0.00599765,15.9805,0.162056,6.17072,6.17072,0,0.241916,-0.072236,nan,0.106108,-0.157349,-0.0556946,-0.111048,-0.127194,0.4375,0.478825,nan,nan
4000,B_w20_K1000_c0.0_lr0.01_s0,0,0,0,17.7438,13.6527,0.172517,0.488972,0,0.0105454,2.77351,0.00380217,15.9927,0.15899,6.28971,6.28971,0,0.198537,-0.0716279,nan,0.0700405,-0.171682,-0.0558966,-0.0879617,-0.138821,0.4585,0.47835,nan,nan
4000,B_w20_K1000_c0.0_lr0.01_s1,0,0,0,17.7605,13.6059,0.164789,0.49198,0,0.033439,6.25418,0.00534667,16.1885,0.148847,6.71831,6.71831,0,0.26801,-0.0888496,nan,0.10856,-0.199707,-0.0702518,-0.147283,-0.166801,0.427,0.470975,nan,nan
