arm,seed,p_late,beta,kappa_g,persist,D2_early,D2_late,N_early,N_late,cos_late,dN2_early,dN2_late,N120,acc120,E_late
R,0,0.45848746552861175,0.587333489875779,0.0,44.54702526709198,0.6246440287390091,0.876502253953098,3.633002868632984,6.467769181037743,,0.38312339598678213,0.38455698794171883,6.7404794809635495,0.8934000134468079,2.0301681707274327e-09
R,1,0.4665172642175131,0.6853323044184118,0.0,44.926715225871554,0.5764871978119992,0.8540189012769407,3.6633657253069503,6.500161644117982,,0.37225291101367664,0.3981518259345091,6.784638029812836,0.906499981880188,9.316532250530642e-10
R,2,0.43811745254327283,0.6821312654345543,0.0,47.37565197602353,0.5675151952169527,0.8374345259751111,3.585337239669259,6.342257499650323,,0.35934644281456435,0.35582397838474605,6.595447462896618,0.8934999704360962,8.924151782135903e-09
LR03,0,0.44127668398679304,0.2727620115184902,0.0,41.8937589311019,0.9492385844604841,1.10707377165454,4.3330535078669925,7.61553664699462,-0.042442842661389986,0.5250018582402554,0.4611199527825287,7.894662262714303,0.8999000191688538,-1.779799505691182e-09
LR03,1,0.4374388377988155,0.2960623181676792,0.0,42.29609622033526,0.936748853125879,1.1057218067182972,4.32804935294613,7.578110543428994,-0.043255018055467956,0.5186740905791888,0.45611542059054555,7.85338820625632,0.9108999967575072,-5.58063527680841e-10
LR03,2,0.44265007209136775,0.2892861653271943,0.0,40.31086560933596,0.9538636177657607,1.121699035198604,4.336174780713619,7.593291479357845,-0.04418170186089517,0.5226474739345446,0.4537035513114349,7.871039657449578,0.8995000123977661,1.1865795206209692e-09
LR,0,0.465319938577518,0.5416321752120413,0.0,52.462834206187864,0.9972625017551386,1.3763800566296966,4.448081809618655,8.063423318013566,-0.04463570245582098,0.5840818138770774,0.5619464565860552,8.396231536853593,0.89410001039505,6.318989307502187e-10
LR,1,0.4707296234622914,0.6275872542621748,0.0,54.11807950500679,0.9517523497461596,1.3877431648674474,4.423888648532905,8.068263480610025,-0.04479798592896399,0.5635849094890961,0.564478868710018,8.392657375509451,0.9090999960899352,-4.560897904140604e-09
LR,2,0.4759036474775453,0.6088514441475764,0.0,52.51616750430896,1.0010503826923838,1.441283098515519,4.470272258512848,8.134311618343283,-0.04589532587570972,0.5782546131877677,0.5794852800881443,8.472411416069395,0.8913999795913696,-2.3223249070308816e-09
LR001,0,0.5109124851620211,0.715424692090544,0.0,50.78495432006693,0.8125505291116596,1.2897464204047577,4.164712845924895,7.94425857954337,-0.03664866896621839,0.5330204463469382,0.6078068633884476,8.300032455990754,0.8963000178337097,-1.3460492972842963e-08
