task,N,N2,D2,erode,cos,rowmean,bias,arm,kind,param,seed,steps2,persist,kappa_g,absd2,gate_cv,sd,zbar,acc,E,E_pred,r_W1b1,r_W2,r_scale
35,3.7855212763745114,15.47103578567047,0.6457595238540961,-0.19035912692510099,nan,-0.02350701187062081,-0.006443721166579053,R,relu,0.0,2,,,,,,,,,,,,,
36,3.8390521066521073,15.89532520197346,0.6427086562048698,-0.21841923990188072,nan,-0.02361531279676435,-0.005711107379465829,R,relu,0.0,2,,,,,,,,,,,,,
37,3.882580677798544,16.251081230315602,0.5721869209836948,-0.21643089264154952,nan,-0.023126859269487224,-0.003912025869358331,R,relu,0.0,2,,,,,,,,,,,,,
38,3.931695772613192,16.65957854486152,0.6459934847131451,-0.2374961701672274,nan,-0.023707454806895022,-0.004394651763141156,R,relu,0.0,2,,,,,,,,,,,,,
39,3.980713508749825,17.075402312085806,0.6277910690800695,-0.2119673018557817,nan,-0.023800667880498602,-0.0032261002948507666,R,relu,0.0,2,,,,,,,,,,,,,
40,4.026522659688106,17.475274938756623,0.6419473773398785,-0.2420747506690634,nan,-0.023911941544976268,-0.0027607945655472575,R,relu,0.0,2,0.01787352500782422,35.91610368177866,0.0,0.0,2.2000401498272444,3.0146383871310554,-2.4262411553169354,0.904699981212616,-1.137260614847424e-08,0.0,0.0020448099633592343,0.0020448213359653827,25.840386594445008
41,4.057352688665889,17.761578419583845,0.5382296576402382,-0.2519261768130169,nan,-0.024003676135603634,-0.0019590637064538898,R,relu,0.0,2,,,,,,,,,,,,,
42,4.097513753726432,18.12649778224255,0.5968631456670008,-0.23194378300829846,nan,-0.02400526250285087,-0.001604692010441795,R,relu,0.0,2,,,,,,,,,,,,,
43,4.136528278951249,18.496274530615896,0.6503857870511545,-0.28060903867780446,nan,-0.02404191666145764,-0.0010430835152510554,R,relu,0.0,2,,,,,,,,,,,,,
44,4.174112165705408,18.846219896008677,0.5548052537914847,-0.2048598883987051,nan,-0.02469302089873353,-0.0014229352510301396,R,relu,0.0,2,,,,,,,,,,,,,
45,4.232155368476895,19.293694597730497,0.6596256498830426,-0.2121509481612254,nan,-0.02448841535029757,-0.0009464055985154118,R,relu,0.0,2,,,,,,,,,,,,,
