task,N,N2,D2,erode,cos,rowmean,bias,arm,kind,param,seed,steps2,persist,kappa_g,absd2,gate_cv,sd,zbar,acc,E,E_pred,r_W1b1,r_W2,r_scale
1,1.1623650243441463,1.3583984018207391,1.0127698364617699,0.013173388130041746,0.01087655180058434,0.0017981391951477456,0.012644522025075275,LR001,leaky,0.01,2,,,,,,,,,,,,,
2,1.5367914319207958,2.3888400345223535,1.142922390762299,-0.11248075806068472,-0.04270656849768788,0.00028675131903889347,0.01271396128286142,LR001,leaky,0.01,2,,,,,,,,,,,,,
3,1.7809391927250322,3.2222386794631865,0.9650708355594562,-0.1316721906186229,-0.041207825368867024,-0.001529656530791241,0.01185258693760261,LR001,leaky,0.01,2,,,,,,,,,,,,,
4,1.9529824352462122,3.8910857387981315,0.8210624018526442,-0.15221534251769875,-0.04213834302318839,-0.003976565778586776,0.010739677949459292,LR001,leaky,0.01,2,,,,,,,,,,,,,
5,2.1076795162030852,4.533886107168075,0.8090970156380226,-0.1662966472680795,-0.04841434294453927,-0.005497533550332611,0.009878239796962588,LR001,leaky,0.01,2,,,,,,,,,,,,,
6,2.227444464486275,5.07296613799199,0.7159119344076668,-0.17683190358375103,-0.04645279247309286,-0.006715519311022504,0.009538068655092501,LR001,leaky,0.01,2,,,,,,,,,,,,,
7,2.3359176190341784,5.582735619081627,0.6735026946306175,-0.1637332135409814,-0.04607064422362007,-0.00792183774759264,0.009235303543973714,LR001,leaky,0.01,2,,,,,,,,,,,,,
8,2.4423603986640234,6.1131476711373525,0.7082125041485406,-0.17780045209281536,-0.042470203781641694,-0.00922765498784118,0.007804889716207981,LR001,leaky,0.01,2,,,,,,,,,,,,,
9,2.5324914008740183,6.576522804493113,0.6352425257961063,-0.1718673924403455,-0.04645326636504915,-0.01073214528452666,0.006052520686062053,LR001,leaky,0.01,2,,,,,,,,,,,,,
10,2.630247308689925,7.083653492008206,0.6854293064895545,-0.17829861897446123,-0.0454921907606236,-0.011686183415821115,0.005024431417696178,LR001,leaky,0.01,2,,,,,,,,,,,,,
11,2.713349928731741,7.545648042385997,0.6423338366456006,-0.18033928626781015,-0.04116028524165043,-0.012348876590681039,0.005409284487832337,LR001,leaky,0.01,2,,,,,,,,,,,,,
12,2.8023073223215023,8.029578869819888,0.6508908948550407,-0.16696006742115077,-0.03688923068720425,-0.013219393304429766,0.0040545560931786895,LR001,leaky,0.01,2,,,,,,,,,,,,,
13,2.883014572389621,8.485507248077212,0.6145923441338476,-0.15866396587652237,-0.03610362200046877,-0.01409929993585549,0.004324004449881613,LR001,leaky,0.01,2,,,,,,,,,,,,,
14,2.9653164102137475,8.969485691259683,0.6798972245386732,-0.19591878135620214,-0.0430288124922833,-0.014672536658908482,0.003912242517508276,LR001,leaky,0.01,2,,,,,,,,,,,,,
15,3.0667751512591126,9.566161885837909,0.7522895298094354,-0.15561333523121026,-0.030864102635598897,-0.015759673706530544,0.002914485340588726,LR001,leaky,0.01,2,,,,,,,,,,,,,
