task,N,N2,D2,erode,cos,rowmean,bias,arm,kind,param,seed,steps2,persist,kappa_g,absd2,gate_cv,sd,zbar,acc,E,E_pred,r_W1b1,r_W2,r_scale
1,1.1550821915930285,1.3421115221807813,0.9968032858931284,0.013712584639495902,0.01230448014090473,0.001150017831942806,0.021320101527962834,LR,leaky,0.1,0,,,,,,,,,,,,,
2,1.542061179725819,2.397348387845861,1.1682896132185574,-0.113052747553478,-0.0451495093014497,-0.0009641205111922026,0.023920956121291966,LR,leaky,0.1,0,,,,,,,,,,,,,
3,1.808209004958435,3.3028111372471125,1.0832145870439667,-0.17775183764271496,-0.05375160747270221,-0.003134298999268729,0.02516183417988941,LR,leaky,0.1,0,,,,,,,,,,,,,
4,1.9945769649980998,4.02989078394408,0.9520526261780984,-0.22497297948112982,-0.06681223112864604,-0.005961482165623381,0.023928767014294864,LR,leaky,0.1,0,,,,,,,,,,,,,
5,2.1545030586277445,4.716486658597539,0.9031278998578246,-0.21653202520436643,-0.061981390588107955,-0.0078934499845135,0.025282838923449163,LR,leaky,0.1,0,,,,,,,,,,,,,
6,2.306873540147962,5.39580119525653,0.8909708285809451,-0.2116562919219535,-0.0581756771254795,-0.009432542764324163,0.02758370201161597,LR,leaky,0.1,0,,,,,,,,,,,,,
7,2.4387287728246263,6.027332918407054,0.9056307484715791,-0.2740990253210551,-0.0684129791055358,-0.010444449426998612,0.02887375007790979,LR,leaky,0.1,0,,,,,,,,,,,,,
8,2.570084728124133,6.687188389965777,0.9219428173906613,-0.2620873458319387,-0.0646639364162085,-0.011537403964792305,0.02998312677606009,LR,leaky,0.1,0,,,,,,,,,,,,,
9,2.681779516978866,7.280230329650301,0.8408914909119498,-0.24784955122742494,-0.057928531459373725,-0.012521995069935623,0.03241269638441736,LR,leaky,0.1,0,,,,,,,,,,,,,
10,2.798338464241566,7.911535865237693,0.8779733423749385,-0.24666780678754804,-0.05292355188190667,-0.013117326736207927,0.03654791367123835,LR,leaky,0.1,0,,,,,,,,,,,,,
11,2.9057940805008236,8.528115754492553,0.8810157597938522,-0.2644358705389911,-0.05385178285667875,-0.013969008824778672,0.0373943283141125,LR,leaky,0.1,0,,,,,,,,,,,,,
12,3.004980075822733,9.112512425226369,0.842615154880301,-0.258218484146487,-0.05088219364621937,-0.014578589388618883,0.039170122290961444,LR,leaky,0.1,0,,,,,,,,,,,,,
13,3.1029907902930463,9.70269420682624,0.895746339312737,-0.3055645577128653,-0.05723275816498583,-0.014479820028424748,0.04263285863096826,LR,leaky,0.1,0,,,,,,,,,,,,,
14,3.1990937068226146,10.308672721395796,0.92406755195297,-0.31808903738341354,-0.055678332516722454,-0.015156200047876163,0.04346901255659759,LR,leaky,0.1,0,,,,,,,,,,,,,
15,3.3006450957556996,10.961602762804922,0.9179697631555799,-0.26503972174645335,-0.04489774548052601,-0.01560625127924565,0.0434566324041225,LR,leaky,0.1,0,,,,,,,,,,,,,
16,3.395589831371187,11.593484796567704,0.9430312824031071,-0.3111492486403239,-0.04920182560100603,-0.015820940080390113,0.04537784854182973,LR,leaky,0.1,0,,,,,,,,,,,,,
17,3.481857961717917,12.18197451667945,0.8961856563134822,-0.3076959362017386,-0.05117738137782926,-0.016616404449955807,0.040996121254866014,LR,leaky,0.1,0,,,,,,,,,,,,,
18,3.564224098463874,12.76440495701751,0.882062767366386,-0.2996323270283263,-0.04716198543255449,-0.01652108100162619,0.041291124472627415,LR,leaky,0.1,0,,,,,,,,,,,,,
19,3.644423038694033,13.33727712793857,0.9370382947623197,-0.3641661238412584,-0.05700374371155474,-0.017339513630902602,0.040379262673668564,LR,leaky,0.1,0,,,,,,,,,,,,,
20,3.715067173827961,13.850506323010311,0.8346632173909663,-0.3214340223192259,-0.0520169460003707,-0.017656056332799274,0.0418976368708536,LR,leaky,0.1,0,0.023730508677518428,35.17258010493897,0.0,0.0,1.2869036003607512,2.335428008737853,-1.7325007572845357,0.9232000112533569,-4.794239970296044e-10,0.0,0.0106709305092926,0.010670930988716597,7.674952647097907
21,3.7848937040911492,14.373947285802695,0.9012532869779523,-0.377812324185568,-0.05586928328535186,-0.018152031071680504,0.041247938700253145,LR,leaky,0.1,0,,,,,,,,,,,,,
22,3.8685996059357075,15.006839533013581,0.9820429955928374,-0.34915074838195137,-0.048381522793214095,-0.01836849772308115,0.03802194866351783,LR,leaky,0.1,0,,,,,,,,,,,,,
23,3.9411902945036985,15.571703163314794,0.9450158453795251,-0.3801522150783134,-0.053817864117619914,-0.01841796829745591,0.03945457781199366,LR,leaky,0.1,0,,,,,,,,,,,,,
24,4.020510456389786,16.202887658547905,0.9997554136978463,-0.36857091846473566,-0.04925749110888345,-0.018667870694508343,0.03598851592309074,LR,leaky,0.1,0,,,,,,,,,,,,,
25,4.094549145639231,16.80442480668754,0.9621964002514887,-0.3606592521118537,-0.04746745168612529,-0.019130397588155622,0.033969329751562326,LR,leaky,0.1,0,,,,,,,,,,,,,
26,4.163888228529803,17.379661217650504,0.9013287667552166,-0.3260923557922506,-0.04659287565259802,-0.019903739223611824,0.032663005380891265,LR,leaky,0.1,0,,,,,,,,,,,,,
27,4.231633952266112,17.94889025930061,0.9350429388878315,-0.36581389723772406,-0.04811778530556623,-0.01964106133651513,0.0336221268447116,LR,leaky,0.1,0,,,,,,,,,,,,,
28,4.3067681764940255,18.586694941147815,1.028311079595992,-0.39050639774878687,-0.04707676967413091,-0.020485048108919605,0.03227443792973645,LR,leaky,0.1,0,,,,,,,,,,,,,
29,4.370583274935552,19.140799274049744,0.8890880016724697,-0.33498366877054125,-0.041924500365264544,-0.020842800754494156,0.029540466158650816,LR,leaky,0.1,0,,,,,,,,,,,,,
30,4.435915844260719,19.713488193872223,1.058741264730404,-0.48605234490792554,-0.05692987725403375,-0.02237257503388452,0.02799604777348577,LR,leaky,0.1,0,0.025477975198660716,41.55515720833491,0.0,0.0,1.326114206351768,2.737796461193159,-2.3326299881481334,0.917900025844574,,,,,
31,4.501604168687848,20.29965570883772,1.029370526302679,-0.4432030113371813,-0.051862086053745794,-0.021788099714026926,0.028484322647564113,LR,leaky,0.1,0,,,,,,,,,,,,,
32,4.560844223217133,20.832866813951306,0.9700673989812543,-0.4368562938676685,-0.051153665730593885,-0.023269957721533254,0.026710882753977785,LR,leaky,0.1,0,,,,,,,,,,,,,
33,4.616415974527825,21.343067147019447,0.936145602600216,-0.42594526953207695,-0.049678650641430996,-0.02378709983892144,0.02542340875719674,LR,leaky,0.1,0,,,,,,,,,,,,,
34,4.674995404964713,21.888423005167287,0.9350525248788246,-0.38969666673098524,-0.045255376149076695,-0.023613996313071296,0.024285566762555392,LR,leaky,0.1,0,,,,,,,,,,,,,
35,4.741910150648745,22.516793712141727,1.0395648475649943,-0.4111941405905501,-0.04606146987758967,-0.023646379632884535,0.02421198889031075,LR,leaky,0.1,0,,,,,,,,,,,,,
36,4.809310765797986,23.156795719688052,1.061192902548032,-0.4211908950017125,-0.04660637481267736,-0.023788354174901768,0.0219076682603918,LR,leaky,0.1,0,,,,,,,,,,,,,
