task,N,N2,D2,erode,cos,rowmean,bias,arm,kind,param,seed,steps2,persist,kappa_g,absd2,gate_cv,sd,zbar,acc,E,E_pred,r_W1b1,r_W2,r_scale
1,1.0943684881015576,1.2024588737854018,0.8609409127233226,0.008773098275160146,0.007808532944811132,0.0008000700106560463,0.001406992439806345,ELU1,elu,1.0,1,,,,,,,,,,,,,
2,1.4499880421048994,2.1114361091186984,1.0537139085930312,-0.1447366732597344,-0.06384541388928631,-0.0008458640684924803,-0.003900828709738562,ELU1,elu,1.0,1,,,,,,,,,,,,,
3,1.7101078649331092,2.9421794462291655,1.090142526986805,-0.2593991898763378,-0.0861113889162092,-0.0025758582041789293,-0.008498204637435265,ELU1,elu,1.0,1,,,,,,,,,,,,,
4,1.9208670784157318,3.7165361856116785,1.0293546146227428,-0.2549978752402303,-0.0731930594028059,-0.004371110571035196,-0.01133241347852163,ELU1,elu,1.0,1,,,,,,,,,,,,,
5,2.0921679848756645,4.41180157637578,0.9695005991468885,-0.2742352083827874,-0.07287900680880353,-0.00533189472614181,-0.011396562758018263,ELU1,elu,1.0,1,,,,,,,,,,,,,
6,2.2541391011515746,5.121453663608732,0.962181178631478,-0.2525290913985249,-0.0617656956514622,-0.006450413350803018,-0.013287917248671875,ELU1,elu,1.0,1,,,,,,,,,,,,,
7,2.390580677029728,5.7582291439321285,0.9024005271004664,-0.26562504677707055,-0.06039409475679441,-0.007434439805765334,-0.01466231933911331,ELU1,elu,1.0,1,,,,,,,,,,,,,
8,2.521751896586157,6.408126977671198,0.935485119694311,-0.28558728595524074,-0.05921723858479342,-0.008641416188079828,-0.01524380736547755,ELU1,elu,1.0,1,,,,,,,,,,,,,
9,2.646950055228514,7.060273319307807,0.9551436371325903,-0.30299729549598176,-0.06087803856459496,-0.009804738699437267,-0.01394590171519667,ELU1,elu,1.0,1,,,,,,,,,,,,,
10,2.7624127760544765,7.693612217382731,0.8999859874127003,-0.2666470893377765,-0.05051452547312419,-0.011001350446294918,-0.01500814155297121,ELU1,elu,1.0,1,,,,,,,,,,,,,
11,2.8661797323499525,8.281241977529271,0.8627394440559064,-0.275109683909365,-0.05227705305619261,-0.01154129124468517,-0.01371757360677293,ELU1,elu,1.0,1,,,,,,,,,,,,,
12,2.975385713694635,8.919381036103417,0.9371326299130306,-0.29899357133888516,-0.052554060653915755,-0.012630430231924063,-0.01402750783599913,ELU1,elu,1.0,1,,,,,,,,,,,,,
13,3.0819169625535916,9.56544250578279,0.9233186489629169,-0.2772571792835432,-0.04759352931731753,-0.014101549094320336,-0.014478050375182648,ELU1,elu,1.0,1,,,,,,,,,,,,,
14,3.184275205290287,10.21214512778699,0.8908494971107828,-0.24414687510658614,-0.040545050239226735,-0.014673180038529776,-0.014150098036043345,ELU1,elu,1.0,1,,,,,,,,,,,,,
15,3.2811187824527526,10.848201655255462,0.8949811946462464,-0.2589246671777733,-0.04055536514275655,-0.015297272810180671,-0.013523336389334872,ELU1,elu,1.0,1,,,,,,,,,,,,,
16,3.3769505476869743,11.491673706646344,0.85012572918965,-0.20665367779876923,-0.03395484173909283,-0.01619173716569286,-0.014319535010727122,ELU1,elu,1.0,1,,,,,,,,,,,,,
17,3.4690445227095825,12.127009485060666,0.913377593400179,-0.27804181498585356,-0.040819571750424395,-0.01669514620977412,-0.015150642374064773,ELU1,elu,1.0,1,,,,,,,,,,,,,
18,3.5667218602068984,12.814584583017227,0.986489806071519,-0.29891470811496146,-0.04083048558308942,-0.017029720161582,-0.012933348221704364,ELU1,elu,1.0,1,,,,,,,,,,,,,
19,3.6535395267948387,13.447347986455048,0.910705076694357,-0.27794167325653424,-0.039111596629193196,-0.017873043694458232,-0.01168396173743531,ELU1,elu,1.0,1,,,,,,,,,,,,,
20,3.737292043053572,14.071907221500167,0.9741179462494864,-0.3495587112043688,-0.0455234455859175,-0.019130968514263307,-0.012063451994908974,ELU1,elu,1.0,1,0.022633162688353484,43.03940901510621,0.12775425562380102,0.1285158344506053,1.0746320909907632,3.216486481334086,-2.0590439465486874,0.9172000288963318,0.001639466130057065,0.0016394602141015513,0.010575211975171646,0.008935745845114581,11.021653652152406
21,3.820520601342867,14.706580375846164,0.9479894202227968,-0.3133162658767987,-0.042053648924046005,-0.02058336254414889,-0.01314955269685015,ELU1,elu,1.0,1,,,,,,,,,,,,,
22,3.8973484764889497,15.307782050491888,0.8824826378431723,-0.28128096319744594,-0.03919665402011588,-0.02121218972884755,-0.01365638954564929,ELU1,elu,1.0,1,,,,,,,,,,,,,
23,3.9744479508848785,15.920976459195936,0.9489594207663399,-0.3357650120622961,-0.04561156221598546,-0.022430261136982484,-0.015526085798628629,ELU1,elu,1.0,1,,,,,,,,,,,,,
24,4.057897298052252,16.596666957886654,0.9222499591831185,-0.24655946049239663,-0.033165701789780865,-0.023252018770147816,-0.016911877845413984,ELU1,elu,1.0,1,,,,,,,,,,,,,
