zbar_cur,sigma_cur,between_cur,pos_frac,zbar_inv,sigma_inv,between_inv,pos_frac_inv,var_off,var_wid,var_cross,rowmean,rowmean_sd,cnorm,bias,bias_sd,star,star_sd,eps_max,w2col,gate_mean,ce_probe,acc,gbar,gvar_mean,gbar_var,pooled_var,g3_ident,cov,cov_abs,cov10,cov50,q10_med,hard_dead,gmin,gmax,gcorr,gcorr_degenerate,task,step,clamp,correct_seq,acc_seq,ce0,ce20,correct_fresh,acc_fresh,param_sha,fresh_param_sha,secs,vmrss_kb,maxrss_kb,cpu,arm,seed
0.24867404907706778,1.1561735706310419,3.5045985049869426,0.52748046875,0.1737864252219538,0.43710624923768737,1.0044272493025053,0.5577368164062501,0.1052921840160697,0.08741815981647985,-0.0016484707099103152,0.0016036811969384682,0.009113789714629525,1.1287360357599385,0.006486223586834967,0.06681137834261129,0.17076381630860843,0.9896695420517536,0.18986947085495048,0.7050454737125392,0.8487010443641338,0.2827288806438446,0.9115999937057495,0.84870104795089,0.3971697687205924,0.09630358782355147,0.49347335654415575,1.1879386363489175e-14,0.30703125,0.30703125,0.1939453125,0.4253515625,0.03031735420227051,0,0.0,2.0,0.04651206553825419,0,1,625,ref,9116,0.9116,2.3048408031463623,2.216860771179199,9116,0.9116,7fded27bc7bc7f823e5ad51986a28177e47dd21d60593fe68f2f588971d4c4c1,7fded27bc7bc7f823e5ad51986a28177e47dd21d60593fe68f2f588971d4c4c1,2.844877384020947,1019576,1069156,15,V06,18
0.2055540423451539,1.2303775859971615,2.9200431437482037,0.5074609375,0.1918550700651289,0.5612582716879769,1.5097308384517785,0.52770751953125,0.15593473455200443,0.1573800813196357,0.0016960316665347891,0.0016862765477320882,0.01113447116103827,1.5334979698770153,0.009311122958315536,0.08526709571188731,0.1820496026844946,1.2105263350088482,0.28067192675103453,0.7541926021384807,0.763893480875995,0.24996766448020935,0.9168000221252441,0.7638934797327965,0.3861785131828913,0.07715457726610375,0.4633330904489994,4.3298697960381105e-15,0.34375,0.34375,0.22220703125,0.47388671875,0.026355892419815063,0,0.0,2.0,0.14768999090677398,0,2,625,ref,9168,0.9168,2.8779797554016113,1.4944490194320679,,,b019e023d0e7d7f89b5731f22179d982f739b5cd0bfccdc318ca0cbaec03dd59,,4.8197865600232035,1019304,1069156,21,V06,18
0.11521916516511943,1.2100302537996666,2.666544921545035,0.50203125,0.15512820911054193,0.6225469792329088,1.7600187082595167,0.5041015624999999,0.1806174375399442,0.20849314670178212,-0.0015458428897065796,0.0013528256924627583,0.01204425197857353,1.7795811322051203,0.009445211831480265,0.09943538778263702,0.14802571558385744,1.313948843708001,0.3397012984277026,0.7862434686225757,0.6674896247603465,0.25759443640708923,0.9125999808311462,0.6674896261584945,0.34769096780308717,0.08218725002132754,0.42987821782441166,3.0531133177191805e-15,0.40021484375,0.40021484375,0.26529296875,0.535390625,0.016054940223693852,0,0.0,2.0,0.25405149837856444,0,3,625,ref,9126,0.9126,3.3888556957244873,1.3534467220306396,,,f74fe19ae00140d7dbc28367cb3c43ef6bd9f133cb64a3c3c4fdc22e476d3f9c,,8.24094598996453,1064940,1069156,21,V06,18
0.2077233899771833,1.190047841908841,2.302277356045835,0.5130859375,0.18880115730926728,0.6578787973613882,1.7179066992574148,0.51188232421875,0.17469586906615525,0.25860301368720423,-0.000494370735693041,0.001677257988988347,0.01180105941283509,1.9627531605101185,0.012067524350713938,0.1091809305954379,0.18388216265312998,1.2948084969963523,0.34432288300085057,0.8160840064933614,0.626436060013948,0.2775336503982544,0.9158999919891357,0.6264360597112681,0.3359119288587135,0.08105453197250499,0.41696646083122074,2.220446049250313e-15,0.43080078125,0.43080078125,0.28982421875,0.56759765625,0.015051096677780151,0,0.0,2.0,0.20664418391109868,0,4,625,ref,9159,0.9159,3.895867109298706,1.389102578163147,,,1800101bc029a09dd74781a9b110b36ef8158dbe12a7d3d95a0216c74eed58da,,11.505025382037275,1095568,1093532,21,V06,18
0.23224921376464683,1.22881450007075,2.484213451939731,0.53970703125,0.2500496529826691,0.7083301695899125,1.9100485919617691,0.5310205078125,0.19483790943110052,0.30614866538387164,0.0007450543363019352,0.002173222552670514,0.012399056321032002,2.1119291154702666,0.015174785924609751,0.1188687134548535,0.23779494888651156,1.363239048270268,0.40585179799485227,0.842569361045117,0.6480255282355938,0.31079381704330444,0.9120000004768372,0.6480255267454776,0.35230805041646607,0.07174920375836404,0.42405725417483153,1.4432899320127035e-15,0.415390625,0.415390625,0.2762109375,0.55216796875,0.015697455406188967,0,0.0,2.0,0.2470401561877532,0,5,625,ref,9120,0.912,3.1000444889068604,1.172390103340149,,,388de122e286ffd084e4e338aa82074512f50cad7f6db4307cbd688de0639720,,14.874889872968197,1034476,1093532,21,V06,18
0.24115808850611528,1.2153593533094265,2.553119414713797,0.5454296875,0.2595643935973808,0.73628597461739,2.030643729088837,0.53245361328125,0.2048855618927928,0.3372291058861201,2.3686393669128393e-06,0.00221542426884613,0.012717037102359458,2.22642241360985,0.01680772028514184,0.12833176698420815,0.24375093470845186,1.4018229080321722,0.39446455883633735,0.8670652503692318,0.6137501541920938,0.2691144347190857,0.9162999987602234,0.6137501552235335,0.32481943215743975,0.08274225120243617,0.40756168335987253,3.3861802251067274e-15,0.4336328125,0.4336328125,0.28875,0.57552734375,0.014453786611557008,0,0.0,2.0,0.19694994920881354,0,6,625,ref,9163,0.9163,4.1478471755981445,1.4293774366378784,,,dbe13284cc69faa5201e45a984ced53d7c8ee31f818724b7ebb2581a2a75db99,,18.257136940024793,1019352,1093532,21,V06,18
0.20603765052549902,1.178350512718323,2.216899206926617,0.51400390625,0.2611118046765599,0.7478173763250573,1.928567473316951,0.5202612304687501,0.19167174825133962,0.3657493223269816,0.0018097577553711317,0.002117072916735768,0.012304572023578908,2.3362218994314072,0.018050990597112106,0.1347957197985797,0.23491930771760014,1.3633991715501892,0.3946599352282826,0.8806722041795763,0.6019996396359056,0.2787500321865082,0.9147999882698059,0.6019996404252015,0.32914582840851603,0.07298838443373126,0.40213421284224976,2.4980018054066022e-15,0.4425,0.4425,0.2906640625,0.5841015625,0.012806499004364015,0,0.0,2.0,0.2765361689201572,0,7,625,ref,9148,0.9148,3.8640451431274414,1.195050597190857,,,c227c3a2934c5c334668d1ad16c83c99b455f259d479646271625a4beff49e86,,21.49303312005941,1064852,1093532,21,V06,18
0.19467674901949145,1.1721127663042772,2.0873204046126888,0.504375,0.25569091389671345,0.7577496774576841,1.8116896492016097,0.5305859375,0.17622668591631002,0.3964758430482739,0.001482044722640282,0.0020547206822095748,0.01179412212834537,2.4328892175590537,0.019572059133352013,0.1433071161062449,0.23005314978492514,1.3174788754419302,0.3759363297143875,0.8947476623388348,0.6061857497459278,0.25379055738449097,0.9114000201225281,0.6061857507040258,0.32676403482939437,0.07281031461391421,0.399574349443307,1.609823385706477e-15,0.43474609375,0.43474609375,0.28662109375,0.57908203125,0.013434833288192751,0,0.0,2.0,0.19866899242911717,0,8,625,ref,9114,0.9114,4.612473011016846,1.4711922407150269,,,19b414ffab3084d87d40db9843e6166c1df044ecb68ee57ebbdced9d19eb9b46,,25.084772253991105,1095516,1093532,27,V06,18
0.18449689076715978,1.220158913350279,2.202729378103245,0.51736328125,0.24699268200283167,0.776213082902966,1.8367011145903323,0.52859130859375,0.17831716788207852,0.42191664688135816,0.0022729353062899416,0.001963752479835766,0.011881373475920373,2.5199702041841414,0.020336292076390237,0.15044933868011673,0.22149879912872586,1.3277536745998921,0.43611684460111466,0.9141235834978295,0.6505029497190844,0.30200910568237305,0.9060999751091003,0.6505029505176936,0.35137398107634255,0.06785118146155425,0.4192251625378954,1.3877787807814457e-15,0.406015625,0.406015625,0.26322265625,0.5482421875,0.016091561317443846,0,0.0,2.0,0.2692614857334617,0,9,625,ref,9061,0.9061,3.478015422821045,1.1220396757125854,,,589bc939948deb951109273854c086348c1331a8e0c5bcb4e4cabe6ad016b48c,,28.59810677205678,1034432,1093532,27,V06,18
0.14975546694010217,1.193868696998404,1.8488570580828674,0.50404296875,0.23171452369786066,0.7872444182899193,1.7325965079411096,0.52029052734375,0.16449347886881868,0.451757578250568,0.003502717009246621,0.0018196170419643076,0.011422333454179248,2.608257237480911,0.02047062636585906,0.15551565970423284,0.20686821455238444,1.2797985467960804,0.4550674905988568,0.9298233942719608,0.6222017783718183,0.2999822497367859,0.9107000231742859,0.6222017796372529,0.3386275809619805,0.05710529709123297,0.39573287805321117,2.275957200481571e-15,0.416328125,0.416328125,0.270546875,0.56171875,0.014974510669708252,0,0.0,1.9999996423721313,0.2361009405343981,0,10,625,ref,9107,0.9107,5.029314994812012,1.2891919612884521,,,b44422d186ab2c7de4fcb1700e1d5ba7ee30c5946e972878c3b4f0c11d77f176,,31.778509772964753,1019308,1093532,27,V06,18
