arm                SA_iid   S_hi      F   A_ce      A  LL_e3  LL_e4  LL_e6  LL_e8
frac_c_neg          1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
slope_sig_on_pred   0.275  0.419  0.183  0.241  0.367  0.312  0.304  0.444  0.311
r_sig_pred          0.521  0.598  0.337  0.480  0.635  0.460  0.519  0.760  0.631
med_ratio           1.036  1.026  1.020  1.047  1.006  1.010  0.991  0.969  0.911
med_bal             1.036  1.026  1.020  1.047  1.006  1.010  0.991  0.969  0.911
coef_d              0.361  0.586  0.373  0.380  0.583  0.542  0.546  0.733  0.601
coef_c             -0.269 -0.335 -0.174 -0.249 -0.377 -0.311 -0.336 -0.439 -0.318
share_d             0.041  0.300 -0.075 -0.096 -0.030  0.014 -0.085  0.063 -0.045
cv_d                0.087  0.106  0.114  0.109  0.092  0.105  0.108  0.082  0.087
cv_c                0.218  0.115  0.184  0.200  0.201  0.148  0.174  0.117  0.211
cv_sig              0.132  0.065  0.074  0.085  0.141  0.078  0.082  0.077  0.115
slope_d_on_sig      0.065  0.765  0.435  0.085  0.095  0.453  0.305  0.379  0.140
r_d_out            -0.008 -0.493  0.226  0.157 -0.077  0.063  0.157 -0.316 -0.069
slope_d_on_out     -0.009 -0.290  0.499  0.258 -0.079  0.129  0.328 -0.334 -0.111
med_c              -0.262 -0.356 -0.288 -0.287 -0.251 -0.358 -0.351 -0.357 -0.272
med_rel_dV          0.006  0.010  0.013  0.008  0.013  0.021  0.031  0.036  0.051
