arm,seed,frac_c_neg,slope_sig_on_pred,r_sig_pred,med_ratio,med_bal,coef_d,coef_c,share_d,cv_d,cv_c,cv_sig,slope_d_on_sig,r_d_out,slope_d_on_out,med_c,med_rel_dV
A,0,1.0,0.2132274529555302,0.6397171058952141,1.0197654016587794,1.0197654016587796,0.41214683198004654,-0.21923733479153382,-0.031153893009895104,0.09598897246873922,0.21295551205929655,0.10730582964831148,0.11083965436058946,-0.09698709849901002,-0.10047162241453071,-0.25166929285280376,0.0053874519879203876
A_ce,0,1.0,0.24141380378736932,0.387559137133064,1.04131101541022,1.0413110154102203,0.3451599662710969,-0.2468478548559519,-0.05527346519531091,0.09412312640468956,0.16688121623992005,0.09178393190065473,0.07036426280652917,-0.015890228414315154,-0.022240626939738196,-0.27993440774695105,0.006941099532575873
F,0,1.0,0.2370820298985266,0.5023359544170095,1.015057370803654,1.015057370803654,0.3943124151678324,-0.2573092744831753,-0.14764073643541814,0.10356510500214436,0.18999589143336798,0.07334116214480486,0.09987540803743143,0.15128844092264804,0.3124589751053495,-0.2881209984038886,0.016112251887357203
S_hi,0,1.0,0.42750576697920634,0.5942913801220967,1.011157795417653,1.0111577954176525,0.6431632066011793,-0.37862885280896996,0.18476584787406417,0.08747688213797036,0.11308778937220412,0.06730832156966352,0.5774700334360856,-0.45122266064499605,-0.19909412197966442,-0.35366249159283214,0.017446177206921078
SA_iid,0,1.0,0.35864284612010977,0.5435024027056978,1.0022336164802765,1.002233616480276,0.4552548802277253,-0.3617397221537665,-0.03311630004632312,0.0944142347549772,0.2189156690795885,0.14051390541872644,0.017529808841979893,0.07803495381689188,0.09353003913278268,-0.25705520682792904,0.011058104656917648
LL_e8,0,1.0,0.3159280421431224,0.5916091558481924,0.9116797100435203,0.9116797100435206,0.6284875865319424,-0.3232826932848234,-0.024097422107011476,0.08522201822483848,0.18324742763288918,0.10476565511672824,0.2120293778875998,-0.06617923049821725,-0.08780258117487107,-0.27387110264142656,0.04911689872205925
LL_e6,0,1.0,0.608268001015685,0.7599905196252275,0.9665593527047798,0.9665593527047794,0.8787392777489884,-0.5919728216164306,0.05682386852011051,0.08332926186972203,0.11346311965038472,0.07372326094684446,0.41794127410074505,-0.26744001166950326,-0.2674379169806461,-0.3722418981374116,0.038267423870743514
LL_e4,0,1.0,0.29771879306409554,0.5231477215693064,0.9819958938284912,0.9819958938284911,0.5824684574204747,-0.3383728574501583,-0.1665497632526215,0.11459110914621429,0.1796323845431129,0.07367353317546577,0.42990177810197006,0.27571583871094363,0.6876563733475881,-0.351058356583086,0.03053092203624389
LL_e3,0,1.0,0.3940921103800177,0.5614859568919306,1.031298710065469,1.031298710065469,0.5622703256107644,-0.3393652792169689,0.2455163400220493,0.11255565070640956,0.135291658944388,0.07714753875113681,0.6515693249124468,0.09054145980344984,0.23448590442680362,-0.37806418778799,0.012039680137835991
A,1,1.0,0.3616984528006628,0.6304819606581157,1.0110347850583783,1.0110347850583787,0.8472887413439326,-0.37579715449523626,-0.029902339909827717,0.09356764454054757,0.22306903250994894,0.14542629895484163,0.2002171783555182,-0.25520450874692274,-0.319702220385317,-0.24159466791666134,0.013285491103505465
A_ce,1,1.0,0.21574519823600485,0.43347943396264504,1.0477324729825002,1.0477324729825002,0.40835611388865894,-0.23956226013411744,-0.14110147596218842,0.11534697613087444,0.19831745998792488,0.08295300993826388,0.1929055505176809,0.1763630231564528,0.29292664213192493,-0.28745234499310746,0.00462509572395995
F,1,1.0,0.19110559620126497,0.3597990781993506,1.010692715240213,1.010692715240213,0.3858211675144222,-0.15348242392601139,0.1619324082336576,0.10364460902842765,0.15861903904566263,0.08422284224491702,0.43912670821559624,0.19880477357832113,0.398208796994111,-0.28234268714886757,0.014972823319260094
S_hi,1,1.0,0.5929167658254618,0.7007381659281264,1.0294965958122413,1.0294965958122413,0.7862384788273389,-0.43377456821297733,0.4515134537748605,0.10203697673841132,0.10469307812626068,0.08506390555923615,0.7644281728054282,-0.45554304551135844,-0.23536170117215077,-0.3568915711860581,0.0069850093530659085
SA_iid,1,1.0,0.2092908559504537,0.499299336495375,1.0335273247710515,1.0335273247710512,0.29638164098669684,-0.20721402333050748,0.023291332375323173,0.09230971051821779,0.2724854103787862,0.12973547415596404,0.07209517747662122,-0.0036004089661812334,-0.003106469485158485,-0.25426952726284596,0.005608822101676835
LL_e8,1,1.0,0.3060030078182274,0.6243340407973224,0.8893338272305666,0.8893338272305666,0.6983837511873708,-0.3119144981756237,-0.015296146617947554,0.08737236482164251,0.2260049826539891,0.14000927912896716,0.1791521247751155,-0.15084302032049807,-0.20075575669450701,-0.2613298872358929,0.05342473813076962
LL_e6,1,1.0,0.4402395412178388,0.789516543875612,0.9672950471684245,0.9672950471684245,0.7073522735200286,-0.43331818991088566,0.025257264409579126,0.08589735140758128,0.12826927842805513,0.083602424680884,0.3548567347749754,-0.3828566787286418,-0.37554654508610763,-0.3510896395663493,0.03467172319703099
LL_e4,1,1.0,0.21145408112284897,0.3810429126562738,0.9889652144151233,0.9889652144151233,0.5102548386185773,-0.2502568922349993,-0.1492427599981996,0.1088387434586912,0.1650704150078929,0.08375712276496156,0.3287970779183856,-0.03320374803745559,-0.07600163298793293,-0.33680395672739016,0.031660681590202036
LL_e3,1,1.0,0.21105905551699472,0.4474454584908014,1.0037284468725343,1.0037284468725343,0.5950220830648705,-0.2346012420014471,-0.06531860481483615,0.10382310404366954,0.181814485510509,0.08115395091259042,0.5189158682759945,0.17594000887531544,0.44814215219400627,-0.3544517345070951,0.021626588207483147
A,2,1.0,0.3730678546185175,0.6480285634550499,1.0000758753131112,1.0000758753131112,0.5894533122732445,-0.37821626851043655,-0.02437268482936834,0.08708619037356642,0.20274782445458903,0.13564240864604069,0.07864713784159125,-0.024102179236824346,-0.028556755682510673,-0.24950123037924657,0.00932394389132324
A_ce,2,1.0,0.28988042262619257,0.5232729708861705,1.0511120817205786,1.0511120817205788,0.399171541165362,-0.3075456198898716,-0.19279694018645102,0.10642210008159331,0.18675250063790208,0.08015241889787673,-0.025198994832279394,0.16099050878730672,0.2725592655998013,-0.2822898626885766,0.008141878938298285
F,2,1.0,0.12130968414803098,0.29815556560139805,1.0096692058629928,1.0096692058629926,0.355321080362745,-0.13530452095134093,-0.0636081067750044,0.11679103350695817,0.19667654361340142,0.07729983408053691,0.473153881063538,0.23027296562717514,0.5212310575003166,-0.27614532019466875,0.013536002917424806
S_hi,2,1.0,0.5217095937286785,0.658213193624334,1.0333374328814018,1.0333374328814018,0.5852729697693004,-0.4452490035960981,0.5460535951253048,0.11535803546779047,0.11601514063345668,0.07269176014935297,0.7663017970918112,-0.6136684548552551,-0.39996340643251244,-0.3640796079214331,0.006814600305910835
SA_iid,2,1.0,0.20584334430283577,0.37427859499047367,1.0577817001498449,1.0577817001498446,0.20159246461768754,-0.2057604223216639,-0.019895111001967482,0.0869930585354529,0.2551308057819798,0.13401013970745188,-0.015134696396122796,-0.05585541562815357,-0.03609969744003196,-0.2534613794806856,0.001746515715590014
LL_e8,2,1.0,0.1764922684116443,0.6846506045914869,0.8758530691309931,0.8758530691309931,0.5730764378617029,-0.1804416084056005,-0.010058557462737814,0.09081898335795249,0.24468858328355714,0.146000089020367,0.17142952956989593,-0.10857488638074457,-0.14982746150243598,-0.2561673882158688,0.0572873419258521
LL_e6,2,0.99,0.31195736168155896,0.683900069486798,0.9761791234635601,0.97617912346356,0.7420375726209076,-0.31422118660004295,-0.0052915806697806655,0.07475543168092733,0.12603325572783355,0.08310226972412989,0.34738793441961185,-0.3743117622001678,-0.3162172249411229,-0.3551435786825518,0.02850520018763453
LL_e4,2,1.0,0.0833983931883053,0.31384076687468193,0.9723538925185466,0.9723538925185469,0.5339154389739289,-0.1079969952618062,-0.05775425421615906,0.09992396150473548,0.19711766896968436,0.0981809866217285,0.3855979649741873,-0.010537140147167333,-0.01936598752049968,-0.33285524574530134,0.03955768527897834
LL_e3,2,1.0,0.297985320528788,0.4670238659236354,1.0066777093777857,1.006677709377786,0.6775853864248398,-0.30550674710354303,-0.020214615352485556,0.08854583924730978,0.15087100748251298,0.08445643330759649,0.3982014525271797,0.05779439105549911,0.11629199044672503,-0.3524454578092016,0.027244723901485246
A,3,1.0,0.34278416757733426,0.5354605320479833,1.014360223302768,1.0143602233027675,0.575552332336312,-0.3434898277450137,-0.003040819407347032,0.09542937806816783,0.19980733379713198,0.13563932568373077,0.13562119591001434,-0.13237009459931362,-0.16135163950356052,-0.2466902769260118,0.010005716552333082
