model,condition,seed,update,valid,self_operation_valid,initial_S_target_jump,initial_prediction_rms,S,A,rho,sham_S,sham_rho,S_difference,S_difference_ratio,C_S,C_S_geometry,C_S_readout,C_output,C_output_c_only,prediction_difference_ratio,z_other_rms,z_other_rms_over_sigma,z_other_mean,v_other_rms,z_population_difference,force_z_population_difference,force_b_population_difference,loss,sham_loss
leaky100,free_sham,0,0,True,False,0.0,0.0,0.12949500607635772,4.024794390968734,0.03217431587733588,0.12949500607635772,0.03217431587733588,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3029750071494966e-08,5.3029750071494966e-08
leaky100,free_sham,0,1,True,False,0.0,0.0,0.1295000004521669,4.024798927957107,0.03217552050926878,0.1295000004521669,0.03217552050926878,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.915154848445812e-08,4.915154848445812e-08
leaky100,free_sham,0,2,True,False,0.0,0.0,0.12950464131272854,4.024803138118796,0.03217663991716608,0.12950464131272854,0.03217663991716608,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.748306715451842e-08,4.748306715451842e-08
leaky100,free_sham,0,5,True,False,0.0,0.0,0.12951605138652822,4.0248134707066265,0.03217939224492543,0.12951605138652822,0.03217939224492543,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.448296914353675e-08,4.448296914353675e-08
leaky100,free_sham,0,10,True,False,0.0,0.0,0.12952828641197495,4.024824514955675,0.03218234383403954,0.12952828641197495,0.03218234383403954,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1696796763196194e-08,4.1696796763196194e-08
leaky100,free_sham,0,20,True,False,0.0,0.0,0.12953863301314636,4.02483381371729,0.03218484017194886,0.12953863301314636,0.03218484017194886,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9254027287526374e-08,3.9254027287526374e-08
leaky100,free_sham,0,50,True,False,0.0,0.0,0.12954016144943664,4.024835609330952,0.03218520556445039,0.12954016144943664,0.03218520556445039,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6755020955668794e-08,3.6755020955668794e-08
leaky100,free_sham,0,100,True,False,0.0,0.0,0.12953713562857122,4.024834980008372,0.032184458809365095,0.12953713562857122,0.032184458809365095,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.460783934675318e-08,3.460783934675318e-08
leaky100,free_sham,0,200,True,False,0.0,0.0,0.12953773903279744,4.024840850915138,0.03218456178294457,0.12953773903279744,0.03218456178294457,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1335411236427785e-08,3.1335411236427785e-08
leaky100,free_sham,0,500,True,False,0.0,0.0,0.12955314923795053,4.024869128807043,0.03218816440780762,0.12955314923795053,0.03218816440780762,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3707001313190494e-08,2.3707001313190494e-08
leaky100,free_sham,0,1000,True,False,0.0,0.0,0.12958105716301235,4.024913227572188,0.0321947455352162,0.12958105716301235,0.0321947455352162,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4997898950598845e-08,1.4997898950598845e-08
leaky100,free_sham,0,2000,True,False,0.0,0.0,0.1296235898505113,4.024977824975609,0.03220479602301829,0.1296235898505113,0.03220479602301829,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.021325663775013e-09,6.021325663775013e-09
leaky100,free_sham,1,0,True,False,0.0,0.0,0.06349766799911953,4.040169023065592,0.015716587013218295,0.06349766799911953,0.015716587013218295,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.810808349330134e-05,1.810808349330134e-05
leaky100,free_sham,1,1,True,False,0.0,0.0,0.06327242202239083,4.039955569068348,0.015661662842738157,0.06327242202239083,0.015661662842738157,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2255753295025958e-05,1.2255753295025958e-05
leaky100,free_sham,1,2,True,False,0.0,0.0,0.0631710307199883,4.039862262663312,0.015636926858576185,0.0631710307199883,0.015636926858576185,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1034127380125746e-05,1.1034127380125746e-05
leaky100,free_sham,1,5,True,False,0.0,0.0,0.06308603579530697,4.039794411724969,0.015616150072441333,0.06308603579530697,0.015616150072441333,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0327526537308752e-05,1.0327526537308752e-05
