env,endpoint,family,contrast,seed,c,se,m,state,note
pmnist,twin_live,twins,twin_live_task_LRtw0,0,1,nan,nan,TWIN_LIVE,
pmnist,twin_live,twins,twin_live_task_LRtw0,1,1,nan,nan,TWIN_LIVE,
pmnist,twin_live,twins,twin_live_task_LRtw0,2,1,nan,nan,TWIN_LIVE,
pmnist,twin_live,twins,twin_live_task_LRtw1,0,1,nan,nan,TWIN_LIVE,
pmnist,twin_live,twins,twin_live_task_LRtw1,1,1,nan,nan,TWIN_LIVE,
pmnist,twin_live,twins,twin_live_task_LRtw1,2,1,nan,nan,TWIN_LIVE,
pmnist,twin_live,twins,twin_live_task_LRtw2,0,1,nan,nan,TWIN_LIVE,
pmnist,twin_live,twins,twin_live_task_LRtw2,1,1,nan,nan,TWIN_LIVE,
pmnist,twin_live,twins,twin_live_task_LRtw2,2,1,nan,nan,TWIN_LIVE,
pmnist,twin_live,twins,twin_live_task_LRtw3,0,1,nan,nan,TWIN_LIVE,
pmnist,twin_live,twins,twin_live_task_LRtw3,1,1,nan,nan,TWIN_LIVE,
pmnist,twin_live,twins,twin_live_task_LRtw3,2,1,nan,nan,TWIN_LIVE,
pmnist,L,H,PAR,0,-0.419497788,0.2024638054,0.2024638054,UNRES,
pmnist,L,H,PAR,1,-0.3109997511,0.1216269915,0.1216269915,UNRES,
pmnist,L,H,PAR,2,-0.1984989643,0.2069232006,0.2069232006,UNRES,
pmnist,L,H,a1,0,-1.359499693,0.1701028863,0.1701028863,DIR-,
pmnist,L,H,a1,1,-1.119500399,0.2559181094,0.2559181094,DIR-,
pmnist,L,H,a1,2,-0.6404983997,0.1618115728,0.1618115728,DIR-,
pmnist,L,H,b1,0,-0.940001905,0.215901595,0.215901595,DIR-,
pmnist,L,H,b1,1,-0.8085006475,0.310773971,0.310773971,DIR-,
pmnist,L,H,b1,2,-0.4419994354,0.2043959336,0.2043959336,DIR-,
pmnist,L,H,sL,0,-0.2204996347,0.2078921371,0.2078921371,UNRES,
pmnist,L,H,sL,1,-0.3580012918,0.1210068548,0.1210068548,UNRES,
pmnist,L,H,sL,2,-0.0729995966,0.1916963652,0.1916963652,UNRES,
pmnist,L,H,sE,0,0.1989981532,0.2316313696,0.2316313696,EQ,
pmnist,L,H,sE,1,-0.04700154066,0.170209948,0.170209948,EQ,
pmnist,L,H,sE,2,0.1254993677,0.1604070003,0.1604070003,EQ,
pmnist,L,H,Lb,0,1.359499693,0.1701028863,0.1701028863,DIR+,
pmnist,L,H,Lb,1,1.119500399,0.2559181094,0.2559181094,DIR+,
pmnist,L,H,Lb,2,0.6404983997,0.1618115728,0.1618115728,DIR+,
pmnist,L,H,Eb,0,0.940001905,0.215901595,0.215901595,DIR+,
pmnist,L,H,Eb,1,0.8085006475,0.310773971,0.310773971,DIR+,
pmnist,L,H,Eb,2,0.4419994354,0.2043959336,0.2043959336,DIR+,
pmnist,L,H,N,0,0.7792489231,0.09900605648,0.09900605648,DIR+,
pmnist,L,H,N,1,0.536249429,0.09954804993,0.09954804993,DIR+,
pmnist,L,H,N,2,0.3829988837,0.1105770027,0.1105770027,DIR+,
pmnist,L,H,D,0,0.3597511351,0.1423398036,0.1423398036,DIR+,
pmnist,L,H,D,1,0.2252496779,0.1352354304,0.1352354304,DIR+,
pmnist,L,H,D,2,0.1844999194,0.1470351344,0.1470351344,DIR+,
pmnist,L,H,I,0,-0.5802507699,0.162833059,0.162833059,DIR-,
pmnist,L,H,I,1,-0.5832509696,0.1931914551,0.1931914551,DIR-,
pmnist,L,H,I,2,-0.257499516,0.1211420522,0.1211420522,DIR-,
pmnist,A,H,PAR,0,-0.3714993596,0.1327886161,0.154974926,DIR-,
pmnist,A,H,PAR,1,-0.2910000086,0.1104223018,0.1362992878,DIR-,
pmnist,A,H,PAR,2,-0.6945002079,0.1788044904,0.1958454925,DIR-,
pmnist,A,H,a1,0,-1.107499599,0.1402897816,0.1614485489,DIR-,
pmnist,A,H,a1,1,-0.8494997025,0.09318769506,0.1227532388,DIR-,
pmnist,A,H,a1,2,-1.084499359,0.07679245355,0.1108218933,DIR-,
pmnist,A,H,b1,0,-0.7360002398,0.1137004055,0.1389683177,DIR-,
pmnist,A,H,b1,1,-0.5584996939,0.1177291974,0.142283432,DIR-,
pmnist,A,H,b1,2,-0.3899991512,0.1789939375,0.1960184705,DIR-,
pmnist,A,H,sL,0,-0.474498868,0.174106522,0.191565895,DIR-,
pmnist,A,H,sL,1,-0.2240005136,0.09806404685,0.1264949343,DIR-,
pmnist,A,H,sL,2,-0.5810004473,0.1400117081,0.1612069773,DIR-,
pmnist,A,H,sE,0,-0.1029995084,0.1254152397,0.1487057277,EQ,
