seed,run_id,n_unit,n_event,n_event_reclass,n_event_transport,n_perm_unit,n_perm_reclass,n_perm_transport,n_alive_unit,r_reclass,PE_median_transport,PE_median_reclass,n_pe_transport,n_pe_reclass,frac_abs_dcos_boundary,n_window_total,n_window_dropped,d1_obs_median,d1_ctrl_q95,d1_frac_below,d1_obs_frac_zero,d1_ctrl_frac_zero,d1a_obs_median,d1a_ctrl_q95,d1a_obs_frac_zero,d1a_ctrl_frac_zero,reignite_rate_reclass,reignite_rate_transport,p_hat_prev_med_reclass,p_hat_prev_med_transport,wnorm_final_transport,absv_final_transport,e1_ratio_transport,e1_stab_self_transport,e1_stab_rest_transport,e1_n_unit_transport,e1_stab_self_min_transport,wnorm_final_reclass,absv_final_reclass,e1_ratio_reclass,e1_stab_self_reclass,e1_stab_rest_reclass,e1_n_unit_reclass,e1_stab_self_min_reclass,wnorm_final_alive,absv_final_alive,e1_ratio_alive,e1_stab_self_alive,e1_stab_rest_alive,e1_n_unit_alive,e1_stab_self_min_alive
0,A_w100_T10000_std_lr0.01_s0,100,1206,150,1056,95,15,80,5,0.15789473684210525,0.3625682324929057,0.20548385423677362,52,19,0.1396196837694615,71,0,0.0,1.6689300537109375e-06,0.9333333333333333,0.9333333333333333,0.9357118927973199,0.0,1.1920928955078125e-05,0.9333333333333333,0.8957319000948467,0.9,0.9242424242424242,0.09375,0.0625,2.791868209838867,1.2431695461273193,0.9532819461201585,1.0,0.83869823534628,72,1.0,3.393629312515259,1.1492807865142822,1.0149231894422317,1.0,0.9214470284237726,13,1.0,5.012876033782959,1.0667920112609863,0.9642045186464939,1.0,0.9008301215535132,5,1.0
1,A_w100_T10000_std_lr0.01_s1,100,1066,142,924,95,12,83,5,0.12631578947368421,0.3530268919011982,0.2892842412864338,56,17,0.15761606617411966,73,0,0.0,4.76837158203125e-07,0.971830985915493,0.971830985915493,0.9392030575412272,0.0,4.565715789794835e-06,0.971830985915493,0.8971759101735284,0.9154929577464789,0.9101731601731602,0.09375,0.0625,3.140489101409912,1.3210443258285522,0.9594526456699359,1.0,0.8711134682946279,72,1.0,3.0673232078552246,1.41499662399292,0.9535549880302188,1.0,0.8528269379323514,12,1.0,4.125207901000977,1.191713809967041,0.9462856186371644,1.0,0.8827984132708259,5,1.0
2,A_w100_T10000_std_lr0.01_s2,100,1384,202,1182,95,19,76,5,0.2,0.3170924433712691,0.2536191179306961,70,13,0.17162205817697374,83,0,0.0,2.384185791015625e-07,0.9603960396039604,0.9603960396039604,0.9428827304841036,0.0,2.86102294921875e-06,0.9603960396039604,0.9063620917500472,0.905940594059406,0.9357021996615905,0.09375,0.0625,2.903289794921875,1.1546764373779297,0.9843415138044747,1.0,0.8844980829557336,74,1.0,2.4467461109161377,1.0775097608566284,0.9477104459717097,1.0,0.9498525073746312,17,1.0,4.188963413238525,0.8386595249176025,0.9768768436985507,1.0,0.8448389217619987,5,1.0
3,A_w100_T10000_std_lr0.01_s3,100,1009,120,889,96,10,86,4,0.10416666666666667,0.36759372466581636,0.3529723082192773,60,17,0.16214712825472297,77,0,0.0,1.430511474609375e-06,0.925,0.925,0.9275963149078726,0.0,1.1676549911498893e-05,0.925,0.8743669335075968,0.9166666666666666,0.9032620922384702,0.09375,0.0625,2.994250774383545,1.3192706108093262,0.9413553962745611,1.0,0.8770662134363003,80,1.0,2.7879772186279297,1.5119414329528809,0.9315838183872761,1.0,0.858560794044665,9,1.0,2.6463398933410645,0.6032180190086365,0.9630681433194592,1.0,0.8929148013866293,2,1.0
4,A_w100_T10000_std_lr0.01_s4,100,934,109,825,98,9,89,2,0.09183673469387756,0.3921804916638056,0.3450592377455511,57,23,0.16006322670867673,80,0,0.0,1.1920928955078125e-06,0.908256880733945,0.908256880733945,0.9318150384952284,0.0,9.5367431640625e-06,0.908256880733945,0.8845191893057353,0.9174311926605505,0.8921212121212121,0.09375,0.0625,2.8605666160583496,1.1521739959716797,0.966935941870148,1.0,0.8637080690511999,82,1.0,4.335186958312988,1.2453457117080688,0.9604167922777125,1.0,0.9519450800915332,9,1.0,2.322805643081665,0.35384640097618103,0.961961027680186,1.0,0.8788288288288288,1,1.0
5,A_w100_T10000_std_lr0.01_s5,100,1375,227,1148,87,13,74,13,0.14942528735632185,0.36700701362585825,0.26445129432011244,51,29,0.23625642083004836,80,0,0.0,2.384185791015625e-07,0.9559471365638766,0.9515418502202643,0.9414251876120692,0.0,2.2649765014648438e-06,0.9515418502202643,0.9053749333770653,0.9427312775330396,0.9355400696864111,0.09375,0.0625,2.632751941680908,1.1769514083862305,0.9634869946428328,1.0,0.8785714285714286,71,1.0,2.878122091293335,1.5285983085632324,0.9075524443569201,1.0,0.9293261413383365,12,1.0,4.075381278991699,1.1929736137390137,0.9890598534392073,1.0,0.9044652128764278,13,1.0
6,A_w100_T10000_std_lr0.01_s6,100,1207,117,1090,95,9,86,5,0.09473684210526316,0.42131821059707697,0.409516963646669,63,14,0.10724655031962663,77,0,0.0,5.602836608886719e-06,0.905982905982906,0.905982905982906,0.9337714212086071,0.0,5.8650970458984375e-05,0.905982905982906,0.8892774819171767,0.9230769230769231,0.9211009174311927,0.09375,0.0625,3.0376837253570557,1.2038114070892334,0.9711150899333421,1.0,0.8588586952093027,80,1.0,3.2494864463806152,1.2471691370010376,0.9476654416445951,1.0,0.8942891532074586,8,1.0,4.064855098724365,0.6754048466682434,0.9857257521732,1.0,0.9042238831913784,5,1.0
7,A_w100_T10000_std_lr0.01_s7,100,1101,136,965,95,11,84,5,0.11578947368421053,0.3757771144617871,0.3625296265703331,57,13,0.1567858668232923,70,0,0.0,1.430511474609375e-06,0.9411764705882353,0.9411764705882353,0.9282441619864026,0.0,9.5367431640625e-06,0.9411764705882353,0.8778058361391695,0.9191176470588235,0.9129533678756476,0.09375,0.0625,2.904923915863037,1.1747398376464844,0.9274526306716833,1.0,0.8459163669963041,78,1.0,3.2138805389404297,1.2308757305145264,0.9807383377069937,1.0,0.9417876706509651,8,1.0,4.050774574279785,0.8920384049415588,0.9540884172010573,1.0,0.8846608366816355,5,1.0
8,A_w100_T10000_std_lr0.01_s8,100,1391,220,1171,94,17,77,6,0.18085106382978725,0.3428486558634895,0.37052164277830824,63,17,0.15450507800671345,80,0,0.0,1.1920928955078125e-07,0.9590909090909091,0.9590909090909091,0.9469849246231156,0.0,2.2649765014648438e-06,0.9590909090909091,0.9143720328010359,0.9227272727272727,0.9342442356959864,0.09375,0.0625,2.752483367919922,1.241864562034607,0.9580847726712933,1.0,0.8631130746574465,74,1.0,2.75846266746521,1.3646851778030396,1.0143923255745704,1.0,0.9232089648918254,16,1.0,3.6208834648132324,0.9716256856918335,0.9378931822385176,1.0,0.8195427327163854,5,1.0
9,A_w100_T10000_std_lr0.01_s9,100,1135,122,1013,92,19,73,8,0.20652173913043478,0.3977925765233083,0.3515477379093004,67,8,0.1444461743970571,75,0,0.0,1.3113021850585938e-06,0.9672131147540983,0.9672131147540983,0.9418815388417497,0.0,2.2411346435546875e-05,0.9672131147540983,0.9053478086047446,0.8442622950819673,0.9279368213228035,0.09375,0.0625,2.8525660037994385,1.4233686923980713,0.9137654025207599,1.0,0.8492688413948256,69,1.0,3.0265870094299316,1.2681055068969727,0.9198718435031992,1.0,0.882278159166031,18,1.0,4.974584102630615,1.3016571998596191,0.9763143357576884,1.0,0.9446039035591275,7,1.0
