seed,run_id,unit,pair_index,step_prev,step_post,path,pair_win,reignited,permanent,p_hat_prev,p_hat_post,d_cos,d_wnorm,v,w_norm_prev
0,A_w100_T10000_std_lr0.01_s0,64,0,0,1000,transport,-1,True,False,0.0625,0.03125,-0.008182287216186523,-6.687641143798828e-05,-0.01717628724873066,1.482245922088623
0,A_w100_T10000_std_lr0.01_s0,97,0,0,1000,transport,-1,True,False,0.0625,0.03125,-0.012537911534309387,3.0994415283203125e-05,-0.07097908109426498,1.6634232997894287
0,A_w100_T10000_std_lr0.01_s0,37,1,1000,2000,transport,-1,True,False,0.0625,0.03125,-0.010847121477127075,0.0013475418090820312,-0.11162632703781128,1.374076247215271
0,A_w100_T10000_std_lr0.01_s0,37,3,3000,4000,transport,-1,True,False,0.0625,0.03125,-0.007391512393951416,0.00034630298614501953,-0.13804708421230316,1.376640796661377
0,A_w100_T10000_std_lr0.01_s0,93,3,3000,4000,transport,-1,True,False,0.0625,0.03125,-0.004919849336147308,1.1801719665527344e-05,0.01508108340203762,1.6120399236679077
0,A_w100_T10000_std_lr0.01_s0,63,110,10000,10001,reclass,0,True,False,0.1875,0.0,-0.121531642973423,0.0,-0.34240907430648804,1.5899733304977417
0,A_w100_T10000_std_lr0.01_s0,64,110,10000,10001,reclass,0,True,False,0.0625,0.0,-0.09667424857616425,0.0,0.025185130536556244,1.4823583364486694
0,A_w100_T10000_std_lr0.01_s0,77,110,10000,10001,reclass,0,True,False,0.125,0.03125,-0.06750689446926117,0.0,-0.13755953311920166,1.3354099988937378
0,A_w100_T10000_std_lr0.01_s0,23,114,10004,10005,transport,0,True,False,0.0625,0.03125,-0.005719885230064392,-0.00018024444580078125,0.1471509039402008,1.3233559131622314
0,A_w100_T10000_std_lr0.01_s0,83,142,10032,10033,transport,0,True,False,0.09375,0.03125,-0.039557844400405884,-0.00037086009979248047,-0.888332188129425,1.8519142866134644
0,A_w100_T10000_std_lr0.01_s0,12,210,10100,11000,transport,-1,True,False,0.125,0.03125,-0.07483059167861938,-0.009802937507629395,-0.6456189155578613,1.5299205780029297
0,A_w100_T10000_std_lr0.01_s0,70,210,10100,11000,transport,-1,True,False,0.28125,0.03125,-0.0659395158290863,-0.007014870643615723,0.1367994248867035,1.10773766040802
0,A_w100_T10000_std_lr0.01_s0,89,210,10100,11000,transport,-1,True,False,0.1875,0.03125,-0.0375513955950737,-0.0003974437713623047,-0.5963969230651855,1.6846327781677246
0,A_w100_T10000_std_lr0.01_s0,94,210,10100,11000,transport,-1,True,False,0.0625,0.0,-0.02840927243232727,-0.0009249448776245117,0.347616046667099,1.573490858078003
0,A_w100_T10000_std_lr0.01_s0,37,211,11000,12000,transport,-1,True,False,0.0625,0.03125,-0.0019156932830810547,-8.130073547363281e-05,-0.07613043487071991,1.3720886707305908
0,A_w100_T10000_std_lr0.01_s0,39,211,11000,12000,transport,-1,True,False,0.0625,0.03125,-0.016925901174545288,-0.0008754730224609375,-0.10398950427770615,1.3955321311950684
0,A_w100_T10000_std_lr0.01_s0,27,212,12000,13000,transport,-1,True,False,0.0625,0.03125,-0.011242091655731201,0.005401492118835449,0.7569487690925598,1.9761897325515747
0,A_w100_T10000_std_lr0.01_s0,41,216,16000,17000,transport,-1,True,False,0.0625,0.03125,-0.0014296770095825195,0.0038295984268188477,0.465378999710083,1.4300553798675537
0,A_w100_T10000_std_lr0.01_s0,41,218,18000,19000,transport,-1,True,False,0.0625,0.03125,-0.0002744346857070923,0.0013880729675292969,0.4826906621456146,1.4359397888183594
0,A_w100_T10000_std_lr0.01_s0,41,231,19911,19912,transport,1,True,False,0.0625,0.03125,-0.00031897425651550293,-2.1457672119140625e-06,0.48874911665916443,1.4380155801773071
0,A_w100_T10000_std_lr0.01_s0,41,292,19972,19973,transport,1,True,False,0.0625,0.03125,-0.0005368143320083618,-3.6954879760742188e-06,0.48889869451522827,1.4380674362182617
0,A_w100_T10000_std_lr0.01_s0,8,320,20000,20001,reclass,1,True,False,0.0625,0.0,-0.09655590355396271,0.0,0.05843702331185341,1.3928065299987793
0,A_w100_T10000_std_lr0.01_s0,11,320,20000,20001,reclass,1,True,False,0.0625,0.0,-0.06466135382652283,0.0,0.8506513833999634,1.7463120222091675
