2026-09-17T20:01:35+09:00 launch: git 5ca60841ec2f6175a2333b69bee5d2463af00816  slots 4  need 1666 MiB/job  avail 11 GiB
2026-09-17T20:01:35+09:00 start s10  avail 11827 MiB
2026-09-17T20:02:00+09:00 start s11  avail 11274 MiB
2026-09-17T20:02:25+09:00 start s12  avail 10644 MiB
2026-09-17T20:02:50+09:00 start s13  avail 10544 MiB
2026-09-17T20:12:33+09:00 done  s12
2026-09-17T20:12:33+09:00 start s14  avail 9929 MiB
2026-09-17T20:13:01+09:00 done  s10
2026-09-17T20:13:01+09:00 start s15  avail 9977 MiB
2026-09-17T20:16:07+09:00 done  s13
2026-09-17T20:16:07+09:00 start s16  avail 9925 MiB
2026-09-17T20:16:55+09:00 done  s11
2026-09-17T20:16:55+09:00 start s17  avail 9899 MiB
2026-09-17T20:23:00+09:00 done  s15
2026-09-17T20:23:00+09:00 start s18  avail 9916 MiB
2026-09-17T20:24:00+09:00 done  s14
2026-09-17T20:24:00+09:00 start s19  avail 9885 MiB
2026-09-17T20:29:11+09:00 done  s16
2026-09-17T20:29:38+09:00 done  s17
2026-09-17T20:35:10+09:00 done  s18
2026-09-17T20:35:53+09:00 done  s19
2026-09-17T20:35:53+09:00 all jobs returned
