run_id,gname,ckpt,finite,n_alive,d,inter_abs_cos_Eg,inter_abs_cos_W,vcos_Eg_mean,vcos_W_mean,cos_self_median,cos_self_iqr_lo,cos_self_iqr_hi,cos_mu_absmean,exp_g,width_g,exp,width,period,enc,c,kappa,lr,batch,seed,git_hash
B_w100_K10000_c2.0_lr0.003_s0,B_w100,0,True,100,21,0.8782234191894531,0.17443783581256866,0.8782234191894531,0.0054935310035943985,0.08428087830543518,-0.22245224937796593,0.32692500948905945,0.7364651560783386,B,100,B,100,10000,std,2.0,1,0.003,1,0,753f5846d1bd93d8284ec4dfa089a3909766dd3c
B_w100_K10000_c2.0_lr0.003_s1,B_w100,0,True,100,21,0.8799632787704468,0.176650270819664,0.8799632787704468,-0.002486451296135783,0.2077123522758484,-0.26466890424489975,0.33031918853521347,0.8651840686798096,B,100,B,100,10000,std,2.0,1,0.003,1,1,753f5846d1bd93d8284ec4dfa089a3909766dd3c
B_w100_K10000_c2.0_lr0.003_s2,B_w100,0,True,100,21,0.8724623322486877,0.17429107427597046,0.8724623322486877,0.0020873956382274628,0.06565321981906891,-0.2968631014227867,0.33798646926879883,0.879523754119873,B,100,B,100,10000,std,2.0,1,0.003,1,2,753f5846d1bd93d8284ec4dfa089a3909766dd3c
B_w100_K10000_c2.0_lr0.003_s3,B_w100,0,True,100,21,0.8889738321304321,0.1766807585954666,0.8889738321304321,0.0003158560721203685,0.05163152143359184,-0.21832769736647606,0.29949983954429626,0.6446103453636169,B,100,B,100,10000,std,2.0,1,0.003,1,3,753f5846d1bd93d8284ec4dfa089a3909766dd3c
B_w100_K10000_c2.0_lr0.003_s4,B_w100,0,True,100,21,0.8606873154640198,0.17573514580726624,0.8606873154640198,0.0011944618308916688,0.11843472719192505,-0.11072780750691891,0.2937576174736023,0.4681227207183838,B,100,B,100,10000,std,2.0,1,0.003,1,4,753f5846d1bd93d8284ec4dfa089a3909766dd3c
B_w100_K10000_c2.0_lr0.001_s0,B_w100,0,True,100,21,0.8735300302505493,0.17642395198345184,0.8735300302505493,-0.0010139810619875789,0.23547104001045227,-0.2789190486073494,0.3344924822449684,0.8449049592018127,B,100,B,100,10000,std,2.0,1,0.001,1,0,753f5846d1bd93d8284ec4dfa089a3909766dd3c
B_w100_K10000_c2.0_lr0.001_s1,B_w100,0,True,100,21,0.8935655355453491,0.1744019240140915,0.8935655355453491,0.0003673214523587376,0.11273252218961716,-0.13099150359630585,0.2815435752272606,0.5348098278045654,B,100,B,100,10000,std,2.0,1,0.001,1,1,753f5846d1bd93d8284ec4dfa089a3909766dd3c
B_w100_K10000_c2.0_lr0.001_s2,B_w100,0,True,100,21,0.8728117346763611,0.1737576127052307,0.8728117346763611,-0.0033834653440862894,0.22398331761360168,-0.29463837295770645,0.3358950912952423,0.7552626729011536,B,100,B,100,10000,std,2.0,1,0.001,1,2,753f5846d1bd93d8284ec4dfa089a3909766dd3c
B_w100_K10000_c2.0_lr0.001_s3,B_w100,0,True,100,21,0.890910267829895,0.17511068284511566,0.890910267829895,-0.0006281858659349382,0.17508944869041443,-0.2851434201002121,0.3423084393143654,0.8833274245262146,B,100,B,100,10000,std,2.0,1,0.001,1,3,753f5846d1bd93d8284ec4dfa089a3909766dd3c
B_w100_K10000_c2.0_lr0.001_s4,B_w100,0,True,100,21,0.8845497965812683,0.17588552832603455,0.8845497965812683,-0.002880041254684329,-0.07009343057870865,-0.23220887407660484,0.3326348289847374,0.7117347121238708,B,100,B,100,10000,std,2.0,1,0.001,1,4,753f5846d1bd93d8284ec4dfa089a3909766dd3c
