run_id,ckpt_from,ckpt_to,finite,cos_all,cos_null,cos_neuron_mean,cos_neuron_absmean,exp,width,period,enc,c,lr,seed,git_hash
A_w5_T100_std_lr0.01_s0,0,10000,True,0.13975583016872406,0.03478844463825226,-0.22407503426074982,0.4176689684391022,A,5,100,std,,0.01,0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_std_lr0.01_s1,0,10000,True,0.32710134983062744,0.26995179057121277,0.536277711391449,0.536277711391449,A,5,100,std,,0.01,1,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_std_lr0.01_s2,0,10000,True,-0.035784922540187836,0.29600679874420166,0.13898177444934845,0.6987941861152649,A,5,100,std,,0.01,2,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_std_lr0.01_s3,0,10000,True,0.19320477545261383,0.3103274405002594,-0.039568107575178146,0.43223676085472107,A,5,100,std,,0.01,3,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_std_lr0.01_s4,0,10000,True,0.5058919191360474,0.037953246384859085,0.1861334592103958,0.33309048414230347,A,5,100,std,,0.01,4,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s0,0,10000,True,0.02279607206583023,0.009845416992902756,0.39541754126548767,0.4207705855369568,A,5,100,centered,,0.01,0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s1,0,10000,True,0.255776584148407,0.08386221528053284,0.12149413675069809,0.36101022362709045,A,5,100,centered,,0.01,1,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s2,0,10000,True,-0.11988461017608643,0.13298557698726654,-0.1602461040019989,0.4337224066257477,A,5,100,centered,,0.01,2,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s3,0,10000,True,0.11334166675806046,0.02510562725365162,0.14851295948028564,0.464761883020401,A,5,100,centered,,0.01,3,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s4,0,10000,True,0.06010589376091957,0.12086275964975357,0.13520726561546326,0.22604724764823914,A,5,100,centered,,0.01,4,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_std_lr0.01_s0,0,10000,True,-0.24643398821353912,-0.08320089429616928,-0.0674978718161583,0.5736457109451294,A,5,1000,std,,0.01,0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_std_lr0.01_s1,0,10000,True,0.07336974889039993,0.15625055134296417,0.49611949920654297,0.49611949920654297,A,5,1000,std,,0.01,1,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_std_lr0.01_s2,0,10000,True,-0.199236199259758,0.1240168884396553,-0.09179554134607315,0.7118046283721924,A,5,1000,std,,0.01,2,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_std_lr0.01_s3,0,10000,True,-0.030806180089712143,-0.2610752582550049,0.2465369701385498,0.651502251625061,A,5,1000,std,,0.01,3,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
