run_id,ckpt,n_pairs,finite,pcos_mean,pcos_median,pcos_absmean,pcos_frac_pos5,pcos_frac_neg5,pcos_split_mean,vpcos_mean,vpcos_split_mean,vpcos_frac_pos5,eig1_frac,pcos_alive_mean,vpcos_alive_mean,vpcos_perp_alive_mean,eig1_frac_alive,eig1_frac_perp_alive,n_alive,exp,width,period,enc,c,lr,seed,git_hash
A_w5_T100_std_lr0.01_s0,0,10,True,0.04906361550092697,0.08712205290794373,0.4951865077018738,0.2,0.2,0.04557323455810547,0.4951865077018738,0.4872589707374573,0.4,0.6287730932235718,-0.30197158455848694,0.95157790184021,0.9256667494773865,0.9677512049674988,0.9504690170288086,3,A,5,100,std,,0.01,0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_std_lr0.01_s1,0,10,True,-0.18570783734321594,-0.855986475944519,0.9379528164863586,0.4,0.6,-0.18569764494895935,0.9379528164863586,0.9375609159469604,1.0,0.9511839151382446,-0.32616397738456726,0.9759461283683777,0.7189610004425049,0.9820570945739746,0.7938997149467468,4,A,5,100,std,,0.01,1,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_std_lr0.01_s2,0,10,True,0.10411129891872406,0.5964049100875854,0.7843149304389954,0.6,0.4,0.10430701822042465,0.3080041706562042,0.3061363101005554,0.6,0.8355743288993835,-0.9804188013076782,0.9804188013076782,0.921262800693512,0.9902094006538391,0.9606313705444336,2,A,5,100,std,,0.01,2,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_std_lr0.01_s3,0,10,True,-0.19289934635162354,-0.9557498693466187,0.9680954217910767,0.4,0.6,-0.1928251087665558,0.9680954217910767,0.9678528904914856,1.0,0.9745001792907715,-0.19289934635162354,0.9680954217910767,0.021656563505530357,0.9745001792907715,0.3664964735507965,5,A,5,100,std,,0.01,3,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_std_lr0.01_s4,0,10,True,-0.05994284152984619,0.0,0.32501453161239624,0.1,0.2,-0.05997709557414055,0.16488438844680786,0.16437585651874542,0.3,0.5269795656204224,-0.09990473836660385,0.274807333946228,0.7507893443107605,0.6587244272232056,0.8141018748283386,4,A,5,100,std,,0.01,4,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s0,0,10,True,-0.057595979422330856,-0.05161090940237045,0.41503825783729553,0.0,0.3,-0.0566459484398365,0.3577364683151245,0.35399264097213745,0.3,0.5201040506362915,-0.09258147329092026,0.38626155257225037,0.3885467052459717,0.596152126789093,0.5982934832572937,3,A,5,100,centered,,0.01,0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s1,0,10,True,-0.18400102853775024,-0.91709303855896,0.9412919878959656,0.4,0.6,-0.18068484961986542,0.9412919878959656,0.9262933731079102,1.0,0.9530466794967651,-0.18400102853775024,0.9412919878959656,0.9424985647201538,0.9530466794967651,0.9540302157402039,5,A,5,100,centered,,0.01,1,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s2,0,10,True,0.0007709205383434892,0.14552047848701477,0.3202807307243347,0.0,0.1,0.0011815757025033236,0.08315593004226685,0.08078470826148987,0.1,0.43810492753982544,-0.10715395212173462,0.016989869996905327,-0.03242829814553261,0.5426169037818909,0.545000433921814,4,A,5,100,centered,,0.01,2,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s3,0,10,True,0.02184242382645607,0.07705362886190414,0.3961744010448456,0.2,0.2,0.02091219462454319,0.3065052032470703,0.2966449558734894,0.4,0.47019633650779724,0.02184242382645607,0.3065052032470703,0.32980877161026,0.47019633650779724,0.486264705657959,5,A,5,100,centered,,0.01,3,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s4,0,10,True,0.04182027652859688,0.12701119482517242,0.4574875235557556,0.2,0.2,0.04019659757614136,0.3104744255542755,0.30670395493507385,0.4,0.5608302354812622,-0.06521106511354446,0.05551808699965477,0.07307001203298569,0.5949199199676514,0.5976256728172302,3,A,5,100,centered,,0.01,4,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_std_lr0.01_s0,0,10,True,-0.17151221632957458,-0.8238010406494141,0.9211282730102539,0.4,0.6,-0.17148715257644653,0.9211282730102539,0.9208917617797852,1.0,0.9379643201828003,-0.3329305946826935,0.9927384257316589,0.9941224455833435,0.9951618313789368,0.9960834980010986,3,A,5,1000,std,,0.01,0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_std_lr0.01_s1,0,10,True,0.19692017138004303,0.9543153047561646,0.9723926782608032,0.6,0.4,0.1968606412410736,0.9723926782608032,0.9722346067428589,1.0,0.977988064289093,0.005721151828765869,0.9692640900611877,0.8652034401893616,0.9770073890686035,0.8997878432273865,4,A,5,1000,std,,0.01,1,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
