exp,width,period,enc,c,lr,seed,run_id
A,5,100,std,,0.01,0,A_w5_T100_std_lr0.01_s0
A,5,100,std,,0.01,1,A_w5_T100_std_lr0.01_s1
A,5,100,std,,0.01,2,A_w5_T100_std_lr0.01_s2
A,5,100,std,,0.01,3,A_w5_T100_std_lr0.01_s3
A,5,100,std,,0.01,4,A_w5_T100_std_lr0.01_s4
A,5,100,centered,,0.01,0,A_w5_T100_centered_lr0.01_s0
A,5,100,centered,,0.01,1,A_w5_T100_centered_lr0.01_s1
A,5,100,centered,,0.01,2,A_w5_T100_centered_lr0.01_s2
A,5,100,centered,,0.01,3,A_w5_T100_centered_lr0.01_s3
A,5,100,centered,,0.01,4,A_w5_T100_centered_lr0.01_s4
A,5,1000,std,,0.01,0,A_w5_T1000_std_lr0.01_s0
A,5,1000,std,,0.01,1,A_w5_T1000_std_lr0.01_s1
A,5,1000,std,,0.01,2,A_w5_T1000_std_lr0.01_s2
A,5,1000,std,,0.01,3,A_w5_T1000_std_lr0.01_s3
A,5,1000,std,,0.01,4,A_w5_T1000_std_lr0.01_s4
A,5,1000,centered,,0.01,0,A_w5_T1000_centered_lr0.01_s0
A,5,1000,centered,,0.01,1,A_w5_T1000_centered_lr0.01_s1
A,5,1000,centered,,0.01,2,A_w5_T1000_centered_lr0.01_s2
A,5,1000,centered,,0.01,3,A_w5_T1000_centered_lr0.01_s3
A,5,1000,centered,,0.01,4,A_w5_T1000_centered_lr0.01_s4
A,5,10000,std,,0.01,0,A_w5_T10000_std_lr0.01_s0
A,5,10000,std,,0.01,1,A_w5_T10000_std_lr0.01_s1
A,5,10000,std,,0.01,2,A_w5_T10000_std_lr0.01_s2
A,5,10000,std,,0.01,3,A_w5_T10000_std_lr0.01_s3
A,5,10000,std,,0.01,4,A_w5_T10000_std_lr0.01_s4
A,5,10000,centered,,0.01,0,A_w5_T10000_centered_lr0.01_s0
A,5,10000,centered,,0.01,1,A_w5_T10000_centered_lr0.01_s1
A,5,10000,centered,,0.01,2,A_w5_T10000_centered_lr0.01_s2
A,5,10000,centered,,0.01,3,A_w5_T10000_centered_lr0.01_s3
A,5,10000,centered,,0.01,4,A_w5_T10000_centered_lr0.01_s4
A,5,100000,std,,0.01,0,A_w5_T100000_std_lr0.01_s0
A,5,100000,std,,0.01,1,A_w5_T100000_std_lr0.01_s1
A,5,100000,std,,0.01,2,A_w5_T100000_std_lr0.01_s2
A,5,100000,std,,0.01,3,A_w5_T100000_std_lr0.01_s3
A,5,100000,std,,0.01,4,A_w5_T100000_std_lr0.01_s4
A,5,100000,centered,,0.01,0,A_w5_T100000_centered_lr0.01_s0
A,5,100000,centered,,0.01,1,A_w5_T100000_centered_lr0.01_s1
A,5,100000,centered,,0.01,2,A_w5_T100000_centered_lr0.01_s2
A,5,100000,centered,,0.01,3,A_w5_T100000_centered_lr0.01_s3
A,5,100000,centered,,0.01,4,A_w5_T100000_centered_lr0.01_s4
A,100,100,std,,0.01,0,A_w100_T100_std_lr0.01_s0
A,100,100,std,,0.01,1,A_w100_T100_std_lr0.01_s1
A,100,100,std,,0.01,2,A_w100_T100_std_lr0.01_s2
A,100,100,std,,0.01,3,A_w100_T100_std_lr0.01_s3
A,100,100,std,,0.01,4,A_w100_T100_std_lr0.01_s4
A,100,100,centered,,0.01,0,A_w100_T100_centered_lr0.01_s0
A,100,100,centered,,0.01,1,A_w100_T100_centered_lr0.01_s1
