run_id,cos_sign,n,finite,n_dead,n_v_pos,n_dead_v_pos,sign_step,dead_step,exp,width,period,enc,c,lr,seed,dead_rate,git_hash
A_w5_T100_std_lr0.01_s0,pos,4,True,2.0,3.0,1.0,10000,1000000,A,5,100,std,,0.01,0,0.5,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_std_lr0.01_s0,neg,1,True,1.0,1.0,1.0,10000,1000000,A,5,100,std,,0.01,0,1.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_std_lr0.01_s1,pos,1,True,1.0,0.0,0.0,10000,1000000,A,5,100,std,,0.01,1,1.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_std_lr0.01_s1,neg,3,True,1.0,1.0,0.0,10000,1000000,A,5,100,std,,0.01,1,0.3333333333333333,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_std_lr0.01_s2,pos,4,True,2.0,1.0,0.0,10000,1000000,A,5,100,std,,0.01,2,0.5,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_std_lr0.01_s2,neg,1,True,0.0,1.0,0.0,10000,1000000,A,5,100,std,,0.01,2,0.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_std_lr0.01_s3,pos,4,True,3.0,2.0,1.0,10000,1000000,A,5,100,std,,0.01,3,0.75,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_std_lr0.01_s3,neg,1,True,1.0,0.0,0.0,10000,1000000,A,5,100,std,,0.01,3,1.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_std_lr0.01_s4,pos,1,True,1.0,0.0,0.0,10000,1000000,A,5,100,std,,0.01,4,1.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_std_lr0.01_s4,neg,2,True,2.0,2.0,2.0,10000,1000000,A,5,100,std,,0.01,4,1.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s0,pos,3,True,0.0,1.0,0.0,10000,1000000,A,5,100,centered,,0.01,0,0.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s0,neg,2,True,0.0,0.0,0.0,10000,1000000,A,5,100,centered,,0.01,0,0.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s1,pos,3,True,1.0,1.0,1.0,10000,1000000,A,5,100,centered,,0.01,1,0.3333333333333333,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s1,neg,2,True,0.0,1.0,0.0,10000,1000000,A,5,100,centered,,0.01,1,0.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s2,pos,0,True,0.0,0.0,0.0,10000,1000000,A,5,100,centered,,0.01,2,0.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s2,neg,5,True,0.0,1.0,0.0,10000,1000000,A,5,100,centered,,0.01,2,0.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s3,pos,1,True,0.0,0.0,0.0,10000,1000000,A,5,100,centered,,0.01,3,0.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s3,neg,4,True,0.0,3.0,0.0,10000,1000000,A,5,100,centered,,0.01,3,0.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s4,pos,3,True,0.0,2.0,0.0,10000,1000000,A,5,100,centered,,0.01,4,0.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s4,neg,2,True,0.0,1.0,0.0,10000,1000000,A,5,100,centered,,0.01,4,0.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_std_lr0.01_s0,pos,3,True,3.0,2.0,2.0,10000,1000000,A,5,1000,std,,0.01,0,1.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_std_lr0.01_s0,neg,2,True,2.0,0.0,0.0,10000,1000000,A,5,1000,std,,0.01,0,1.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_std_lr0.01_s1,pos,3,True,3.0,3.0,3.0,10000,1000000,A,5,1000,std,,0.01,1,1.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_std_lr0.01_s1,neg,2,True,2.0,0.0,0.0,10000,1000000,A,5,1000,std,,0.01,1,1.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_std_lr0.01_s2,pos,4,True,4.0,3.0,3.0,10000,1000000,A,5,1000,std,,0.01,2,1.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_std_lr0.01_s2,neg,1,True,1.0,0.0,0.0,10000,1000000,A,5,1000,std,,0.01,2,1.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_std_lr0.01_s3,pos,1,True,1.0,0.0,0.0,10000,1000000,A,5,1000,std,,0.01,3,1.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_std_lr0.01_s3,neg,4,True,4.0,2.0,2.0,10000,1000000,A,5,1000,std,,0.01,3,1.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_std_lr0.01_s4,pos,2,True,2.0,1.0,1.0,10000,1000000,A,5,1000,std,,0.01,4,1.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_std_lr0.01_s4,neg,3,True,3.0,2.0,2.0,10000,1000000,A,5,1000,std,,0.01,4,1.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_centered_lr0.01_s0,pos,2,True,2.0,2.0,2.0,10000,1000000,A,5,1000,centered,,0.01,0,1.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_centered_lr0.01_s0,neg,3,True,2.0,2.0,1.0,10000,1000000,A,5,1000,centered,,0.01,0,0.6666666666666666,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_centered_lr0.01_s1,pos,3,True,2.0,0.0,0.0,10000,1000000,A,5,1000,centered,,0.01,1,0.6666666666666666,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_centered_lr0.01_s1,neg,2,True,1.0,2.0,1.0,10000,1000000,A,5,1000,centered,,0.01,1,0.5,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_centered_lr0.01_s2,pos,1,True,1.0,1.0,1.0,10000,1000000,A,5,1000,centered,,0.01,2,1.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_centered_lr0.01_s2,neg,4,True,3.0,3.0,2.0,10000,1000000,A,5,1000,centered,,0.01,2,0.75,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_centered_lr0.01_s3,pos,2,True,1.0,2.0,1.0,10000,1000000,A,5,1000,centered,,0.01,3,0.5,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_centered_lr0.01_s3,neg,3,True,1.0,2.0,0.0,10000,1000000,A,5,1000,centered,,0.01,3,0.3333333333333333,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_centered_lr0.01_s4,pos,2,True,1.0,2.0,1.0,10000,1000000,A,5,1000,centered,,0.01,4,0.5,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T1000_centered_lr0.01_s4,neg,3,True,3.0,1.0,1.0,10000,1000000,A,5,1000,centered,,0.01,4,1.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T10000_std_lr0.01_s0,pos,2,True,2.0,0.0,0.0,10000,1000000,A,5,10000,std,,0.01,0,1.0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
