run_id,ckpt,finite,cos_full_abs,cos_split_abs,cos_full_mean,cos_split_mean,cos_chance,exp,width,period,enc,c,lr,seed,git_hash
A_w5_T100_std_lr0.01_s0,0,True,0.5235702395439148,0.5167008638381958,0.06699312478303909,0.0729677826166153,0.1784124116152771,A,5,100,std,,0.01,0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_std_lr0.01_s1,0,True,0.9660247564315796,0.9658176302909851,-0.19342221319675446,-0.19325955212116241,0.1784124116152771,A,5,100,std,,0.01,1,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_std_lr0.01_s2,0,True,0.8565247654914856,0.8559255599975586,0.5056295990943909,0.5053068995475769,0.1784124116152771,A,5,100,std,,0.01,2,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_std_lr0.01_s3,0,True,0.9835448265075684,0.9834213256835938,0.19976674020290375,0.19977661967277527,0.1784124116152771,A,5,100,std,,0.01,3,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_std_lr0.01_s4,0,True,0.5595835447311401,0.5589114427566528,0.10133174806833267,0.10142958164215088,0.1784124116152771,A,5,100,std,,0.01,4,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s0,0,True,0.08803517371416092,0.08754577487707138,0.006224340293556452,0.0065238624811172485,0.1784124116152771,A,5,100,centered,,0.01,0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s1,0,True,0.33844831585884094,0.33699411153793335,0.039851944893598557,0.03986461088061333,0.1784124116152771,A,5,100,centered,,0.01,1,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s2,0,True,0.2495589256286621,0.24859926104545593,-0.03454539552330971,-0.034184958785772324,0.1784124116152771,A,5,100,centered,,0.01,2,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s3,0,True,0.1672581285238266,0.1661844700574875,0.061807453632354736,0.061356354504823685,0.1784124116152771,A,5,100,centered,,0.01,3,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A_w5_T100_centered_lr0.01_s4,0,True,0.2117341011762619,0.2098839282989502,0.0018297135829925537,0.0017615258693695068,0.1784124116152771,A,5,100,centered,,0.01,4,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
