exp,width,period,enc,c,lr,ckpt,kind,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,git_hash
A,5,1000,std,,0.01,1000000,raw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,5,10000,centered,,0.01,0,raw,3,0,0,0,0,0,0,0,1,2,2,1,0,0,1,1,0,1,2,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,2,1,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,5,10000,centered,,0.01,10000,raw,5,3,2,4,3,1,2,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,2,1,0,0,0,0,2,3,1,3,6,3,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,5,10000,centered,,0.01,50000,raw,1,1,2,3,2,1,1,1,2,0,3,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,3,0,2,1,1,0,0,1,0,1,1,2,3,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,5,10000,centered,,0.01,100000,raw,0,3,0,1,3,3,0,1,0,1,0,0,2,1,0,0,0,1,1,0,0,0,2,0,1,1,1,0,0,0,0,0,0,1,1,2,3,3,1,1,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,5,10000,centered,,0.01,300000,raw,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,2,1,0,0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,5,10000,centered,,0.01,1000000,raw,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,5,10000,std,,0.01,0,raw,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3,8,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,5,10000,std,,0.01,10000,raw,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,8,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,5,10000,std,,0.01,50000,raw,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
A,5,10000,std,,0.01,100000,raw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,c644695f7b3aba0ee7db4ecd6f0bf7745ea04a19
