quantity,k,seed,value
R_none,1,0,0.07634374999999999
R_none,1,1,0.15064583333333334
R_none,1,2,0.11097916666666666
R_none,1,3,0.08785416666666665
R_none,1,4,0.08738541666666666
R_none,1,5,0.04377083333333334
R_none,1,6,0.19826041666666666
R_none,1,7,0.14653124999999997
R_none,1,8,0.10569791666666667
R_none,1,9,0.11239583333333333
R_c12,1,0,0.04626041666666664
R_c12,1,1,0.07365625
R_c12,1,2,0.07015625
R_c12,1,3,0.05527083333333335
R_c12,1,4,0.046260416666666665
R_c12,1,5,0.019020833333333348
R_c12,1,6,0.1328125
R_c12,1,7,0.07871874999999998
R_c12,1,8,0.06477083333333333
R_c12,1,9,0.07325000000000001
dR,1,0,0.03008333333333335
dR,1,1,0.07698958333333333
dR,1,2,0.04082291666666665
dR,1,3,0.0325833333333333
dR,1,4,0.041124999999999995
dR,1,5,0.024749999999999994
dR,1,6,0.06544791666666666
dR,1,7,0.0678125
dR,1,8,0.040927083333333336
dR,1,9,0.039145833333333324
R_c1,1,0,0.06426041666666665
R_c1,1,1,0.10923958333333336
R_c1,1,2,0.0881145833333333
R_c1,1,3,0.07855208333333333
R_c1,1,4,0.057947916666666655
R_c1,1,5,0.03196875000000002
R_c1,1,6,0.16333333333333333
R_c1,1,7,0.11028124999999997
R_c1,1,8,0.0865104166666667
R_c1,1,9,0.08859375
R_c2,1,0,0.0668333333333333
R_c2,1,1,0.12132291666666664
R_c2,1,2,0.10766666666666666
R_c2,1,3,0.07572916666666665
R_c2,1,4,0.05815625000000002
R_c2,1,5,0.031895833333333345
R_c2,1,6,0.17029166666666667
R_c2,1,7,0.1304895833333333
R_c2,1,8,0.09119791666666666
R_c2,1,9,0.10004166666666667
R_c12b,1,0,0.04590624999999998
R_c12b,1,1,0.06723958333333332
R_c12b,1,2,0.06636458333333331
R_c12b,1,3,0.05276041666666667
R_c12b,1,4,0.04538541666666668
R_c12b,1,5,0.01926041666666667
R_c12b,1,6,0.12808333333333333
R_c12b,1,7,0.07477083333333331
R_c12b,1,8,0.06029166666666669
R_c12b,1,9,0.06960416666666666
R_frz,1,0,0.0
R_frz,1,1,0.0
R_frz,1,2,0.0
R_frz,1,3,0.0
R_frz,1,4,0.0
R_frz,1,5,0.0
R_frz,1,6,0.0
R_frz,1,7,0.0
R_frz,1,8,0.0
R_frz,1,9,0.0
dclimb,1,0,-0.4661517263610868
dclimb,1,1,0.9274618251528279
dclimb,1,2,0.17606595218493326
dclimb,1,3,-0.2620485516628319
dclimb,1,4,1.9125370731059248
dclimb,1,5,-0.35043295395040563
dclimb,1,6,-1.6226472359600694
dclimb,1,7,2.448133320273289
dclimb,1,8,-0.2108135689082209
dclimb,1,9,2.8671127862645895
I,1,0,-0.022166666666666668
I,1,1,-0.028875000000000095
I,1,2,-0.02257291666666661
I,1,3,-0.0061354166666667265
I,1,4,-0.015520833333333317
I,1,5,-0.04819791666666662
I,1,6,-0.0011458333333332904
I,1,7,-0.02023958333333331
I,1,8,0.008697916666666639
I,1,9,-0.011510416666666634
dR_fix,1,0,0.08284375
dR_fix,1,1,0.0660625
dR_fix,1,2,0.06390625
