arm,cond,layer,start,end,role,n,delta_median,delta_defined,self_median,self_defined,upstream_median,upstream_defined,cross_median,cross_defined,bias_median,bias_defined,self_share_median,self_share_defined,upstream_share_median,upstream_share_defined,cross_share_median,cross_share_defined,bias_share_median,bias_share_defined,upstream_growth_fraction_median,upstream_growth_fraction_defined,upstream_rotation_fraction_median,upstream_rotation_fraction_defined
ELU,raw,1,0,10,REGISTERED_REPORT_ONLY,10,-120.38230076787349,10,-120.43752760619992,10,0.0,10,0.0,10,0.04920466987365217,10,1.000421995978393,10,0.0,10,0.0,10,-0.00042199597839303715,10,,0,,0
ELU,raw,1,0,50,REGISTERED_REPORT_ONLY,10,-148.65684091025258,10,-148.78610776330427,10,0.0,10,0.0,10,0.043670009771922196,10,1.0003014756777897,10,0.0,10,0.0,10,-0.0003014756777894079,10,,0,,0
ELU,raw,1,1,10,REGISTERED_REPORT_ONLY,10,-82.15602170594033,10,-82.17948365632921,10,0.0,10,0.0,10,0.005098232190139242,10,1.0000588885103028,10,0.0,10,0.0,10,-5.8888510302787165e-05,10,,0,,0
ELU,raw,1,10,50,REGISTERED_REPORT_ONLY,10,-21.795906478502268,10,-21.80556446918844,10,0.0,10,0.0,10,0.00010727869030233706,10,0.9998762900660021,10,0.0,10,0.0,10,0.00012371707887670453,10,,0,,0
ELU,raw,2,0,10,REGISTERED_REPORT_ONLY,10,-307.6888967865926,10,-32.46025316783728,10,-251.99630491003774,10,-16.309195540904973,10,-0.19417340477928519,10,0.28051956541971507,10,0.6273050847832397,10,0.0829633649696882,10,0.0017371456470494503,10,1.0422093219277406,10,-0.04220932192774058,10
ELU,raw,2,0,50,REGISTERED_REPORT_ONLY,10,-631.2212818263478,10,-44.4806670755409,10,-566.0342347091354,10,-19.64026308226778,10,-0.22292413666378708,10,0.07053609551944402,10,0.8858791870056917,10,0.04177869257944858,10,0.00020697740093463858,10,1.0409613599924925,10,-0.04096135999249277,10
ELU,raw,2,1,10,REGISTERED_REPORT_ONLY,10,-305.01808598649103,10,-32.540684639944246,10,-251.87517944844927,10,-13.96323656246695,10,-0.1768940627198026,10,0.2888752726139984,10,0.6348012418458439,10,0.06391517410573619,10,0.0016470211077483543,10,1.0426602030235783,10,-0.042660203023578265,10
ELU,raw,2,10,50,REGISTERED_REPORT_ONLY,10,-105.57203911625058,10,-10.04577713811198,10,-98.91345147288746,10,-0.09500510260329321,10,-0.01883161009987816,10,0.1082380039386229,10,0.8853922741662998,10,0.0022466354636429477,10,3.9876743954381514e-05,10,1.0760284555918158,10,-0.0760284555918167,10
ELU,std,1,0,10,REGISTERED_REPORT_ONLY,10,-8.832137358409074,10,-8.784228189602967,10,0.0,10,0.0,10,-0.12846925901649228,10,0.9906876684737478,10,0.0,10,0.0,10,0.009312331526252167,10,,0,,0
ELU,std,1,0,50,REGISTERED_REPORT_ONLY,10,-9.467885105299999,10,-9.281646747991424,10,0.0,10,0.0,10,-0.12283095182981923,10,0.9883370535490918,10,0.0,10,0.0,10,0.011662946450908014,10,,0,,0
ELU,std,1,1,10,REGISTERED_REPORT_ONLY,10,-6.628867226466381,10,-6.605048946384622,10,0.0,10,0.0,10,-0.05342922934964008,10,0.9945444802402454,10,0.0,10,0.0,10,0.005455519759754553,10,,0,,0
ELU,std,1,10,50,REGISTERED_REPORT_ONLY,10,-0.04638299028657498,10,-0.04918251814123329,10,0.0,10,0.0,10,0.0009642480034381152,10,1.001628328074683,10,0.0,10,0.0,10,-0.0016283271893739117,10,,0,,0
ELU,std,2,0,10,REGISTERED_REPORT_ONLY,10,-795.9033994928823,10,-100.78626012434789,10,-585.6644662815711,10,-117.92687369735536,10,-0.2328674853470875,10,0.12815501099655227,10,0.7287300673886702,10,0.14581834232403357,10,0.0002899109431105586,10,1.0341370385063797,10,-0.034137038506379905,10
ELU,std,2,0,50,REGISTERED_REPORT_ONLY,10,-879.5573465645084,10,-98.0305149048533,10,-661.2263487611838,10,-118.1849550608161,10,-0.2561914551438531,10,0.10949890178852398,10,0.7517429590235687,10,0.12840559099240323,10,0.0002812042436541526,10,1.0374939438975304,10,-0.03749394389753045,10
ELU,std,2,1,10,REGISTERED_REPORT_ONLY,10,-789.9866980375616,10,-100.72734754511089,10,-585.509033749078,10,-112.51907408196354,10,-0.242549022852254,10,0.12896867539542134,10,0.7337634004559224,10,0.1410437056622149,10,0.0003054487162323285,10,1.0342213718077387,10,-0.03422137180773879,10
ELU,std,2,10,50,REGISTERED_REPORT_ONLY,10,-83.57821596070764,10,2.4640042838510032,10,-89.06059870422322,10,-0.20650788144124538,10,-0.014916405690601096,10,-0.0026344922753928903,10,0.9941309051728159,10,0.004879513081442565,10,0.0001732207020946936,10,1.0233154902964046,10,-0.02331549029640451,10
GELU,raw,1,0,10,REGISTERED_REPORT_ONLY,10,-61.726621369534016,10,-61.72102453879209,10,0.0,10,0.0,10,-0.005109010341893736,10,0.9999224465413934,10,0.0,10,0.0,10,7.755345860651756e-05,10,,0,,0
GELU,raw,1,0,50,REGISTERED_REPORT_ONLY,10,-92.48509414405217,10,-92.5023747866762,10,0.0,10,0.0,10,0.0248183254487958,10,1.0002606820890279,10,0.0,10,0.0,10,-0.00026068208902799503,10,,0,,0
GELU,raw,1,1,10,REGISTERED_REPORT_ONLY,10,-13.54871515677565,10,-13.553255533818918,10,0.0,10,0.0,10,0.004758346438120498,10,1.000432777599733,10,0.0,10,0.0,10,-0.0004327775997332921,10,,0,,0
GELU,raw,1,10,50,REGISTERED_REPORT_ONLY,10,-26.198045099018977,10,-26.228936668744474,10,0.0,10,0.0,10,0.028947765096963847,10,1.0009777434701863,10,0.0,10,0.0,10,-0.0009777434701864177,10,,0,,0
GELU,raw,2,0,10,REGISTERED_REPORT_ONLY,10,-0.0073352195355007085,10,-0.07464342023102549,10,0.006579667413457801,10,0.06034446554342357,10,-0.0010820135195535841,10,4.654664334116003,10,0.4618180718450545,10,-4.500054478693421,10,0.38140804512092014,10,0.7052812905778838,10,0.2947187094221163,10
GELU,raw,2,0,50,REGISTERED_REPORT_ONLY,10,-0.11183012415519847,10,-0.13848142848013895,10,-0.027202193955109588,10,0.05874440861141386,10,-0.0010717634251159326,10,1.2481471626358411,10,0.3054815857294008,10,-0.6900982806506066,10,0.005941175758323808,10,0.839813398911261,10,0.1601866010887386,10
GELU,raw,2,1,10,REGISTERED_REPORT_ONLY,10,-0.005617227772793212,10,-0.008248295406634805,10,0.002010824966783134,10,0.0011976158554345916,10,-0.00413564837863305,10,0.7027247888215615,10,0.5790243284800767,10,-0.2208674705650594,10,-0.0282999168742006,10,0.6460623640400143,10,0.35393763595998584,10
GELU,raw,2,10,50,REGISTERED_REPORT_ONLY,10,-0.09722957990538487,10,-0.06164714934717733,10,-0.0448942908505602,10,0.004681526955641835,10,3.2211430661845954e-05,10,0.6151407942140334,10,0.39823954662910066,10,-0.042066703265243345,10,-0.00033131551516000753,10,0.8801282042582746,10,0.1198717957417254,10
GELU,std,1,0,10,REGISTERED_REPORT_ONLY,10,-4.947112372682898,10,-4.850868408783647,10,0.0,10,0.0,10,-0.11203499369225028,10,0.9738860797052075,10,0.0,10,0.0,10,0.026113920294792575,10,,0,,0
GELU,std,1,0,50,REGISTERED_REPORT_ONLY,10,-4.810611583405807,10,-4.716132137312561,10,0.0,10,0.0,10,-0.11203499369225028,10,0.9738860797050475,10,0.0,10,0.0,10,0.02611392029495254,10,,0,,0
GELU,std,1,1,10,REGISTERED_REPORT_ONLY,10,-3.3675666105355537,10,-3.312106026747328,10,0.0,10,0.0,10,-0.08058962428738595,10,0.9748908818756595,10,0.0,10,0.0,10,0.025109118124340465,10,,0,,0
GELU,std,1,10,50,REGISTERED_REPORT_ONLY,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.9935367050656002,2,0.0,2,0.0,2,0.006463397809862872,2,,0,,0
GELU,std,2,0,10,REGISTERED_REPORT_ONLY,10,-336.8171839781033,10,-77.57819535657922,10,-145.3213621866125,10,-110.29384779854007,10,-0.09920028562446533,10,0.23260151839220666,10,0.44036914830107154,10,0.33617654987074036,10,0.0003015550646358513,10,1.031214088518939,10,-0.031214088518938844,10
GELU,std,2,0,50,REGISTERED_REPORT_ONLY,10,-336.8171839781033,10,-77.57857263084318,10,-146.70239126401887,10,-110.29384779854007,10,-0.09920028562446533,10,0.23260151839220666,10,0.44036914830107154,10,0.33617654987074036,10,0.000301555166549667,10,1.031214088518939,10,-0.031214088518938844,10
GELU,std,2,1,10,REGISTERED_REPORT_ONLY,10,-325.8883577692927,10,-77.4171077409788,10,-145.28490693199,10,-100.3199127394724,10,-0.11462619133424595,10,0.23919897111718147,10,0.45446725326252624,10,0.313817027247937,10,0.0003569809614897666,10,1.0322738128523568,10,-0.03227381285235634,10
GELU,std,2,10,50,REGISTERED_REPORT_ONLY,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.9999387778332847,3,6.122215154470517e-05,3,1.5630112953145868e-10,3,0.0,3,1.3589007683363934,3,-0.3589009061481953,3
SILU,raw,1,0,10,REGISTERED_REPORT_ONLY,10,-155.79727667296794,10,-155.82921128285363,10,0.0,10,0.0,10,0.016099793306239008,10,1.000098504713518,10,0.0,10,0.0,10,-9.850471351797272e-05,10,,0,,0
SILU,raw,1,0,50,REGISTERED_REPORT_ONLY,10,-231.1644262645974,10,-231.2146502104734,10,0.0,10,0.0,10,0.056590302952135976,10,1.0002521065431411,10,0.0,10,0.0,10,-0.00025210654314110646,10,,0,,0
