arm,cond,n,R1,R2,R1_count_L1_FIRST,R2_count_MIXED,T_star_defined,T_star_median,T_star_min,T_star_max,T1_defined,T1_median,T1_min,T1_max,T2_defined,T2_median,T2_min,T2_max,T_A_defined,T_A_median,T_A_min,T_A_max,upstream_share_defined,upstream_share_median,upstream_share_min,upstream_share_max,self_share_defined,self_share_median,self_share_min,self_share_max,cross_share_defined,cross_share_median,cross_share_min,cross_share_max,bias_share_defined,bias_share_median,bias_share_min,bias_share_max,upstream_growth_fraction_defined,upstream_growth_fraction_median,upstream_growth_fraction_min,upstream_growth_fraction_max,bias_absolute_share_defined,bias_absolute_share_median,bias_absolute_share_min,bias_absolute_share_max,R1_count_L2_FIRST,R2_count_NO_NET_SINK,R2_count_SELF_CARRIES,R1_count_INITIAL_LOW_SIMULTANEOUS,R1_count_SIMULTANEOUS,R2_count_INITIAL_LOW_REPORT_ONLY,R1_count_REPORT_ONLY,R2_count_REPORT_ONLY
ELU,raw,10,L1_FIRST,MIXED,10,10,10,1.0,1,1,10,1.0,1,1,10,2.5,2,3,10,3.0,2,3,10,0.046015302697983776,-0.04936179114218183,0.15715351902861174,10,-0.013829744353553549,-0.0583169668007357,0.039944264685046485,10,0.9459195942502205,0.8754583067876838,1.0331354265719526,10,0.0071790345132793434,-0.0023859030556176277,0.01582833642153328,10,0.2615102546319342,-0.7170529155890092,1.0475730817426219,10,0.0071790345132793434,0.0018473045784670643,0.01582833642153328,,,,,,,,
ELU,std,10,L2_FIRST,MIXED,,10,10,2.0,2,2,5,6.0,4,6,10,2.0,2,2,10,3.0,3,4,10,0.16498764850384753,0.14503555012233987,0.21873562825171503,10,0.22945300434794152,0.21201177959550446,0.2543816998003651,10,0.5998347240001694,0.5268681676268823,0.6230852114996355,10,0.00024145950710275824,1.4504321037458289e-05,0.0004935522854363166,10,0.9074242773920042,0.8496410705783721,0.9422275451248724,10,0.00024145950710275824,1.4504321037458289e-05,0.0004935522854363166,10,,,,,,,
GELU,raw,10,L1_FIRST,SPLIT,10,4,10,1.0,1,1,10,1.0,1,1,0,,,,10,1.0,1,1,10,0.39548078179210056,-13.798355692162351,1.3634351989687004,10,-0.8463476054146409,-95.9111666631854,101.1477697262313,10,1.46913176573959,-101.4379779839022,105.82007819102436,10,0.1604999577299161,-0.34761791863392133,12.884838453839699,10,0.37079620807911506,-1.370700533393557,1.916906662777787,10,0.3232363626291962,0.036134464309558995,12.884838453839699,,5,1,,,,,
GELU,std,10,L2_FIRST,MIXED,,10,10,1.0,1,1,10,2.0,2,2,10,1.0,1,1,10,3.0,2,3,10,0.02473637568785885,-0.03452278214520713,0.051201455534574,10,0.016419907960114367,0.013031630290334707,0.01870921471749059,10,0.9614494862204457,0.9328361196356632,1.0200123304064816,10,-0.0011954742783823794,-0.0022214839156788017,-0.0005837047320037331,10,0.5818017132018325,-0.029928737984413544,0.8805067500665303,10,0.0011954742783823794,0.0005837047320037331,0.0022214839156788017,10,,,,,,,
SILU,raw,10,L1_FIRST,SPLIT,10,5,10,1.0,1,1,10,1.0,1,1,0,,,,10,1.0,1,1,10,0.036125083972545984,-1.3294768226873643,2.1731429721932587,10,2.3668789407150697,-1.668253930890781,60.343666123321405,10,-1.2803834758674213,-59.073331542705496,3.6996017430884827,10,-0.04328116567425644,-2.44347755280917,0.980794783563289,10,0.42688705012186146,-3.9330137075317273,17.269352790598713,10,0.2749438608997119,0.035316722217474415,2.44347755280917,,1,4,,,,,
SILU,std,10,L2_FIRST,MIXED,,10,10,2.0,2,2,0,,,,10,2.0,2,2,10,2.0,2,3,10,0.18266133251945926,0.16435456141967836,0.20456192124051792,10,0.20090676003515828,0.17352544044577484,0.22681334336595274,10,0.6164258685718436,0.5971694581565286,0.6537019491259193,10,0.0004580164398529734,0.0003496998543511479,0.0005643716888990485,10,0.9367429270895258,0.9012552235680622,0.9816853528887934,10,0.0004580164398529734,0.0003496998543511479,0.0005643716888990485,10,,,,,,,
R,raw,10,INITIAL_LOW_SIMULTANEOUS,INITIAL_LOW_REPORT_ONLY,,1,10,1.0,1,1,10,1.0,1,1,10,1.0,1,1,10,1.0,1,1,10,-0.03650065910886982,-4.901456719853587,0.19608001472638908,10,0.0847187574912521,-0.7993287340958937,2.3202292964249533,10,-0.32071754914229034,-2.3202292964249533,8.73056167234631,10,1.1825955274445608,-2.390929484170513,2.7697901404877356,6,0.19930889701357707,-3.562419681463348,0.768085503768365,10,1.299005916793996,0.803919985273611,2.7697901404877356,,,,9,1,9,,
R,std,10,INITIAL_LOW_SIMULTANEOUS,INITIAL_LOW_REPORT_ONLY,,2,10,1.0,1,1,10,1.0,1,1,10,1.0,1,1,10,3.0,3,3,10,0.016157860605653156,-0.0237148985820184,0.05141307145859008,10,0.03152367221513037,0.028211284120018738,0.0360753684135766,10,0.9545459178638989,0.9200183873831566,0.9925576456811133,10,-0.001224762713528524,-0.0018729123066891357,-0.0005776642093963386,10,0.8179391902683055,-0.10930101183495249,3.183440855497143,10,0.001224762713528524,0.0005776642093963386,0.0018729123066891357,,,,8,2,8,,
KKT1,raw,10,REPORT_ONLY,REPORT_ONLY,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,10,10
KKT1,std,10,REPORT_ONLY,REPORT_ONLY,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,10,10
