arm,cond,seed,task,layer,online,m_mean,m_median,sd_mean,sd_median,m_alg_mean,m_alg_median,w_norm_mean,w_norm_median,bias_mean,bias_median,mu_norm_mean,mu_norm_median,cos_mean,cos_median,train_low_mean,train_low_median,train_zero_mean,train_zero_median,train_negative_mean,train_negative_median,train_signed_low_mean,train_signed_low_median,train_mean_mean,train_mean_median,train_abs_mean_mean,train_abs_mean_median,train_dead_mean,train_dead_median,diag_low_mean,diag_low_median,diag_zero_mean,diag_zero_median,diag_dead_mean,diag_dead_median,derivative_max_difference_mean,derivative_max_difference_median,derivative_zero_disagreement_mean,derivative_zero_disagreement_median
ELU,raw,0,0,1,,-0.021291510899217003,-0.020661158005386822,0.13607016050941406,0.13156606533603538,-0.021291509968881996,-0.02066115966850473,0.577598577628123,0.5771889433044575,-5.8856813702732324e-05,0.00034768282785080373,25.93165051292406,25.931650512924058,-0.0014387196390935975,-0.0017281079294104123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896400696583589,0.9470069483170906,0.896400696583589,0.9470069483170906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELU,raw,0,0,2,,-0.0005731506218726299,-0.0032680374702128267,0.06993569599185852,0.06666275035985078,-0.000573150793213125,-0.003268037313011868,0.5787844163094231,0.5771517015166547,0.008986897573340685,0.010786873288452625,2.245694305041361,2.2456943050413605,-0.00748873592078556,-0.024550205317884023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9469996885746719,0.9712739216287931,0.9469996885746719,0.9712739216287931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELU,raw,0,1,1,0.8288833333,-41.75816594519384,-47.04162883202235,14.80262593192514,13.244321994747544,-41.758165983515156,-47.04163016496133,4.600309594537409,2.937640905779384,0.03390634663635865,-0.0018595083383843303,25.93165051292406,25.931650512924058,-0.5489412798269374,-0.6613007877555177,0.8280083333333333,0.9941666666666666,0.019925,0.0,0.0,0.0,0.8280083333333333,0.9941666666666666,0.09094736579837916,7.388228907966569e-05,0.09094736579837916,7.388228907966569e-05,0.0,0.0,0.8280083333333333,0.9941666666666666,0.019925,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELU,raw,0,1,2,0.8288833333,-2.829910719927773,-2.557853371355062,6.169358082420356,6.017405555734609,-2.8299106843221313,-2.557853531750598,1.6180320059232103,1.600728048029699,-0.015426716527435928,-0.010031143203377724,13.147948900300891,13.147948900300896,-0.12987143873174048,-0.11849194250018119,0.0499,0.03208333333333334,0.0,0.0,0.0,0.0,0.0499,0.03208333333333334,0.3858839181030963,0.37426608420359686,0.3858839181030963,0.37426608420359686,0.0,0.0,0.0499,0.03208333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELU,raw,0,2,1,0.6066083333,-58.339191239408656,-57.4109901382712,19.87291711354077,18.69279687749553,-58.33919134312454,-57.410992313786885,6.389599397067249,4.075730800934371,0.06479293226118898,0.022838503122329712,25.93165051292406,25.931650512924058,-0.5620439804337042,-0.6948136438278216,0.9078416666666668,0.9991666666666666,0.09265000000000001,0.00875,0.0,0.0,0.9078416666666668,0.9991666666666666,0.04442011437433341,1.1088669444347698e-06,0.04442011437433341,1.1088669444347698e-06,0.0,0.0,0.9078416666666668,0.9991666666666666,0.09265000000000001,0.00875,0.0,0.0,0.0,0.0,0.0,0.0
ELU,raw,0,2,2,0.6066083333,-12.197277030159688,-12.134935771316911,9.574541956127293,9.186091000463112,-12.197276932179468,-12.134935366592067,2.390279390927336,2.29269165318959,-0.08077529133763164,-0.07646837458014488,18.486951022237747,18.486951022237754,-0.2797955430279458,-0.2676175114533764,0.4361749999999999,0.4325,0.0005,0.0,0.0,0.0,0.4361749999999999,0.4325,0.15413816676259237,0.08504659171410314,0.15413816676259237,0.08504659171410314,0.0,0.0,0.4361749999999999,0.4325,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELU,raw,0,3,1,0.4457625,-68.87449520682495,-64.21921493947505,22.574578125722972,19.894945352252503,-68.87449568448359,-64.21921210307627,7.424545260957287,4.690463891942686,0.08954920631134883,0.03213887847959995,25.93165051292406,25.931650512924058,-0.5557736841376099,-0.6557873079583649,0.9380333333333334,0.9991666666666666,0.15794166666666665,0.03708333333333333,0.0,0.0,0.9380333333333334,0.9991666666666666,0.025237656179911108,4.5495700970681996e-06,0.025237656179911108,4.5495700970681996e-06,0.02,0.0,0.9380333333333334,0.9991666666666666,0.15794166666666665,0.03708333333333333,0.02,0.0,0.0,0.0,0.0,0.0
ELU,raw,0,3,2,0.4457625,-17.770706057325377,-18.102100135474466,8.449074369360524,7.295739967879957,-17.770706139517003,-18.10210023474678,2.912156456834648,2.8014001289348913,-0.13872797898948191,-0.1462278813123703,16.613265784196585,16.613265784196592,-0.3655704413359565,-0.37821091058060513,0.6210333333333333,0.7137500000000001,0.003125,0.0,0.0,0.0,0.6210333333333333,0.7137500000000001,0.09473429299355318,0.028557036827898494,0.09473429299355318,0.028557036827898494,0.0,0.0,0.6210333333333333,0.7137500000000001,0.003125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELU,raw,0,4,1,0.3835,-89.49803296622979,-87.16039664665857,27.964457435890136,26.206417275451887,-89.49803341700868,-87.16039648108566,8.680865773301587,7.141977439257378,0.09694901844952256,0.03379633463919163,25.93165051292406,25.931650512924058,-0.5621840346828262,-0.5991444394418044,0.9419083333333335,0.9991666666666666,0.329675,0.22208333333333333,0.0,0.0,0.9419083333333335,0.9991666666666666,0.024962686004033015,1.1511404106685889e-07,0.024962686004033015,1.1511404106685889e-07,0.08,0.0,0.9419083333333335,0.9991666666666666,0.329675,0.22208333333333333,0.08,0.0,0.0,0.0,0.0,0.0
ELU,raw,0,4,2,0.3835,-24.069101105684958,-24.07698251655946,9.89821100868872,7.437532361042766,-24.069101463745206,-24.076984972965736,3.354670642332655,3.208802934851491,-0.16410779052414,-0.18521612137556076,18.936186741799673,18.936186741799673,-0.3781668821828507,-0.3845389750823129,0.7580666666666666,0.8687499999999999,0.005725000000000001,0.0,0.0,0.0,0.7580666666666666,0.8687499999999999,0.06617401035602682,0.020162287108035075,0.06617401035602682,0.020162287108035075,0.0,0.0,0.7580666666666666,0.8687499999999999,0.005725000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
