task,arm,seed,online_acc,online_loss,train_acc,train_loss,val_acc,val_loss,samples,steps,online_global_acc,train_global_acc,val_global_acc,train_seconds,seconds,online_chunks
1,RSL,0,0.5244799852371216,1.1517450586853026,0.6036,0.975472590637207,0.536,1.1152992553710936,62500,500,0.5241439938545227,0.6036,0.536,43.95805239799665,46.12911511596758,"[0.4107999801635742, 0.503600001335144, 0.5434399843215942, 0.5679999589920044, 0.596560001373291]"
2,RSL,0,0.7553279995918274,0.6538056417655944,0.84,0.426683561706543,0.72,0.7454521789550781,62500,500,0.7550719976425171,0.84,0.72,32.617301363963634,34.15556416002801,"[0.6279199719429016, 0.7546399831771851, 0.7805599570274353, 0.7992799878120422, 0.8142399787902832]"
3,RSL,0,0.6675840020179749,0.8030793367424011,0.7676,0.5605796730041503,0.708,0.7753500061035157,62500,500,0.667199969291687,0.7676,0.708,32.65422422095435,34.18605022499105,"[0.547760009765625, 0.6558399796485901, 0.6920799612998962, 0.7128799557685852, 0.7293599843978882]"
4,RSL,0,0.6418560147285461,0.9398828663482666,0.7264,0.7527901138305664,0.68,0.8809424133300782,62500,500,0.6413760185241699,0.7264,0.68,32.676462645002175,34.216893600998446,"[0.53711998462677, 0.620639979839325, 0.6659199595451355, 0.6813600063323975, 0.7042399644851685]"
5,RSL,0,0.6388959884643555,0.9220681529655456,0.7292,0.7025080169677734,0.704,0.8224766235351563,62500,500,0.6384479999542236,0.7292,0.704,32.67584448296111,34.207087754039094,"[0.5382400155067444, 0.6205599904060364, 0.6583999991416931, 0.6782400012016296, 0.6990399956703186]"
6,RSL,0,0.6520000100135803,0.9202619504737853,0.7328,0.7212382293701172,0.656,0.9129272766113281,62500,500,0.6516159772872925,0.7328,0.656,32.65855445503257,34.20118041097885,"[0.5560799837112427, 0.6331200003623962, 0.6774399876594543, 0.6885600090026855, 0.704800009727478]"
7,RSL,0,0.7921599745750427,0.5352238223838806,0.8956,0.2960490119934082,0.872,0.3619434356689453,62500,500,0.7917919754981995,0.8956,0.872,32.67902481299825,34.411168100021314,"[0.6875999569892883, 0.7737599611282349, 0.8153599500656128, 0.8382399678230286, 0.8458399772644043]"
8,RSL,0,0.6983839869499207,0.7816516022758484,0.7784,0.5764177734375,0.724,0.7363526000976562,62500,500,0.6979359984397888,0.7784,0.724,32.68531739298487,34.22096699400572,"[0.6081599593162537, 0.6879199743270874, 0.7158399820327759, 0.7318399548530579, 0.7481600046157837]"
9,RSL,0,0.7964000105857849,0.5563984615020752,0.8556,0.40704801864624024,0.732,0.7593599853515625,62500,500,0.7960320115089417,0.8556,0.732,32.68963379197521,34.22187754797051,"[0.7051999568939209, 0.7946400046348572, 0.8098399639129639, 0.829039990901947, 0.8432799577713013]"
10,RSL,0,0.6721599698066711,0.8262746969833373,0.7688,0.612230640411377,0.616,1.0165110473632812,62500,500,0.6716960072517395,0.7688,0.616,32.67538153601345,34.21523895300925,"[0.5753600001335144, 0.6588000059127808, 0.6919999718666077, 0.7083199620246887, 0.7263199687004089]"
11,RSL,0,0.7720959782600403,0.6207806950874328,0.8512,0.4000340721130371,0.804,0.5620782470703125,62500,500,0.771664023399353,0.8512,0.804,32.69890790700447,34.24350277998019,"[0.675599992275238, 0.7631999850273132, 0.7880799770355225, 0.806719958782196, 0.8268799781799316]"
