arm,cond,seed,slot,lr,task,hard,n_classes,online_acc,train_acc,test_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,two_alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,two_alpha_W_med_l2
KKA,std,0,0,0.0001,1,1,5,0.7697516026,0.9023999572,0.756000042,0.9023999572,0,0,0.1243232861,3.339141846,-2.496872663,1.040717006,36.94006091,0,0,0.3835235834,3.377953053,-5.494865894,1.072598457,32.72603675,0.647926569,0.5921565294,0.6121389866,0.1891776919,0.05144460499,0.6633076072,0,1.200000048,0.1877693385,0.06210405007,0.4939120412,0,1.200000048
KKA,std,0,0,0.0001,2,0,1,0.9705128205,1,0.969999969,1,0,0,-1.017499924,2.57741189,-4.212395191,0.737184763,34.25246135,0,0,-0.1882237345,2.440189362,-6.407455444,0.9562763572,30.44671327,0.6468213201,0.5950837135,0.634441793,0.2324199528,0.06104735658,0.7434029579,0,1.200000048,0.251760155,0.08654116094,0.5608016253,0,1.200000048
KKA,std,0,0,0.0001,3,1,5,0.7090144231,0.8700000048,0.6740000248,0.8700000048,0,0,-0.7219601274,3.885065556,-3.962638855,0.9067849517,38.04140051,0,0,0.1353416443,3.80078721,-7.557883263,1.061872363,35.56168717,0.708438158,0.6036257148,0.6826120615,0.1651432514,0.02964822948,0.4924553037,0,1.200000048,0.1659726351,0.05958082154,0.4098978937,0,1.200000048
KKA,std,0,0,0.0001,4,0,1,0.9699519231,1,0.969999969,1,0,0,-0.4824468195,3.351940393,-8.568758965,0.9063748121,34.61678384,0,0,-0.9402984977,3.643983364,-6.295521259,0.855830133,29.2580108,0.709220767,0.6070407033,0.7065300345,0.1784649342,0.03520864621,0.7838639021,0,1.200000048,0.1683820933,0.04898526147,0.5133254528,0,1.200000048
KKA,std,0,0,0.0001,5,1,5,0.7652644231,0.8819999695,0.726000011,0.8819999695,0,0,-1.15775919,4.283972263,-5.781663895,0.8329818249,41.69845842,0,0,-1.32553041,3.560696125,-7.391968727,0.7601545453,43.01729591,0.7503011823,0.6063492298,0.7423796654,0.1443096399,0.03609416261,0.3779013455,0,1.200000048,0.1755682528,0.04485869035,0.3894630373,0,1.200000048
KKA,std,0,0,0.0001,6,0,1,0.9729567308,1,0.9899999499,1,0,0,-1.718956709,3.998352766,-6.627773762,0.7613967061,33.51034056,0,0,-1.675435305,3.231173992,-7.997852325,0.7047257423,32.43865555,0.75175488,0.6087191105,0.7467631102,0.1519490182,0.03778527677,0.3777047694,0,1.200000048,0.1891616434,0.0487664789,0.351023972,0,1.200000048
KKA,std,0,0,0.0001,7,1,5,0.7600560897,0.8879999518,0.7440000176,0.8879999518,0,0,-0.2748022079,5.959998608,-2.296945095,1.000988603,43.10722345,0,0,-1.699650764,4.362937927,-7.537011623,0.8490472436,44.23533033,0.7934607863,0.6126550436,0.7554912567,0.106224671,0.0259977635,0.3197013736,0,1.200000048,0.1437958032,0.05390525982,0.2936649024,0,1.200000048
KKA,std,0,0,0.0001,8,0,1,0.978125,1,1,1,0,0,-1.569888711,4.460081577,-7.611433029,0.7901064754,36.71858144,0,0,-2.932151556,3.805022001,-13.81197643,0.7005904317,35.87187633,0.7914564013,0.6105400324,0.7496581674,0.1369103789,0.0487828292,0.3567262888,0,1.200000048,0.1585952491,0.06451919675,0.3693401217,0,1.200000048
KKA,std,0,0,0.0001,9,1,5,0.6138621795,0.795599997,0.5700000525,0.795599997,0,0,-0.4665625393,4.819566727,-3.946851492,0.9407329559,47.93503567,0,0,-2.099159479,3.913073301,-9.715413094,0.695318222,47.21660729,0.8423287868,0.6153149009,0.7586055994,0.128730014,0.03358505294,0.2796409428,0,1.200000048,0.1562081724,0.06863754243,0.3161454499,0,1.200000048
KKA,std,0,0,0.0001,10,0,1,0.9628205128,1,0.969999969,1,0,0,-0.9746806622,5.370727062,-4.729773521,0.867182672,40.02645147,0,0,-2.442019701,4.108521938,-9.838684082,0.7267364264,36.03297282,0.8434285522,0.6163815856,0.743925631,0.1136093065,0.03426774219,0.3127761185,0,1.200000048,0.148090601,0.0395526737,0.3181344569,0,1.200000048
KKA,std,0,0,0.0001,11,1,5,0.6692307692,0.8039999604,0.6800000072,0.8039999604,0,0,-0.715929985,5.569593906,-5.139848232,0.9048367143,45.0513545,0,0,-1.568990111,4.144936562,-6.91913271,0.8163879514,43.58811358,0.8639261127,0.6188234091,0.7254567742,0.1106570065,0.03540961072,0.3086873293,0,1.200000048,0.1505861282,0.04254834354,0.2586007118,0,1.200000048
KKA,std,0,0,0.0001,12,0,1,0.9690705128,1,0.9899999499,1,0,0,-0.03529485315,5.338653088,-3.798838139,1.017934084,43.26953053,0,0,-1.210185647,4.896563053,-6.148628712,0.8868151903,37.25679228,0.8850443363,0.6197484732,0.7201106548,0.1140679941,0.03873337433,0.3478510082,0,1.200000048,0.1245667264,0.0401995033,0.3047694862,0,1.200000048
