arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,alpha_W_med_l2
SWA1,0,0.001,1,none,0.967575,1,1,0,0,-0.2985075414,1.876954317,-5.53342247,0.4582053125,70.37291371,0,0,2.579248428,2.026387215,0.6594704986,0.8984889984,37.30189756,4.22300005,2.083575964,2.797837257,0.5468959808,0.3051709533,0.8740466833,0,1,0.5085570216,0.3981871605,0.6242604256,0,1
SWA1,0,0.001,2,none,0.9537020833,1,1,0,0,-4.544131279,4.133274555,-11.6442585,0.1300303191,57.88003994,0,0,-0.2019215524,4.545571327,-13.51603699,0.4700601697,44.60850905,6.944962025,3.205477953,4.570390224,0.249109447,0.1204131469,0.4700624347,0,1,0.2247961164,0.1602312028,0.3513250351,0,1
SWA1,0,0.001,3,none,0.9435145833,1,1,0,0,-5.092785835,5.785657406,-14.6645813,0.2143438905,64.44018768,0,0,-16.37534904,9.287962914,-40.37762833,0.01450613514,60.99742795,9.939290047,4.24917078,5.983157635,0.1772455275,0.09135633707,0.3682598472,0,1,0.1105068997,0.06590281427,0.1673650146,0,1
SWA1,0,0.001,4,none,0.95063125,1,1,0,0,-6.087416172,7.478652,-23.71036911,0.2468316406,61.70509018,0,0,-32.16498947,13.28199005,-57.80477142,-0.06129248813,53.33233287,12.68394279,5.161703587,6.619513035,0.1386609077,0.08231626451,0.2763077021,0,1,0.07689230144,0.04901852831,0.1195073724,0,1
SWA1,0,0.001,5,none,0.9390229167,1,1,0,0,-8.470426559,9.102258682,-30.76689148,0.1965418309,59.34347533,0,0,-53.72257614,17.33763504,-105.8681412,-0.05824105442,45.84165613,16.45654488,5.855626583,6.917489052,0.1134104356,0.0632045567,0.2026511431,0,1,0.05929843336,0.03600506112,0.1039989814,0,1
SWA1,0,0.001,6,none,0.9222666667,1,1,0,0,-11.115942,10.50342178,-35.48961639,0.1617009044,63.93477736,0,0,-68.88707733,19.33371162,-123.6614609,-0.05347422138,42.04327026,20.01189613,6.432136059,7.004060745,0.09742322564,0.05668542162,0.2619561553,0,1,0.05325688049,0.03646896034,0.08995273709,0,1
SWA1,0,0.001,7,none,0.886175,1,1,0,0,-14.18281269,12.29329491,-48.06141281,0.1716446131,71.18945497,0,0,-57.85902405,15.78541088,-100.4018555,-0.0584279187,48.4724832,23.25527954,6.948272705,6.873005867,0.08325266093,0.04507046565,0.253131181,0,1,0.06537032872,0.04574629292,0.0904295072,0,1
SWA1,0,0.001,8,none,0.8406729167,1,1,0,0,-20.33469582,15.29111862,-82.61188507,0.1259746104,69.56990059,0,0,-72.17635345,17.30106926,-141.2661285,-0.04948693514,45.99334734,27.85788918,7.726677418,6.485231876,0.06747626513,0.03570974618,0.2795234323,0,1,0.05942517519,0.04297688976,0.08322393149,0,1
SWA1,0,0.001,9,none,0.790175,0.9983333349,0.9983333349,0,0,-28.55963135,19.36117363,-64.50809479,0.05190660059,10.76857944,0,0,-1095.391357,279.1977234,-2656.493408,-0.05467118695,3.011915049,31.90372276,8.830277443,6.097397804,0.05320216715,0.02611515671,0.1289317757,0,1,0.00354824611,0.001466192887,0.05971489474,0,1
SWA1,0,0.001,10,none,0.6622125,0.9508333206,0.9508333206,0,0,-30.40470695,21.5356884,-79.94715118,0.04951839149,5.309742248,0,0,-2779.446777,779.9060059,-3718.76416,-0.06363434345,1.819833112,35.87744904,10.16215992,5.783456802,0.04801558331,0.01064608246,0.09985218197,0,1,0.001321379677,0.001000000047,0.03381573781,0.05000000075,1
SWA1,0,0.001,11,none,0.6066208333,0.875,0.875,0,0,-34.82315063,24.9334774,-83.16120911,0.04051722959,4.200678805,0,0,-4167.862305,1220.441895,-5109.960449,-0.05203828216,2.160564431,39.69849777,10.93289471,5.690164566,0.040643204,0.008150571957,0.07841995358,0,1,0.001000000047,0.001000000047,0.002520324662,0.8299999833,1.175986052
SWA1,0,0.001,12,none,0.5802479167,0.8733333349,0.8733333349,0,0,-37.92450333,25.16932869,-81.80013275,0.04560627788,3.653261315,0,0,-5544.396484,1640.407959,-6686.65918,-0.0283531975,2.552246174,43.25107956,11.64919376,5.683234692,0.04075454921,0.006311150733,0.08035935462,0,1,0.001000000047,0.001000000047,0.001000000047,1,1.599750996
SWA1,0,0.001,13,none,0.5385,0.8391666412,0.8391666412,0,0,-41.93772888,27.03842354,-94.0759201,0.05764697492,3.745683481,0,0,-6782.227051,2001.390137,-8400.082031,-0.01566049643,2.780199533,48.67041779,12.39900589,5.663143635,0.03778104484,0.005537552293,0.06585539877,0,1,0.001000000047,0.001000000047,0.001000000047,1,1.94080317
SWA1,0,0.001,14,none,0.4700145833,0.7341666818,0.7341666818,0,0,-38.12172699,28.99407768,-110.649086,0.0949048996,4.368247753,0,0,-7824.341797,2270.039551,-9552.577148,-0.009324926883,3.218850466,56.38124847,13.35988426,5.669992924,0.03523414955,0.004997847136,0.06095933169,0,1,0.001000000047,0.001000000047,0.001000000047,1,2.203815699
SWA1,0,0.001,15,none,0.4320541667,0.6850000024,0.6850000024,0,0,-31.17206383,31.1672554,-129.4720001,0.1624172926,5.611851488,0,0,-8693.552734,2446.484375,-10712.27539,-0.006084486376,4.108857777,63.00912857,14.27560711,5.70954752,0.03321239725,0.004881131463,0.05811927468,0,1,0.001000000047,0.001000000047,0.001000000047,1,2.366843462
