seed,arm,arm_branch,arm_layer,arm_kind,arm_src,arm_delta,arm_hold,arm_reset,k,task,online_acc,online_ce,first75_acc,first75_ce,last750_acc,major_frac,finite,step_w1,step_w1_first75,step_w2,step_w2_first75,step_w3,step_w3_first75,eps_w1_at1,eps_w2_at1,eps_w3_at1,eps_w1_at75,eps_w2_at75,eps_w3_at75,eps_w1_at1500,eps_w2_at1500,eps_w3_at1500,eps_w1_at6000,eps_w2_at6000,eps_w3_at6000,memo_acc_end,state_sha256,rows_par,rows_perp,rows_w2,restored,logits_equal_mb,nbar_neffT2,probe_zero2_mean,probe_zarm2_first,probe_zarm2_750,probe_zarm2_last,climb2,probe_effbar2_first,probe_effbar2_750,probe_effbar2_last,w1norm_end,w2norm_end,b2_mean_end,shadow_online_acc,shadow_state_sha256,shadow_hash_match_natural,logits_equal_full,g1_start,logg1_start,neff1_start,lowgate1_start,zbar1_start,sigma1_start,effbar1_start,pplus1_start,gtr1_start,zero1_start,deadunits1_start,neffT1_start,g2_start,logg2_start,neff2_start,lowgate2_start,zbar2_start,sigma2_start,effbar2_start,pplus2_start,gtr2_start,zero2_start,deadunits2_start,neffT2_start,mu2_start,pf_eps_w1,pf_zero_w1,pf_logrms_med_w1,pf_eps_w2,pf_zero_w2,pf_logrms_med_w2,pf_eps_w3,pf_zero_w3,pf_logrms_med_w3,field0_equal_fixed,g1_end,logg1_end,neff1_end,lowgate1_end,zbar1_end,sigma1_end,effbar1_end,pplus1_end,gtr1_end,zero1_end,deadunits1_end,neffT1_end,g2_end,logg2_end,neff2_end,lowgate2_end,zbar2_end,sigma2_end,effbar2_end,pplus2_end,gtr2_end,zero2_end,deadunits2_end,neffT2_end,mu2_end,sec,hash_match_resp_ee,hash_match_respdyn,exc_q,exc_v,exc_w2,exc_b,exc_frz,acc_equal_floor,hash_equal_floor
3,S2dyn_10r,2,2,dyn,10,,none,True,1,3,0.30916666666666665,2.486674845079581,0.12166666666666667,12.302349452972413,0.484,0.1075,True,0.20826069220008017,0.17015003647732857,0.16534739883172733,0.15405291060839468,0.21829351314954692,0.4241857770830393,0.5373341836734694,0.6303,0.0,0.2763137755102041,0.3595,0.0,0.26692602040816327,0.3821,0.0,0.21428571428571427,0.2611,0.0,0.5308333039283752,7ea3dd72eb89ce9524a91d095f831101e71996a6b9e978361a209794ffd9b230,0,0,0,0,True,0.0067781337933070784,0.9626092592592593,-0.07446850922780383,0.192684691369129,3.0944810870351436,3.1689495962629475,-50.05213200622222,-66.45972861018097,-58.14502482882743,6.581629024175201,2.5135183777298953,0.08922209090931574,0.1241875,eb25729c5442ce1c2cb54e0b50c2a45c47f5d338072d4b7a2f09bcf0811cca4b,True,True,0.3671949796628677,-1.116866850330256,0.48927312470354617,0.2804833333333333,-1.847769991244535,1.9337566020396637,-1.847769991244535,0.19850833333333337,0.3671949796890218,0.0,0.0,0.4892731247542564,0.006580655382845924,-9.625749298493368,0.007725326568282977,0.9911249999999999,-0.07446850922780382,1.5832928885070743,-50.05213200622223,0.005708333333333333,0.006580654925604661,0.9408249999999998,0.04,0.007644631111494917,5.3818312996547375,0.22982142857142857,0.20918367346938777,-6.7183281659520855,0.1392,0.04,-6.720596589718622,0.0,0.0,-2.0520814381640458,True,0.7280028714321449,-0.35595211198357807,0.7689803829832731,0.13206666666666667,1.2145261776255176,3.276498633329302,1.2145261776255176,0.6434916666666668,0.7280028714453182,0.00015833333333333332,0.0,0.7689803829885723,0.01319519337021597,-11.099019997586058,0.014619774800790887,0.9835,3.094481087035143,9.191323640163858,-58.145024828827424,0.011883333333333333,0.013195193020502727,0.9334333333333334,0.11,0.014393414226319328,24.496541071951352,31.637122631072998,,True,,,,,,,
3,S2dyn_10r,2,2,dyn,10,,none,True,2,4,0.2824479166666667,1.9962184560100238,0.09333333333333334,3.0887457116444907,0.41291666666666665,0.11583333333333333,True,0.15595236507715526,0.46790301489333314,0.13032359657881898,0.41038632683921605,0.21215776859025937,0.35146421248403686,0.21428571428571427,0.2611,0.0,0.2141454081632653,0.2438,0.0,0.21520408163265306,0.2587,0.0,0.21729591836734694,0.2515,0.0,0.4516666531562805,0a10bfb28ec5c2efab9d25638044fc832324b48aff382df3c5eda9c4eb0aa7fe,0,0,0,0,,0.005783606566218765,0.9743796296296298,3.0944810870351436,-3.0152751189840377,-1.680298485361647,-4.77477957239679,-58.14502482882743,-78.18203090506991,-70.38321267557006,7.599157438505572,2.8104083247139524,0.10365211092401296,0.13132291666666668,c13676b0ce259152d4e01974d4f839e3f0dbf5c9de3fdeb77f4f9fd10768d981,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7051315295883182,-0.3922114699013751,0.7436124719644797,0.16065833333333335,1.3578220770702154,3.8090036529497264,1.3578220770702154,0.6274333333333334,0.7051315295502542,0.00021666666666666668,0.0,0.7436124719124321,0.009121454305817974,-12.660025251501313,0.01022392326034017,0.9889250000000002,-1.6802984853616472,12.143999501386014,-70.38321267557006,0.0083,0.009121454138557115,0.9617416666666669,0.15,0.009984786860603721,28.44686622805843,31.70460796356201,,True,,,,,,,
3,S2dyn_c1,2,2,dyn,10,,c1,True,1,3,0.2998645833333333,2.5206842196087043,0.12166666666666667,12.30279172261556,0.4564166666666667,0.1075,True,0.20872362822804763,0.1710440793734354,0.15917812347621899,0.15410157163084173,0.2184148057422135,0.4241996487447371,0.5373341836734694,0.6303,0.0,0.2760076530612245,0.3612,0.0,0.2641581632653061,0.3803,0.0,0.21855867346938776,0.2628,0.0,0.5058333277702332,294c7d38f3a70d14474f9b5ecdb44b7f2a5d371e4c2fbff4bd11c8b07d0b4111,56564,438815,0,0,True,0.005659011597107316,0.9665907407407407,-0.07446850922780383,0.16042239091069205,2.674398912632679,2.7488674218604827,-50.05213200622222,-66.4919909106394,-58.5651070032299,4.457477050419219,2.663038968063586,0.09999336863169446,0.1241875,eb25729c5442ce1c2cb54e0b50c2a45c47f5d338072d4b7a2f09bcf0811cca4b,True,True,0.3671949796628677,-1.116866850330256,0.48927312470354617,0.2804833333333333,-1.847769991244535,1.9337566020396637,-1.847769991244535,0.19850833333333337,0.3671949796890218,0.0,0.0,0.4892731247542564,0.006580655382845924,-9.625749298493368,0.007725326568282977,0.9911249999999999,-0.07446850922780382,1.5832928885070743,-50.05213200622223,0.005708333333333333,0.006580654925604661,0.9408249999999998,0.04,0.007644631111494917,5.3818312996547375,0.22982142857142857,0.20918367346938777,-6.7183281659520855,0.1392,0.04,-6.720596589718622,0.0,0.0,-2.0520814381640458,True,0.7789323396539304,-0.2649654382462996,0.8328673459153194,0.05397499999999999,0.9382580409532995,2.1818163954284944,0.9382580409532995,0.6592833333333332,0.7789323396593333,0.0,0.0,0.8328673459598203,0.009376131648484253,-11.399759386806474,0.01048584292308269,0.9884166666666667,2.6743989126326784,7.892016553357713,-58.5651070032299,0.008525,0.00937613133341074,0.9462583333333334,0.13,0.010292814516718676,15.217744205591732,36.74586486816406,,,1.6636654581736465e-08,4.6018036314876554e-07,,,,,
3,S2dyn_c1,2,2,dyn,10,,c1,True,2,4,0.28377083333333336,1.9937024141450723,0.09333333333333334,2.882117436726888,0.41733333333333333,0.11583333333333333,True,0.16155537983937998,0.42338325389816117,0.12538451570526377,0.384989341837354,0.21128543985590414,0.32522692461498076,0.21855867346938776,0.2628,0.0,0.21860969387755103,0.2597,0.0,0.2199107142857143,0.2702,0.0,0.21400510204081633,0.2607,0.0,0.4508333206176758,9d8fb59dbeb3a9dadefd4b0e3f0aca4bc7a7711bc8a72977322f4435066b4a96,33266,302008,0,0,,0.005095636373088543,0.974974074074074,2.674398912632679,-2.032631680993872,2.0034841135634642,-0.6709147990692146,-58.5651070032299,-77.19938746707975,-66.69943007664496,4.457891518119993,2.9960179108927902,0.11037421951186843,0.13132291666666668,c13676b0ce259152d4e01974d4f839e3f0dbf5c9de3fdeb77f4f9fd10768d981,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7974301754650823,-0.24071610114436764,0.8472608624814079,0.04869166666666667,1.0855256836983065,2.1908015641882823,1.0855256836983065,0.6851416666666669,0.7974301754996179,0.0,0.0,0.8472608625312337,0.009878341819783119,-13.495902532090337,0.011224202046572403,0.9874583333333333,2.0034841135634642,9.365027583403831,-66.69943007664494,0.008783333333333332,0.009878341585397719,0.9541833333333334,0.19,0.010925392781985337,15.857652453962816,35.99293088912964,,,7.69200636518974e-09,4.0434632442298835e-07,,,,,
3,S2dyn_c2,2,2,dyn,10,,c2,True,1,3,0.29704166666666665,2.527285167793433,0.12166666666666667,12.30233470916748,0.4549166666666667,0.1075,True,0.20774362878849692,0.1701326822512783,0.1793672941424423,0.15404929765888178,0.21869332508019093,0.424186132925873,0.5373341836734694,0.6303,0.0,0.2763137755102041,0.3595,0.0,0.2684438775510204,0.382,0.0,0.21628826530612244,0.237,0.0,0.5149999856948853,77ca1415e984a9ac79d06fb9ea9caad81957aa542a972afd9d6c577503f1ac54,0,0,158519,0,True,0.0068386923127041616,0.9581703703703703,-0.07446850922780383,0.1400259310940106,3.512655617662104,3.587124126889908,-50.05213200622222,-66.51238737045608,-57.72685029820047,7.216365835807591,1.8966913439667872,0.09437800913816317,0.1241875,eb25729c5442ce1c2cb54e0b50c2a45c47f5d338072d4b7a2f09bcf0811cca4b,True,True,0.3671949796628677,-1.116866850330256,0.48927312470354617,0.2804833333333333,-1.847769991244535,1.9337566020396637,-1.847769991244535,0.19850833333333337,0.3671949796890218,0.0,0.0,0.4892731247542564,0.006580655382845924,-9.625749298493368,0.007725326568282977,0.9911249999999999,-0.07446850922780382,1.5832928885070743,-50.05213200622223,0.005708333333333333,0.006580654925604661,0.9408249999999998,0.04,0.007644631111494917,5.3818312996547375,0.22982142857142857,0.20918367346938777,-6.7183281659520855,0.1392,0.04,-6.720596589718622,0.0,0.0,-2.0520814381640458,True,0.8244002137201464,-0.2202740571331703,0.8505104507403923,0.08635,3.321741577424536,3.861675326164995,3.321741577424536,0.7678833333333334,0.8244002136856315,0.0007916666666666666,0.0,0.8505104506696548,0.013840098070858686,-11.464682717304617,0.015432406869017347,0.9822250000000001,3.5126556176621038,10.084647697186687,-57.72685029820047,0.012283333333333334,0.013840097614129384,0.9218833333333335,0.12,0.01526088316159777,46.24823971514931,34.4987473487854,,,,,2.0165518477277544e-07,,,,
3,S2dyn_c2,2,2,dyn,10,,c2,True,2,4,0.27334375,2.0160107711553574,0.09416666666666666,2.9202612463633217,0.39525,0.11583333333333333,True,0.15917842172605864,0.3790703185950406,0.12970631070311356,0.36590247162772965,0.21190484107258575,0.32924490282312036,0.21628826530612244,0.237,0.0,0.21625,0.2375,0.0,0.21651785714285715,0.2533,0.0,0.21224489795918366,0.229,0.0,0.4449999928474426,d5db0c4a305c175f139a081f28276f52f939d7cf2980a584bb327bc4ba4a107c,0,0,83857,0,,0.006111390622981107,0.968862037037037,3.512655617662104,-1.6430227122725802,-0.5888787513521151,-4.101534369014219,-57.72685029820047,-76.80977849835845,-69.29179294156053,8.590714117050998,1.881057586247762,0.10178392320493003,0.13132291666666668,c13676b0ce259152d4e01974d4f839e3f0dbf5c9de3fdeb77f4f9fd10768d981,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.864822590212604,-0.1611185207321624,0.8842225852644481,0.06709166666666666,4.777777954141275,4.616208464403105,4.777777954141275,0.8222666666666666,0.8648225902333856,0.0012916666666666664,0.0,0.8842225852945443,0.00972186495939224,-13.312482402178082,0.010984075273420858,0.9877083333333334,-0.5888787513521158,12.903316412916247,-69.29179294156054,0.008691666666666667,0.009721864697833855,0.9519583333333334,0.24,0.010651207388121435,57.564258135382445,36.684051275253296,,,,,1.4215238897108406e-07,,,,
3,S2dyn_c12,2,2,dyn,10,,c12,True,1,3,0.27658333333333335,2.58887532633543,0.12166666666666667,12.302777258555095,0.39675,0.1075,True,0.20078253868359752,0.17102548396602896,0.16891901493757663,0.15409852737017596,0.21874365612893598,0.4241999832447618,0.5373341836734694,0.6303,0.0,0.2760076530612245,0.3612,0.0,0.26626275510204084,0.3803,0.0,0.21931122448979593,0.2431,0.0,0.44333332777023315,cd8fe879051fc5f70f8273ccd3d12f367f8a51aebe4915b6601fd73bd04c81d9,109035,482361,182489,0,True,0.004928889167889605,0.9685250000000001,-0.07446850922780383,0.08240842018422166,3.3565296386979755,3.4309981479257794,-50.05213200622222,-66.57000488136588,-57.882976277164595,4.460705043098265,1.9011464276595584,0.13694457783713004,0.1241875,eb25729c5442ce1c2cb54e0b50c2a45c47f5d338072d4b7a2f09bcf0811cca4b,True,True,0.3671949796628677,-1.116866850330256,0.48927312470354617,0.2804833333333333,-1.847769991244535,1.9337566020396637,-1.847769991244535,0.19850833333333337,0.3671949796890218,0.0,0.0,0.4892731247542564,0.006580655382845924,-9.625749298493368,0.007725326568282977,0.9911249999999999,-0.07446850922780382,1.5832928885070743,-50.05213200622223,0.005708333333333333,0.006580654925604661,0.9408249999999998,0.04,0.007644631111494917,5.3818312996547375,0.22982142857142857,0.20918367346938777,-6.7183281659520855,0.1392,0.04,-6.720596589718622,0.0,0.0,-2.0520814381640458,True,0.8286756692162203,-0.19574460885136033,0.8716290542281483,0.03784166666666667,1.5884291112751072,2.4265998271074993,1.5884291112751072,0.7299666666666665,0.8286756691594916,0.0,0.0,0.8716290541347709,0.008715715472049222,-11.202867703866842,0.009985529862617594,0.9885499999999999,3.3565296386979755,7.471998103990268,-57.8829762771646,0.007508333333333334,0.00871571510185798,0.9446500000000002,0.12,0.009783540412307579,20.335026528198792,35.703967571258545,,,4.185782415122574e-08,4.873184549225584e-07,1.778438076804889e-07,,,,
3,S2dyn_c12,2,2,dyn,10,,c12,True,2,4,0.2616041666666667,2.0486048530141514,0.0875,2.7507523918151855,0.35733333333333334,0.11583333333333333,True,0.1510967976835976,0.40067254468643415,0.1281035997306693,0.40897322585806245,0.21105064057822648,0.30168423855987686,0.21931122448979593,0.2431,0.0,0.21919642857142857,0.2431,0.0,0.22002551020408162,0.2522,0.0,0.21377551020408164,0.2601,0.0,0.38083332777023315,4694e06fe6071e24fe6ad9174c7afd6abfacb79b0289dd2af31a57550d4a9479,84510,353564,95419,0,,0.004165098323329914,0.9752009259259259,3.3565296386979755,-0.29258177809664243,2.7547877695949863,-0.6017418691029892,-57.882976277164595,-75.45933756418252,-65.94812642061343,4.4626918540264775,1.8689104107384278,0.1648601521749515,0.13132291666666668,c13676b0ce259152d4e01974d4f839e3f0dbf5c9de3fdeb77f4f9fd10768d981,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8590780407203229,-0.15773769364494675,0.8950260021621141,0.029974999999999995,1.9921583298034347,2.4655634347966338,1.9921583298034347,0.7744,0.8590780407523116,0.0,0.0,0.8950260021933609,0.007246186235922179,-13.750666971883794,0.008642532981299772,0.9905333333333333,2.754787769594987,7.804235892154124,-65.94812642061343,0.006158333333333334,0.00724618599563837,0.9566666666666667,0.23,0.008260612213333435,23.536232089564937,42.695706844329834,,,3.958985125840364e-08,5.216129324026042e-07,1.3142333932236738e-07,,,,
3,S2dyn_c12b,2,2,dyn,10,,c12b,True,1,3,0.27407291666666667,2.595905901769797,0.12166666666666667,12.302770462036133,0.39108333333333334,0.1075,True,0.199702353049967,0.17102831576873237,0.16853280891003428,0.15408936946187168,0.2187701705600678,0.4242015688214451,0.5373341836734694,0.6303,0.0,0.2759948979591837,0.3613,0.0,0.26632653061224487,0.3801,0.0,0.22043367346938775,0.2432,0.0,0.4416666626930237,ccf1c787d1e0fdb46d1e5727189bbb4ee1a044ba053e2ab0c1ef93b19a3c49f9,121194,483816,188130,1032181,True,0.004695054774530288,0.9701722222222222,-0.07446850922780383,0.07240177538315183,2.5495895191984252,2.624058028426229,-50.05213200622222,-66.58001152616694,-58.689916396664145,4.461190762027197,1.901609114591027,0.0409840814745985,0.1241875,eb25729c5442ce1c2cb54e0b50c2a45c47f5d338072d4b7a2f09bcf0811cca4b,True,True,0.3671949796628677,-1.116866850330256,0.48927312470354617,0.2804833333333333,-1.847769991244535,1.9337566020396637,-1.847769991244535,0.19850833333333337,0.3671949796890218,0.0,0.0,0.4892731247542564,0.006580655382845924,-9.625749298493368,0.007725326568282977,0.9911249999999999,-0.07446850922780382,1.5832928885070743,-50.05213200622223,0.005708333333333333,0.006580654925604661,0.9408249999999998,0.04,0.007644631111494917,5.3818312996547375,0.22982142857142857,0.20918367346938777,-6.7183281659520855,0.1392,0.04,-6.720596589718622,0.0,0.0,-2.0520814381640458,True,0.7963943869239632,-0.2366220873474338,0.8455426696933266,0.04831666666666666,1.3125689298742216,2.4789710752976113,1.3125689298742216,0.6874250000000001,0.7963943869650363,0.0,0.0,0.8455426697554665,0.00825101766473214,-11.07930652733655,0.009433554677865085,0.9893166666666664,2.549589519198425,7.5660106619868,-58.68991639666416,0.0072,0.00825101733158032,0.9482750000000002,0.11,0.009254691532052906,17.945608359486734,36.9335196018219,,,5.125698865349193e-08,4.94982394627641e-07,1.3153641598151466e-07,0.0,,,
3,S2dyn_c12b,2,2,dyn,10,,c12b,True,2,4,0.26410416666666664,2.041001869301001,0.08666666666666667,2.733687162399292,0.3595833333333333,0.11583333333333333,True,0.1574816268826756,0.39558720522715396,0.1325986041880848,0.39327908908793086,0.2107767037426432,0.2981150623721381,0.22044642857142857,0.2432,0.0,0.22034438775510204,0.2428,0.0,0.22177295918367346,0.2518,0.0,0.21786989795918368,0.2702,0.0,0.38999998569488525,32d0781f71d05fe10c1a2c0153d522bd0ed088ff374a7da88ec7dcc98709c938,99016,376543,102557,971747,,0.004238575519167515,0.9760175925925927,2.5495895191984252,-0.6142613317813433,2.7931474152673927,0.2435578960689675,-58.689916396664145,-75.78101711786722,-65.90976677494102,4.463825705789177,1.8701978113838942,0.0409840814745985,0.13132291666666668,c13676b0ce259152d4e01974d4f839e3f0dbf5c9de3fdeb77f4f9fd10768d981,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8047482147488689,-0.22590489614348896,0.8502009540911217,0.047075,1.5795771054879042,2.6556087550978713,1.5795771054879042,0.7053833333333336,0.8047482147539656,0.0,0.0,0.850200954108113,0.007295652378695948,-13.297634445318385,0.008531107339216262,0.9906,2.793147415267392,8.396509477819528,-65.90976677494102,0.006383333333333332,0.007295652131736278,0.95785,0.2,0.008240301632673735,20.351728471895832,35.455336809158325,,,1.1995443638390668e-08,5.617036684668619e-07,2.0983305182298295e-07,0.0,,,
