arm,activation,target_mu_norm,target_dose,window,status,n_onset,median_log10_U,median_U,median_eval_loss_exact,median_strict_dead,median_submerged_frac,median_alive,median_eff_rank,median_w_norm,median_M,median_B,median_preact_sd,median_gamma,median_mu_cos_off,jump_J_5m
R_off,relu,,,early,COMPLETE,,-4.1651213350942635,6.861691207005194e-05,9.346891291868532e-05,46.25,0.4625,53.75,15.85801156203399,1.5392189382931192,-1.4418091670287994,-0.17265683099424026,0.4507390132710394,,1.0,0.01955565240087312
R_off,relu,,,1M,COMPLETE,9,-0.6748316360257625,0.21159222868542066,0.36899130401692626,93.25,0.9325,6.75,4.199752994140683,2.9458458958284046,-2.457803502962064,-0.49818061371566036,1.2073641344937496,,1.0,0.01955565240087312
R_off,relu,,,5M,COMPLETE,10,-0.09296997641429522,0.8072956306240828,0.8545926111386463,99.15,0.9915,0.85,1.0254256685027179,3.653153035067535,-3.226363687620689,-0.6890219786944273,1.474918458591393,,1.0,0.01955565240087312
R_933,relu,2.333,9.33,early,COMPLETE,,-5.903549127212976,1.2723878347431094e-06,2.5094775755151323e-06,32.75,0.3275,67.25,16.494655616313615,1.50276022269724,-0.822811671858181,-0.18477579480434186,0.41839053104203866,0.3384532679919645,0.973604132038753,0.01955565240087312
R_933,relu,2.333,9.33,1M,COMPLETE,3,-1.6012391177882543,0.02507677440966779,0.04394863529297474,80.55000000000001,0.8055000000000001,19.450000000000003,9.896108501445479,2.5829532583984447,-1.7220747733324862,-0.8644180316099102,0.9886113138566962,0.40598884946914543,0.9665357421745451,0.01955565240087312
R_933,relu,2.333,9.33,5M,COMPLETE,10,-0.21544536957589316,0.6159429375540979,0.6329168735826896,98.15,0.9815,1.85,1.3356299468686,3.683940991663931,-2.127904034769518,-1.1133636745826436,1.4385460807036718,0.49462170758778423,0.9572662433509789,0.01955565240087312
R_1216,relu,3.041,12.16,early,COMPLETE,,-4.14741026617626,7.346821238089044e-05,0.0001283632977255896,51.45,0.5145,48.55,16.0271125149317,1.5728989020452697,-1.5740529610081024,-0.16460142156359486,0.4610278868973383,-0.12011188686617959,0.9960695867969196,0.01955565240087312
R_1216,relu,3.041,12.16,1M,COMPLETE,10,-0.6492391899413728,0.22430427054453836,0.36542915513312824,95.0,0.95,5.0,3.495108965866097,3.03780863963257,-2.4634933842997886,-0.4467084019565358,1.2168695254831072,-0.05544388517950874,0.9985178705843829,0.01955565240087312
R_1216,relu,3.041,12.16,5M,COMPLETE,10,-0.2746619723906341,0.5324208239882318,0.702583877651004,98.55,0.9855,1.45,1.2799841371720262,3.6468854463842835,-2.7665481656995112,-0.49084291949890846,1.5498430717488119,0.038004028559322924,0.9979464200508671,0.01955565240087312
E_off,elu,,,early,COMPLETE,,-1.0825885319603041,0.08290799604632473,0.15114502822241366,3.55,0.035500000000000004,96.45,11.789245442345447,1.3294322100041591,-0.2805218402164289,-0.11359467592102891,0.25672399524735134,,1.0,0.053705840511561576
E_off,elu,,,1M,COMPLETE,0,-2.164127280317682,0.007007158267326314,0.02488188098260584,31.65,0.3165,68.35,12.49872023731406,3.7011705311141987,-1.3390344353912593,-0.34477230745414944,1.6315106394619305,,1.0,0.053705840511561576
E_off,elu,,,5M,COMPLETE,0,-1.9703827351945704,0.010748938288598315,0.03376684207311083,45.45,0.4545,54.55,13.677048648593017,6.626980961618781,-1.7995340246420746,-0.5032789070089458,2.8404861262968213,,1.0,0.053705840511561576
E_933,elu,2.333,9.33,early,COMPLETE,,-1.1524692028873273,0.07145622218383282,0.11064943543995476,3.15,0.0315,96.85,11.805140151086007,1.3301874437222923,-0.28276430104674194,-0.16119654517984855,0.26407065409739733,0.3384532679919645,0.973604132038753,0.053705840511561576
E_933,elu,2.333,9.33,1M,COMPLETE,0,-2.503046677290377,0.0031831405932278506,0.007739460922711462,25.049999999999997,0.2505,74.94999999999999,12.705230162266712,0.996859773036113,-0.9055561166971067,-0.6328631359068828,0.2841506408822665,0.40598884946914543,0.9665357421745451,0.053705840511561576
E_933,elu,2.333,9.33,5M,COMPLETE,0,-2.7598415525873294,0.0017658208463674453,0.005252461349950077,38.35,0.3835,61.65,13.677674971923313,6.222582223547186,-1.3147283301232346,-0.7633759879138774,2.4926726636159255,0.49462170758778423,0.9572662433509789,0.053705840511561576
E_1216,elu,3.041,12.16,early,COMPLETE,,-1.0476769780338198,0.09065860101832493,0.1567002117648736,4.45,0.0445,95.55,11.688011612085369,1.3283170659306365,-0.24890745611882653,-0.1129799866648773,0.25355540534217047,-0.12011188686617959,0.9960695867969196,0.053705840511561576
E_1216,elu,3.041,12.16,1M,COMPLETE,0,-2.254297642381876,0.005574965546752188,0.012953456261158486,35.2,0.352,64.80000000000001,11.412342277356467,3.591542974059837,-1.5228572094997563,-0.33410911483212147,1.552887594161906,-0.05544388517950874,0.9985178705843829,0.053705840511561576
E_1216,elu,3.041,12.16,5M,COMPLETE,0,-2.725607064304479,0.0018810368940829873,0.008237575648438076,35.9,0.359,64.1,14.938317266421457,6.732014892317384,-1.7366434330568894,-0.3501784734977623,2.9125388055335444,0.038004028559322924,0.9979464200508671,0.053705840511561576
LR_off,leaky,,,early,COMPLETE,,-3.76377459284531,0.00017532488779811901,0.00044584947327229983,49.05,0.4905,50.95,15.628639615760317,1.5647771093352105,-1.4288531525978723,-0.17196400917256538,0.4678343158489838,,1.0,0.021735732718596967
LR_off,leaky,,,1M,COMPLETE,0,-3.2451187595164233,0.0007228891036506191,0.0013042867335430004,57.35,0.5735000000000001,42.65,15.690148070380506,3.060440342569094,-1.6873933452098533,-0.37250413965591056,1.3218540158576495,,1.0,0.021735732718596967
LR_off,leaky,,,5M,COMPLETE,0,-2.2754643944160033,0.005311758565829702,0.009239660700253484,63.0,0.63,37.0,14.325902680837647,3.792060123019759,-1.6025345695885256,-0.5211252159821234,1.675573979463194,,1.0,0.021735732718596967
LR_933,leaky,2.333,9.33,early,COMPLETE,,-4.94344479732437,1.1427005662364638e-05,2.258187426254329e-05,33.650000000000006,0.3365,66.35,16.135586657806023,1.535905881048322,-0.8552188579403375,-0.19898326363639257,0.4353477275978013,0.3384532679919645,0.973604132038753,0.021735732718596967
LR_933,leaky,2.333,9.33,1M,COMPLETE,0,-2.2271959340751732,0.006012509581096809,0.017984848747789106,72.2,0.722,27.8,13.634739684013923,2.6993373516244805,-1.5681357049764402,-0.7664793783853548,1.0846529489938421,0.40598884946914543,0.9665357421745451,0.021735732718596967
LR_933,leaky,2.333,9.33,5M,COMPLETE,0,-2.6057850152820463,0.002774190907653932,0.006090403843111894,66.8,0.6679999999999999,33.2,14.025364252098974,3.897760239516732,-1.3862386156038062,-0.7994865280450066,1.6101760863931278,0.49462170758778423,0.9572662433509789,0.021735732718596967
LR_1216,leaky,3.041,12.16,early,COMPLETE,,-3.418413521151991,0.00038803055354007937,0.0007325346947919106,52.05,0.5205,47.95,15.299814346599671,1.5930485123538485,-1.57347324896742,-0.17294079795288303,0.47870808482837135,-0.12011188686617959,0.9960695867969196,0.021735732718596967
LR_1216,leaky,3.041,12.16,1M,COMPLETE,0,-2.207957839412672,0.006244353426007812,0.014877495710216812,70.85,0.7085,29.15,13.336954460146918,3.214579594349357,-1.8777011844212692,-0.33895224078255143,1.4116724779940997,-0.05544388517950874,0.9985178705843829,0.021735732718596967
LR_1216,leaky,3.041,12.16,5M,COMPLETE,0,-2.652350009361937,0.002235725328291775,0.003385522181491596,64.15,0.6415,35.849999999999994,14.775515652192752,4.066110138745088,-1.8309423169466177,-0.3336091083016637,1.770085592522142,0.038004028559322924,0.9979464200508671,0.021735732718596967
