arm,activation,target_mu_norm,target_dose,status,n_onset_1m,cp95_1m_lo,cp95_1m_hi,U_1m_seed_values,median_log10_U_1m,n_onset_5m,cp95_5m_lo,cp95_5m_hi,U_5m_seed_values,median_log10_U_5m,median_submerged_frac_5m,median_strict_dead_frac_5m,submerged_near_zero,NUMERIC_DIVERGENCE,main_verdict,jump_J_5m,P3_contrast,P3_status,P3_point,P3_percentile_ci_lo,P3_percentile_ci_hi,P3_studentized_ci_lo,P3_studentized_ci_hi,P3_ci_degenerate,P4_contrast,P4_status,P4_point,P4_percentile_ci_lo,P4_percentile_ci_hi,P4_studentized_ci_lo,P4_studentized_ci_hi,P4_ci_degenerate,CI_DEGENERATE
R_off,relu,,,COMPLETE,9,0.5549838829718043,0.9974714214555382,"[0.2033299519362181, 0.060557822854472455, 0.38300252263775747, 0.40182935681023313, 0.3970204965633003, 0.03891993775036502, 0.1385798738911451, 0.21985450543462318, 0.4668241975728204, 0.055429146732959386]",-0.6748316360257625,10,0.6915028921812392,1.0,"[0.9993716624888371, 0.5845020730398265, 0.9746113865645214, 0.5879741775863391, 0.8100774228687422, 0.9533000752211336, 0.3361454787918823, 0.8045138383794235, 0.9848023391983132, 0.3825235593422975]",-0.09296997641429522,0.9915,0.9915,0,0,GATE_LOAD_BEARING,0.01955565240087312,,,,,,,,,,,,,,,,,0
R_933,relu,2.333,9.33,COMPLETE,3,0.06673951117773441,0.6524528500599973,"[0.00012244687527438068, 0.0006465155072805243, 0.026292290533084246, 0.11167375700267065, 0.1517642046216435, 0.005190652618805798, 0.03921716467634085, 0.002606762114828096, 0.02386125828625133, 0.08909592848918908]",-1.6012391177882543,10,0.6915028921812392,1.0,"[0.46562605868100454, 0.8091302660125453, 0.8587544537644476, 0.7087422482335748, 0.5231436268746211, 0.8412842809402197, 0.3424444297915313, 0.809666914854289, 0.4652291590142763, 0.3377733220813829]",-0.21544536957589316,0.9815,0.9815,0,0,GATE_LOAD_BEARING,0.01955565240087312,,,,,,,,,,,,,,,,,0
R_1216,relu,3.041,12.16,COMPLETE,10,0.6915028921812392,1.0,"[0.22008817205469797, 0.1553162042192267, 0.16558869134419346, 0.326407317592699, 0.3986922998381343, 0.2618935638191647, 0.150005670193653, 0.2079232060873296, 0.2635425968032131, 0.22852036903437875]",-0.6492391899413728,10,0.6915028921812392,1.0,"[0.49785829368919127, 0.5669833542872723, 0.9638110689756122, 0.999884664334106, 0.4006331885271228, 0.6785477511014105, 0.36832435436972844, 0.6728659568821506, 0.39763733408382784, 0.3909596477422529]",-0.2746619723906341,0.9855,0.9855,0,0,GATE_LOAD_BEARING,0.01955565240087312,,,,,,,,,,,,,,,,,0
E_off,elu,,,COMPLETE,0,0.0,0.3084971078187607,"[0.008823205608983342, 0.0003333586288779587, 0.015897884764603513, 0.008469482027376147, 0.03037910842675658, 0.0004023430032977991, 0.0055448345072764815, 0.0024932196680263414, 0.023695111818643713, 0.0008875151207241224]",-2.164127280317682,0,0.0,0.3084971078187607,"[0.0025304325633421403, 0.009786388035790393, 0.013654190025217876, 0.0019708065100396076, 0.02000862059070062, 0.016049535447434184, 0.00014281978852279085, 0.03169946682808087, 0.0014262880394426598, 0.011711488541406235]",-1.9703827351945704,0.4545,,0,0,GATE_LOAD_BEARING,0.053705840511561576,E_off_minus_R_off,OK,-1.814864581202427,-2.6569280481632838,-1.6073093793256437,-3.103544419013838,68119843523940.36,1,,,,,,,,,1
E_933,elu,2.333,9.33,COMPLETE,0,0.0,0.3084971078187607,"[0.005431244145839183, 0.00024265179379472207, 0.0054103771215965905, 0.0006054359688806446, 0.008088281905933786, 0.0002662336411602035, 0.0026618834325392105, 0.0016240721077638702, 0.003704397753916491, 0.004320172988254905]",-2.503046677290377,0,0.0,0.3084971078187607,"[0.005432818007510484, 0.0014560352000033163, 0.0026109052730328326, 0.0020756064927315745, 0.0008141264941788819, 0.003651699358894286, 0.0004185168463961537, 0.009615071607230952, 0.00032122203971548743, 3.635237567813743e-05]",-2.7598415525873294,0.3835,,0,0,GATE_LOAD_BEARING,0.053705840511561576,E_933_minus_R_933,OK,-2.6390949367976475,-2.9843953211323626,-2.2250450038389094,-29056104655643.758,25182796952921.953,1,,,,,,,,,1
E_1216,elu,3.041,12.16,COMPLETE,0,0.0,0.3084971078187607,"[0.005852760114306911, 0.00039732101868337355, 0.0046501091420909765, 0.0008278064569236059, 0.02662105249752794, 0.0012401998726283598, 0.012074013988198093, 0.005297170979197465, 0.009019375733044387, 0.0230245507221671]",-2.254297642381876,0,0.0,0.3084971078187607,"[0.005604607493161496, 0.0018894830424636174, 0.00026626045950491734, 0.0075121604494495925, 0.0040852454070371335, 0.00251376954539925, 8.769512963882915e-06, 0.0018725907457023572, 0.00039874657924512616, 0.0002545521062825292]",-2.725607064304479,0.359,,0,0,GATE_LOAD_BEARING,0.053705840511561576,E_1216_minus_R_1216,OK,-2.5163564967906176,-3.2787377078049627,-2.1241850521760295,-34554655364016.66,42507760304457.0,1,E_1216_minus_E_933,OK,0.053705840511561576,-0.7105096501672805,0.55861983474471,-0.1540049367673294,0.1255330352655396,1,1
LR_off,leaky,,,COMPLETE,0,0.0,0.3084971078187607,"[0.0011691535171446583, 3.666788229317716e-05, 0.016310158049130455, 0.0002766246901565799, 0.009194734902395097, 2.972314435426855e-05, 0.00019402976516078873, 0.0030285561494969157, 0.0025951953708890545, 4.530026928262545e-08]",-3.2451187595164233,0,0.0,0.3084971078187607,"[2.279250477822593e-05, 0.01563150768876783, 0.01110654341846506, 0.005009831898877448, 0.005613685232781955, 0.0001879627375534045, 0.002325784234559908, 0.0022616672512024406, 0.014546375822386982, 0.01611733003249708]",-2.2754643944160033,0.63,,0,0,GATE_LOAD_BEARING,0.021735732718596967,LR_off_minus_R_off,OK,-2.1144067852816075,-2.932557858838204,-1.7580188747645595,-2.2956195812364,3.8578251605663505,1,,,,,,,,,1
LR_933,leaky,2.333,9.33,COMPLETE,0,0.0,0.3084971078187607,"[0.03978168402969402, 0.00011777753896682196, 0.0070400220281254975, 0.000489943622853222, 0.0070253939499180535, 0.00037728303359206886, 0.001673827453386744, 0.012220396553897735, 0.004999625212275564, 0.01071064575210849]",-2.2271959340751732,0,0.0,0.3084971078187607,"[7.113138537924594e-05, 0.005630051742558297, 0.004020158657908097, 0.01118107959953941, 0.011417359703792514, 3.139246956968862e-05, 0.0015282231573997677, 0.001311837369476596, 0.011857349076048962, 0.000968820585631275]",-2.6057850152820463,0.6679999999999999,,0,0,GATE_LOAD_BEARING,0.021735732718596967,LR_933_minus_R_933,OK,-2.3400145696910672,-3.1791789986853445,-1.8020045826108801,-2.361070161441268,243028515501.8108,1,,,,,,,,,1
LR_1216,leaky,3.041,12.16,COMPLETE,0,0.0,0.3084971078187607,"[0.012032930536320178, 0.004290790058555907, 0.010682835518073402, 0.0005018424923207941, 0.007906691614363028, 0.007027791045677846, 0.005460915806337776, 0.0005676650513143089, 0.004534270783074649, 0.00783057819247634]",-2.207957839412672,0,0.0,0.3084971078187607,"[0.0006292188849146179, 0.0024370768076876874, 0.0037971040163324943, 0.010710332972067875, 0.002034373848895862, 0.000727015920609707, 0.0002555180150803024, 0.011259625245095254, 0.000860378424169195, 0.006496837656442743]",-2.652350009361937,0.6415,,0,0,GATE_LOAD_BEARING,0.021735732718596967,LR_1216_minus_R_1216,OK,-2.385620253816102,-2.8983039975778118,-1.9701469347048328,-2.415196793208783,-2.096264480709694,1,LR_1216_minus_LR_933,OK,-0.021735732718596967,-0.7491349192002614,0.9336439378890096,-0.07314071781186132,-0.013261632838164727,1,1
