arm,family,dial,is_control,u_star_registered,u_star_numeric,u_fr_registered,u_fr_numeric,m_minus,m_minus_window,m_minus_is_independent,submerged_frac,beyond_valley_frac,frozen_frac,frozen_plus_valley_frac,strict_dead_frac,submerged_abs_v_median,abs_v_median,n_onset_1m,n_onset_5m,k_star_median,median_log10_U_5m,residual_level,capacity_status
S_b1_1216,silu,1.0,0,1.2785,1.278464542761074,16.56,16.560228637895733,-3.679719793581171e-05,late_tasks_5m,1,0.9995,0.979,0.5,0.979,,7.540572285652161,7.519933223724365,1,10,10.0,-0.7529803290579633,0.23319755287611177,CAPACITY_UNDEFINED
G_b1_1216,gelu,1.0,0,0.7519,0.7517915246935645,5.394,5.394073331333958,-3.991638952287628e-15,late_tasks_5m,1,1.0,0.9995,1.0,1.0,,8.050622940063477,8.050622940063477,3,10,92.0,-0.0030161538660053765,1.4862728478140341,OK
LR_a0p01_1216,leaky,0.01,0,,nan,,inf,0.009999999776482582,late_tasks_5m,0,0.9815,nan,0.0,0.0,,1.060357540845871,1.0569414794445038,10,10,30.0,-0.4056373773711775,0.5450029423907214,OK
LR_a0p001_1216,leaky,0.001,0,,nan,,inf,0.0010000000474974513,late_tasks_5m,0,0.9955,nan,0.0,0.0,,2.080270230770111,2.079045295715332,10,10,30.0,-0.07125674075270039,0.9411511209232015,OK
LR_a0p0001_1216,leaky,0.0001,0,,nan,,inf,9.999999747378752e-05,late_tasks_5m,0,0.9804999999999999,nan,0.0,0.0,,1.4028439819812775,1.3959410786628723,10,10,28.0,-0.24725350784406613,0.6594401760164416,OK
E_a0p1_1216,elu,0.1,0,,nan,11.5129,11.512925464970229,0.0007403190684271976,late_tasks_5m,1,0.8385,nan,0.0005,0.0005,,1.525579959154129,1.4987815916538239,0,5,118.0,-1.3261369570490538,0.05491235503028537,OK
E_a0p01_1216,elu,0.01,0,,nan,9.2103,9.210340371976184,0.00011418844223953784,late_tasks_5m,1,0.9205000000000001,nan,0.0335,0.0335,,1.392514169216156,1.3815841674804688,10,10,35.5,-0.5246541191739638,0.394880956293426,OK
S_b0p3_1216,silu,0.3,0,4.2616,4.261548475870247,55.2,55.20076212631911,-0.013740124180912971,late_tasks_5m,1,0.7905,0.759,0.0,0.759,,0.7138501405715942,0.4969477355480194,10,10,10.0,-0.6747787788837358,0.31307436481937373,CAPACITY_UNDEFINED
S_b3_1216,silu,3.0,0,0.4262,0.4261548475870246,5.52,5.520076212631911,-2.3108581714836873e-09,late_tasks_5m,1,1.0,1.0,0.997,1.0,,7.58830463886261,7.58830463886261,6,10,92.0,-9.021649275247125e-06,1.4942585667219626,OK
G_b0p3_1216,gelu,0.3,0,2.5063,2.5059717489785482,17.98,17.980244437779863,-0.0003610830244724639,late_tasks_5m,1,0.9935,0.951,0.657,0.951,,4.735776782035828,4.722952961921692,6,6,10.0,-1.2172684323299654,0.06771948933040096,CAPACITY_UNDEFINED
G_b3_1216,gelu,3.0,0,0.2506,0.2505971748978548,1.798,1.798024443777986,-5.231222861256943e-22,late_tasks_5m,1,1.0,1.0,1.0,1.0,,4.663728356361389,4.663728356361389,9,10,56.0,-2.6100131040514358e-06,1.49566168421756,OK
LR_a0p00001_1216,leaky,1e-05,0,,nan,,inf,9.999999747378752e-06,late_tasks_5m,0,0.9864999999999999,nan,0.0,0.0,,1.344639778137207,1.3440282046794891,10,10,28.0,-0.23369028408716708,0.6850049344008156,OK
E_a0p001_1216,elu,0.001,0,,nan,6.9078,6.907755278982138,1.8589240880828584e-05,late_tasks_5m,1,0.9675,nan,0.16749999999999998,0.16749999999999998,,1.3511082530021667,1.347583681344986,9,10,28.5,-0.3446073256163028,0.5458690490536962,OK
S_b10_1216,silu,10.0,0,0.1278,0.12784645427610739,1.656,1.6560228637895733,-4.9905004174261025e-12,late_tasks_5m,1,1.0,0.998,1.0,1.0,,3.3214945793151855,3.308550775051117,10,10,45.5,-0.000574537827625706,1.4933580153589152,OK
R_1216,relu,0.0,1,0.0,0.0,0.0,0.0,0.0,final_step5000000,0,0.9855,nan,0.994,0.994,0.9855,nan,nan,10,10,28.0,-0.2746619723906341,nan,
LR_1216,leaky,0.1,1,,nan,,inf,0.10000000000000002,final_step5000000,0,0.6415,nan,0.0,0.0,,nan,nan,0,0,500.0,-2.652350009361937,nan,
E_1216,elu,1.0,1,,nan,13.8155,13.815510557964275,0.007829334103927,final_step5000000,1,0.359,nan,0.0,0.0,,nan,nan,0,0,10.0,-2.725607064304479,nan,
