arm,seed,is_control,depth_median,decile_1,decile_2,decile_3,decile_4,decile_5,decile_6,decile_7,decile_8,decile_9
S_b1_1216,0,0,16.91457176208496,12.084733963012695,14.2760835647583,15.208720397949218,16.222918701171874,16.91457176208496,17.600292587280272,18.333901214599607,19.614370727539065,23.345034408569337
S_b1_1216,1,0,17.79698944091797,13.312403678894043,14.911415672302246,15.930426597595215,16.87647705078125,17.79698944091797,18.751419067382812,19.611699104309082,21.132836532592773,26.29702548980713
S_b1_1216,2,0,14.643877983093262,10.092741584777832,11.708786010742188,12.770320510864257,13.724036598205567,14.643877983093262,15.35166301727295,15.987342834472656,16.8401481628418,18.07136650085449
S_b1_1216,3,0,16.436628341674805,12.356927490234375,13.868639945983887,14.853886604309082,15.651905822753907,16.436628341674805,17.271223068237305,18.18028450012207,19.36933288574219,21.054398345947266
S_b1_1216,4,0,18.314050674438477,12.331544017791748,14.569326782226563,15.999399662017822,17.27455253601074,18.314050674438477,19.72618713378906,21.59307403564453,23.916013717651367,27.837368774414063
S_b1_1216,5,0,14.734411239624023,10.91485538482666,12.003623771667481,13.015463829040527,13.91817684173584,14.734411239624023,15.453048133850098,16.281988906860352,17.491066360473635,19.385396385192873
S_b1_1216,6,0,14.97117567062378,10.078430938720704,12.373626518249512,13.370470237731933,14.177763748168946,14.97117567062378,15.634315872192383,16.53536148071289,17.59909477233887,19.7636381149292
S_b1_1216,7,0,18.07682228088379,13.033403396606445,15.098409461975098,16.282463836669923,17.230175018310547,18.07682228088379,19.105769729614256,20.190839195251463,21.613530731201173,24.94024658203125
S_b1_1216,8,0,16.703012466430664,12.369816875457763,13.970721817016601,14.816183090209961,15.709704971313476,16.703012466430664,17.821406173706055,18.906001091003418,20.621627426147462,22.886898803710938
S_b1_1216,9,0,15.391153812408447,10.947193145751953,12.523529052734375,13.610489845275879,14.476083755493164,15.391153812408447,16.415325164794922,17.556102752685547,18.88275909423828,20.920498847961426
G_b1_1216,0,0,11.622076034545898,9.128420448303222,9.810070610046386,10.375819778442382,10.99532356262207,11.622076034545898,12.407272720336914,13.679331970214843,15.36377410888672,18.981546401977543
G_b1_1216,1,0,11.276088237762451,8.865356540679931,9.589655113220214,10.212350177764893,10.731164932250977,11.276088237762451,11.8378755569458,12.66068296432495,14.766462898254394,19.259175300598148
G_b1_1216,2,0,11.157315731048584,8.583292579650879,9.420145225524903,9.974439144134521,10.556465148925781,11.157315731048584,11.621173286437989,12.475661754608153,14.05865879058838,17.007520294189458
G_b1_1216,3,0,10.776954650878906,8.443366622924804,9.14648151397705,9.678670978546142,10.23067398071289,10.776954650878906,11.406534385681152,12.54030237197876,14.014191246032714,16.051428031921386
G_b1_1216,4,0,11.19706392288208,8.846350288391113,9.550758934020996,10.13220386505127,10.667148208618164,11.19706392288208,11.77946720123291,12.59966535568237,14.97527256011963,17.228337860107423
G_b1_1216,5,0,10.418063640594482,7.688516712188721,8.441234970092774,9.172394371032714,9.727261161804199,10.418063640594482,11.162554168701172,12.37248249053955,14.102973556518554,17.790006256103517
G_b1_1216,6,0,10.567167282104492,8.476938056945801,9.240394592285156,9.715870571136474,10.12607936859131,10.567167282104492,11.098493576049805,11.730203628540039,12.685155296325684,14.991865062713623
