arm,seed,is_control,source,median_s,median_M,median_B,median_denom,median_zbar,n_na_M,n_na_B,n_records,median_M_plus_median_B
LR_1216,2,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs/LR_1216_seed2.npz,-2.2751259529963135,-1.9158427178859712,-0.3404679849743843,1.6992310523986816,-3.7648239493370057,0,0,10,-2.2563107028603553
LR_1216,3,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs/LR_1216_seed3.npz,-2.220858763158321,-1.8585808455944062,-0.3151336506009102,1.7261384546756744,-3.7091985940933228,0,0,10,-2.1737144961953163
LR_1216,4,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs/LR_1216_seed4.npz,-2.2071415051352234,-1.8512979686260223,-0.2865744650363922,1.799647569656372,-3.8654531121253966,0,0,10,-2.1378724336624146
LR_1216,5,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs/LR_1216_seed5.npz,-2.229409427382052,-1.8353430569171905,-0.3749572515487671,1.7285175383090974,-3.7126957297325136,0,0,10,-2.2103003084659574
LR_1216,6,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs/LR_1216_seed6.npz,-2.1775030666962265,-1.7190611362457275,-0.3808168485760689,1.739760971069336,-3.6201979756355285,0,0,10,-2.0998779848217963
LR_1216,7,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs/LR_1216_seed7.npz,-2.164463202655315,-1.7848837673664093,-0.32383118718862536,1.8011406421661378,-3.6570196390151977,0,0,10,-2.1087149545550345
LR_1216,8,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs/LR_1216_seed8.npz,-2.20889599584043,-1.817341583967209,-0.3659549966454506,1.8118021488189697,-3.8599325299263,0,0,10,-2.1832965806126596
LR_1216,9,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs/LR_1216_seed9.npz,-2.226065593957901,-1.8414564311504364,-0.33529449701309205,1.762637186050415,-3.767672431468964,0,0,10,-2.1767509281635284
E_1216,0,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs/E_1216_seed0.npz,-1.9013365644495934,-1.6453172445297242,-0.3280461370944977,2.9295963287353515,-5.966449761390686,0,0,10,-1.973363381624222
E_1216,1,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs/E_1216_seed1.npz,-2.057759614661336,-1.8553520023822785,-0.3704585447907448,2.9450711011886597,-6.891738319396973,0,0,10,-2.2258105471730234
E_1216,2,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs/E_1216_seed2.npz,-2.0135602054186164,-1.823871511220932,-0.34169577360153197,2.646765184402466,-5.718812298774719,0,0,10,-2.165567284822464
E_1216,3,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs/E_1216_seed3.npz,-1.979984518326819,-1.750811469554901,-0.35288235545158386,2.89171062707901,-6.157771944999695,0,0,10,-2.103693825006485
E_1216,4,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs/E_1216_seed4.npz,-1.9953703068196773,-1.7471366286277772,-0.3361856624484062,3.15360848903656,-6.763294053077698,0,0,10,-2.0833222910761835
E_1216,5,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs/E_1216_seed5.npz,-2.0426468667574227,-1.7439969956874848,-0.37012878656387327,2.7336951971054075,-6.097029376029968,0,0,10,-2.114125782251358
E_1216,6,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs/E_1216_seed6.npz,-1.8821970616467296,-1.6874722838401794,-0.3844415932893753,2.7422080755233766,-5.845064330101013,0,0,10,-2.0719138771295547
E_1216,7,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs/E_1216_seed7.npz,-1.94502918375656,-1.693728905916214,-0.31672223955392836,3.0865670800209046,-6.369360780715942,0,0,10,-2.0104511454701424
E_1216,8,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs/E_1216_seed8.npz,-1.9106319442391395,-1.6835537791252135,-0.3791832342743874,2.8954813122749328,-5.941974258422851,0,0,10,-2.062737013399601
E_1216,9,1,/home/issan/Projects/claude/proj_004_drift/results/gate_dose_0830/logs/E_1216_seed9.npz,-1.9594513084739447,-1.7292898654937745,-0.34747459143400194,2.977392113208771,-6.540199494361877,0,0,10,-2.0767644569277763
