arm,stage,family,activation,dial,target_dose,is_control,V1,V1_states,V1_developed,V2_family,V2_co_satisfied,capacity_status,status,NUMERIC_DIVERGENCE,n_onset_1m,cp95_1m_lo,cp95_1m_hi,U_1m_seed_values,median_log10_U_1m,n_onset_5m,cp95_5m_lo,cp95_5m_hi,U_5m_seed_values,median_log10_U_5m,median_submerged_frac_5m,median_w_norm_5m,median_eval_loss_exact_5m,P3prime_contrasts,P3prime_labels,P3prime_points,P3prime_ci,P5prime_contrasts,P5prime_labels,P5prime_points,P5prime_ci
S_b1_1216,1,silu,silu,1.0,12.16,0,CAPACITY_UNDEFINED,"{""S_b1_1216"": ""CAPACITY_UNDEFINED"", ""G_b1_1216"": ""present""}",G_b1_1216,MONOTONE_TOWARD_RELU,MONOTONE_TOWARD_RELU,CAPACITY_UNDEFINED,COMPLETE,0,1,0.0025285785444618125,0.4450161170281953,"[0.03083372319274883, 0.016333991975230777, 0.022657211953583584, 0.009682543938109, 0.06175563869822729, 0.004780136312148646, 0.0021561322379043033, 0.01295289333710041, 0.03293708561793006, 0.032540375620629496]",-1.71585059735001,10,0.6915028921812392,1.0,"[0.19026244094972164, 0.13161999027471172, 0.15656099628699974, 0.23194151610181196, 0.21590923305886517, 0.16394050845784036, 0.06655762461859045, 0.38342449234065984, 0.23157084302340264, 0.12431724214562756]",-0.7529803290579633,0.9995,9.160913801956845,0.23319755287611177,S_b1_1216_minus_R_1216,,-0.557247,"[-0.68018,-0.268476]",S_b1_1216_minus_E_1216|S_b1_1216_minus_LR_1216,SHORT_OF_SOFT_E_1216|SHORT_OF_SOFT_LR_1216,2.07711|1.87915,"[1.68689,2.76399]|[1.4754,2.41578]"
G_b1_1216,1,gelu,gelu,1.0,12.16,0,CAPACITY_UNDEFINED,"{""S_b1_1216"": ""CAPACITY_UNDEFINED"", ""G_b1_1216"": ""present""}",G_b1_1216,MONOTONE_TOWARD_RELU,MONOTONE_TOWARD_RELU,OK,COMPLETE,0,3,0.06673951117773441,0.6524528500599973,"[0.01575643634795128, 0.08807125003335645, 0.032806947104203496, 0.0053847510150803, 0.1314472862669111, 8.289052019268423e-05, 0.0043697220857336115, 0.010601929095102469, 0.023215453424158913, 0.058931315974761256]",-1.7183824151466567,10,0.6915028921812392,1.0,"[0.9936399272654259, 0.9999900217066606, 0.9999988428740171, 0.9507818281922896, 1.0000001591007186, 0.9690342877475091, 0.9866662268664801, 0.9825458227983438, 0.9925186082841291, 0.9980196553125378]",-0.0030161538660053765,1.0,5.337968844448742,1.4862728478140341,G_b1_1216_minus_R_1216,,0.273274,"[0.0902159,0.402129]",G_b1_1216_minus_E_1216|G_b1_1216_minus_LR_1216,SHORT_OF_SOFT_E_1216|SHORT_OF_SOFT_LR_1216,2.72178|2.65235,"[2.38878,3.57469]|[2.18644,3.13024]"
LR_a0p01_1216,2,leaky,leaky,0.01,12.16,0,CAPACITY_UNDEFINED,"{""S_b1_1216"": ""CAPACITY_UNDEFINED"", ""G_b1_1216"": ""present""}",G_b1_1216,MONOTONE_TOWARD_RELU,MONOTONE_TOWARD_RELU,OK,COMPLETE,0,10,0.6915028921812392,1.0,"[0.1859154843299818, 0.2769328274508628, 0.13371696590790366, 0.3738731588679153, 0.27836944633531074, 0.06342219346511238, 0.27218808524104565, 0.2872449987723959, 0.2897948068760273, 0.19052372474298807]",-0.5613782248578784,10,0.6915028921812392,1.0,"[0.2621017548227368, 0.2980316101432502, 0.6186523433020721, 0.5531146423497004, 0.4027499179639996, 0.3834332623103071, 0.4539027950824278, 0.5333743513837536, 0.35989644553467975, 0.2670635731631534]",-0.4056373773711775,0.9815,3.995253416359965,0.5450029423907214,LR_a0p01_1216_minus_R_1216,,-0.179031,"[-0.263263,-0.0433096]",LR_a0p01_1216_minus_LR_1216,SHORT_OF_SOFT_LR_1216,2.2543,"[1.71301,2.67091]"
LR_a0p001_1216,2,leaky,leaky,0.001,12.16,0,CAPACITY_UNDEFINED,"{""S_b1_1216"": ""CAPACITY_UNDEFINED"", ""G_b1_1216"": ""present""}",G_b1_1216,MONOTONE_TOWARD_RELU,MONOTONE_TOWARD_RELU,OK,COMPLETE,0,10,0.6915028921812392,1.0,"[0.26400642239926736, 0.22644296019183371, 0.42631213497618337, 0.277248651520877, 0.5195998587581078, 0.15685559426908618, 0.2900752142175743, 0.285186944866081, 0.24932412183595404, 0.3538996410998299]",-0.5510004583770102,10,0.6915028921812392,1.0,"[0.8723461864197665, 0.36952755379699154, 0.8361320380039456, 0.8446473795178713, 0.9121314381720967, 0.9658909812055283, 0.47422897987409324, 0.9015868380147471, 0.8527290914095254, 0.4233189530324847]",-0.07125674075270039,0.9955,4.335879561128843,0.9411511209232015,LR_a0p001_1216_minus_R_1216,,0.118418,"[-0.061717,0.243583]",LR_a0p001_1216_minus_LR_1216,SHORT_OF_SOFT_LR_1216,2.49722,"[1.90348,3.12338]"
LR_a0p0001_1216,2,leaky,leaky,0.0001,12.16,0,CAPACITY_UNDEFINED,"{""S_b1_1216"": ""CAPACITY_UNDEFINED"", ""G_b1_1216"": ""present""}",G_b1_1216,MONOTONE_TOWARD_RELU,MONOTONE_TOWARD_RELU,OK,COMPLETE,0,10,0.6915028921812392,1.0,"[0.3280427536022338, 0.06791572266979888, 0.39886956878335666, 0.3661960504749292, 0.31487393026852767, 0.36567140308899293, 0.2759987674716319, 0.23187150425428213, 0.47055650461855353, 0.27066251572754885]",-0.49296642310585437,10,0.6915028921812392,1.0,"[0.99836624719971, 0.37091730608648527, 0.5924948693321946, 0.4928128278306141, 0.5405157961074942, 0.7790127189168479, 0.362660945462897, 0.9818122285699218, 0.9209717187843157, 0.3203868972694259]",-0.24725350784406613,0.9804999999999999,3.7721126275023367,0.6594401760164416,LR_a0p0001_1216_minus_R_1216,,0.0266172,"[-0.184293,0.216123]",LR_a0p0001_1216_minus_LR_1216,SHORT_OF_SOFT_LR_1216,2.3088,"[1.93769,3.09082]"
E_a0p1_1216,2,elu,elu,0.1,12.16,0,CAPACITY_UNDEFINED,"{""S_b1_1216"": ""CAPACITY_UNDEFINED"", ""G_b1_1216"": ""present""}",G_b1_1216,MONOTONE_TOWARD_RELU,MONOTONE_TOWARD_RELU,OK,COMPLETE,0,0,0.0,0.3084971078187607,"[0.02020465518124092, 0.007994725271423374, 0.028576454137559344, 0.011219355766034228, 0.033111938198322484, 0.01623471047705387, 0.008551667654246965, 0.018411870851470266, 0.027356833982206747, 0.01833747881623613]",-1.7357812274711977,5,0.18708602844739858,0.8129139715526015,"[0.050444196987599166, 0.036740121494190994, 0.08310960381107642, 0.14395148647431144, 0.04414839025915986, 0.06171761957369737, 0.043062288006676844, 0.11614963130408643, 0.021632477638839832, 0.03047496988551837]",-1.3261369570490538,0.8385,4.9352427724389205,0.05491235503028537,E_a0p1_1216_minus_R_1216,,-1.01773,"[-1.1148,-0.899783]",E_a0p1_1216_minus_E_1216,SHORT_OF_SOFT_E_1216,1.56225,"[1.21189,2.14346]"
E_a0p01_1216,2,elu,elu,0.01,12.16,0,CAPACITY_UNDEFINED,"{""S_b1_1216"": ""CAPACITY_UNDEFINED"", ""G_b1_1216"": ""present""}",G_b1_1216,MONOTONE_TOWARD_RELU,MONOTONE_TOWARD_RELU,OK,COMPLETE,0,10,0.6915028921812392,1.0,"[0.11742860246344225, 0.11926507468433153, 0.14300376099111817, 0.11068026372613075, 0.16423961969573203, 0.09195908666624766, 0.08142071570783031, 0.14168593245100275, 0.18499124705235867, 0.08589983015048279]",-0.9268564116125293,10,0.6915028921812392,1.0,"[0.26742486646168717, 0.1833484929470503, 0.46567434741599534, 0.4514033818133674, 0.444525640807898, 0.31797874876276333, 0.23286291837657996, 0.35493978892789435, 0.2807331285585776, 0.19467397357379204]",-0.5246541191739638,0.9205,4.77739405025887,0.394880956293426,E_a0p01_1216_minus_R_1216,,-0.290299,"[-0.330647,-0.19913]",E_a0p01_1216_minus_E_1216,SHORT_OF_SOFT_E_1216,2.18989,"[1.94044,2.88353]"
S_b0p3_1216,2,silu,silu,0.3,12.16,0,CAPACITY_UNDEFINED,"{""S_b1_1216"": ""CAPACITY_UNDEFINED"", ""G_b1_1216"": ""present""}",G_b1_1216,MONOTONE_TOWARD_RELU,MONOTONE_TOWARD_RELU,CAPACITY_UNDEFINED,COMPLETE,0,10,0.6915028921812392,1.0,"[0.15553823934924355, 0.2103420789669963, 0.2386428453816162, 0.16056336523549672, 0.26947646515031937, 0.15007608243447454, 0.15729813436544954, 0.14320640672171187, 0.3087370766063011, 0.13288314813644747]",-0.7988149831878717,10,0.6915028921812392,1.0,"[0.2313901070957401, 0.11877507138472373, 0.16440362248579918, 0.29308465296738834, 0.211676307565629, 0.2382315923514704, 0.14001599282966926, 0.34956296584779684, 0.2112370973143293, 0.20085868405048193]",-0.6747787788837358,0.7905,8.837069280904757,0.31307436481937373,S_b0p3_1216_minus_R_1216,,-0.376407,"[-0.549449,-0.284403]",S_b0p3_1216_minus_E_1216|S_b0p3_1216_minus_LR_1216,SHORT_OF_SOFT_E_1216|SHORT_OF_SOFT_LR_1216,2.12388|1.85255,"[1.71445,2.81059]|[1.492,2.51546]"
S_b3_1216,2,silu,silu,3.0,12.16,0,CAPACITY_UNDEFINED,"{""S_b1_1216"": ""CAPACITY_UNDEFINED"", ""G_b1_1216"": ""present""}",G_b1_1216,MONOTONE_TOWARD_RELU,MONOTONE_TOWARD_RELU,OK,COMPLETE,0,6,0.2623780766069451,0.8784477418801728,"[0.15629543445599806, 0.5562877100610981, 0.046769400435165635, 0.07369243185033633, 0.20905407716728525, 0.00183247905735687, 0.010275936169659121, 0.026447974423628322, 0.1469223551123407, 0.09245847300595282]",-1.0833151974667001,10,0.6915028921812392,1.0,"[0.9999850624402861, 1.0000030923119148, 0.9998815997904685, 1.0000001071672553, 0.9999923003992001, 0.9867047587889953, 0.999974932865844, 0.9999835213538454, 0.9983270752435583, 0.9922513817879448]",-9.021649275247125e-06,1.0,4.3151239303711435,1.4942585667219626,S_b3_1216_minus_R_1216,,0.274659,"[0.0940105,0.40087]",S_b3_1216_minus_E_1216|S_b3_1216_minus_LR_1216,SHORT_OF_SOFT_E_1216|SHORT_OF_SOFT_LR_1216,2.7256|2.65235,"[2.38878,3.57464]|[2.18392,3.13289]"
G_b0p3_1216,2,gelu,gelu,0.3,12.16,0,CAPACITY_UNDEFINED,"{""S_b1_1216"": ""CAPACITY_UNDEFINED"", ""G_b1_1216"": ""present""}",G_b1_1216,MONOTONE_TOWARD_RELU,MONOTONE_TOWARD_RELU,CAPACITY_UNDEFINED,COMPLETE,0,6,0.2623780766069451,0.8784477418801728,"[0.03981415339635104, 0.021188998983512806, 0.12301337707868051, 0.05936060111662485, 0.06871155052363075, 0.042310515581808386, 0.05289973605178554, 0.04456349799923699, 0.150266044893962, 0.052596306530708604]",-1.277795623570047,6,0.2623780766069451,0.8784477418801728,"[0.07554338819619263, 0.023997487611882036, 0.05283952049406697, 0.08602071929130173, 0.0695831792102518, 0.04939392454164917, 0.03546881231890441, 0.1601076327048959, 0.08391320223884494, 0.023531331157174623]",-1.2172684323299654,0.9935,11.317994340891953,0.06771948933040096,G_b0p3_1216_minus_R_1216,,-1.04087,"[-1.22049,-0.759919]",G_b0p3_1216_minus_E_1216|G_b0p3_1216_minus_LR_1216,SHORT_OF_SOFT_E_1216|SHORT_OF_SOFT_LR_1216,1.61266|1.34348,"[1.12965,2.29765]|[0.993297,1.98914]"
