endpoint,contrast,high,low,status,cross_run,n_paired,label,soft_end,ci_below_zero,equivalence_margin,point,percentile_ci_lo,percentile_ci_hi,studentized_ci_lo,studentized_ci_hi,ci_degenerate,sign_n_positive,sign_n_negative,sign_p_two_sided,seed_values
P3prime,P3prime:S_b1_1216_minus_R_1216,S_b1_1216,R_1216,OK,1,10,,,,,-0.5572473526485318,-0.68018030897248,-0.26847570875022136,-0.7283702542016219,27.944618292030665,1,0,10,0.001953125,"[-0.4177526821443586, -0.6342484545233339, -0.789308333365722, -0.63457141583651, -0.26847570875022136, -0.6168941377521142, -0.7430326222735656, -0.2442487048391426, -0.23480327677278434, -0.4976005675449493]"
P3prime,P3prime:G_b1_1216_minus_R_1216,G_b1_1216,R_1216,OK,1,10,,,,,0.2732743228034412,0.09021592266524855,0.4021293321169275,-4056.2097467520994,0.9048520430145895,1,9,1,0.021484375,"[0.3001232880439044, 0.24642535756297804, 0.016007587778093604, -0.02186903478121587, 0.39725314561388125, 0.15475872868735413, 0.4279398264996738, 0.1644242575524035, 0.39725150444784896, 0.40700715978600593]"
P3prime,P3prime:LR_a0p01_1216_minus_R_1216,LR_a0p01_1216,R_1216,OK,1,10,,,,,-0.17903126340754144,-0.2632632242548291,-0.04330959602786977,-0.22921727364449968,0.03581378863121826,1,2,8,0.109375,"[-0.27863581767786155, -0.2793079797786674, -0.19254524742298398, -0.25713475196840235, 0.002288537147284886, -0.2478906308317967, 0.09073242083207489, -0.10089642833591081, -0.04330959602786977, -0.16551727939209893]"
P3prime,P3prime:LR_a0p001_1216_minus_R_1216,LR_a0p001_1216,R_1216,OK,1,10,,,,,0.11841833028805769,-0.06171704510972047,0.24358312051018427,0.1030527052660427,0.1421742450964201,1,7,3,0.34375,"[0.24358312051018427, -0.18592348182084337, -0.06171704510972047, -0.0732744684491038, 0.35731050120520536, 0.15334769549771562, 0.10975765369618462, 0.12707900687993076, 0.33132392602058147, 0.0345357786257493]"
P3prime,P3prime:LR_a0p0001_1216_minus_R_1216,LR_a0p0001_1216,R_1216,OK,1,10,,,,,0.02661724307843967,-0.1842932119871634,0.21612280524807506,-0.20941495050122527,0.13704577342841157,1,5,5,1.0,"[0.30218414362274876, -0.1842932119871634, -0.21130731573239744, -0.307267903556017, 0.13006146687340137, 0.05996413298370054, -0.006729646826821201, 0.16409988090431837, 0.36475914062387843, -0.08645718810414282]"
P3prime,P3prime:E_a0p1_1216_minus_R_1216,E_a0p1_1216,R_1216,OK,1,10,,,,,-1.0177328908403847,-1.114800484552037,-0.8997829020796723,-1.1504356437616639,-0.9444673286125411,1,0,10,0.001953125,"[-0.9942945333540676, -1.1884297207773722, -1.0643406976831213, -0.8417337536115603, -0.9578320505477842, -1.041171248326702, -0.9321333350070121, -0.7629107205251412, -1.2643808899914082, -1.108188649584098]"
P3prime,P3prime:E_a0p01_1216_minus_R_1216,E_a0p01_1216,R_1216,OK,1,10,,,,,-0.2902989552737214,-0.3306473470679304,-0.19913010026115263,-0.34269178140731094,-0.22943782991048228,1,1,9,0.021484375,"[-0.26990395870927136, -0.49029296431726876, -0.3159095950591482, -0.34538509907671266, 0.04514989320761781, -0.329182319385317, -0.19913010026115263, -0.2777738693693561, -0.15119348787725906, -0.3028240411780867]"
P3prime,P3prime:S_b0p3_1216_minus_R_1216,S_b0p3_1216,R_1216,OK,1,10,,,,,-0.376406875615239,-0.5494489003954703,-0.28440314063599414,-1.9927184037397685,-0.22241856301992818,1,0,10,0.001953125,"[-0.3327609592315853, -0.6788450087920479, -0.7680805270908402, -0.5329568297530912, -0.277074672309407, -0.4545810618638105, -0.42005279199889267, -0.28440314063599414, -0.27471696239591126, -0.2892413216835543]"
P3prime,P3prime:S_b3_1216_minus_R_1216,S_b3_1216,R_1216,OK,1,10,,,,,0.2746594002024915,0.09401047699557152,0.40086975513078804,-2.4827286969305975,0.9153326078149193,1,10,0,0.001953125,"[0.3028877663307238, 0.2464310340742593, 0.015956666709815194, 5.013907419279983e-05, 0.39724973261030894, 0.16260680731141722, 0.4337586770898636, 0.17206428728132786, 0.3997856961507906, 0.4044897776512671]"
P3prime,P3prime:G_b0p3_1216_minus_R_1216,G_b0p3_1216,R_1216,OK,1,10,,,,,-1.0408653138612778,-1.2204854389965152,-0.7599186664060481,-1.2505908748881105,-0.9588452345071884,1,0,10,0.001953125,"[-0.8189092868527135, -1.3734045327448337, -1.261033041845728, -1.0653468377346833, -0.7602426559850664, -1.1379068815216704, -1.0163837899878723, -0.6235165198292416, -0.6756568587955848, -1.2204854389965152]"
P3prime,P3prime:G_b3_1216_minus_R_1216,G_b3_1216,R_1216,OK,1,10,,,,,0.2735504470024216,0.09372664617105325,0.4009114069575821,-1.9855315329077055,0.7069111183365461,1,10,0,0.001953125,"[0.3028951852555534, 0.24420570874928982, 0.016009068520574692, 4.884232288017021e-05, 0.39725287393796976, 0.15661173753610402, 0.43376948642141183, 0.17144422382153182, 0.4005088767277902, 0.4045699399771945]"
