arm,seed,is_control,source,k_star,censored
S_b1_1216,0,0,this_run,10,0
S_b1_1216,1,0,this_run,10,0
S_b1_1216,2,0,this_run,10,0
S_b1_1216,3,0,this_run,10,0
S_b1_1216,4,0,this_run,10,0
S_b1_1216,5,0,this_run,10,0
S_b1_1216,6,0,this_run,10,0
S_b1_1216,7,0,this_run,25,0
S_b1_1216,8,0,this_run,10,0
S_b1_1216,9,0,this_run,10,0
G_b1_1216,0,0,this_run,10,0
G_b1_1216,1,0,this_run,33,0
G_b1_1216,2,0,this_run,103,0
G_b1_1216,3,0,this_run,112,0
G_b1_1216,4,0,this_run,81,0
G_b1_1216,5,0,this_run,10,0
G_b1_1216,6,0,this_run,147,0
G_b1_1216,7,0,this_run,110,0
G_b1_1216,8,0,this_run,110,0
G_b1_1216,9,0,this_run,10,0
LR_a0p01_1216,0,0,this_run,31,0
LR_a0p01_1216,1,0,this_run,25,0
LR_a0p01_1216,2,0,this_run,35,0
LR_a0p01_1216,3,0,this_run,19,0
LR_a0p01_1216,4,0,this_run,29,0
LR_a0p01_1216,5,0,this_run,47,0
LR_a0p01_1216,6,0,this_run,51,0
LR_a0p01_1216,7,0,this_run,29,0
LR_a0p01_1216,8,0,this_run,26,0
LR_a0p01_1216,9,0,this_run,36,0
LR_a0p001_1216,0,0,this_run,30,0
LR_a0p001_1216,1,0,this_run,22,0
LR_a0p001_1216,2,0,this_run,36,0
LR_a0p001_1216,3,0,this_run,19,0
LR_a0p001_1216,4,0,this_run,30,0
LR_a0p001_1216,5,0,this_run,54,0
LR_a0p001_1216,6,0,this_run,34,0
LR_a0p001_1216,7,0,this_run,27,0
LR_a0p001_1216,8,0,this_run,31,0
LR_a0p001_1216,9,0,this_run,18,0
LR_a0p0001_1216,0,0,this_run,30,0
LR_a0p0001_1216,1,0,this_run,25,0
LR_a0p0001_1216,2,0,this_run,33,0
LR_a0p0001_1216,3,0,this_run,19,0
LR_a0p0001_1216,4,0,this_run,21,0
LR_a0p0001_1216,5,0,this_run,40,0
LR_a0p0001_1216,6,0,this_run,39,0
LR_a0p0001_1216,7,0,this_run,25,0
LR_a0p0001_1216,8,0,this_run,26,0
LR_a0p0001_1216,9,0,this_run,39,0
E_a0p1_1216,0,0,this_run,90,0
E_a0p1_1216,1,0,this_run,28,0
E_a0p1_1216,2,0,this_run,126,0
E_a0p1_1216,3,0,this_run,54,0
E_a0p1_1216,4,0,this_run,160,0
E_a0p1_1216,5,0,this_run,145,0
E_a0p1_1216,6,0,this_run,143,0
E_a0p1_1216,7,0,this_run,64,0
E_a0p1_1216,8,0,this_run,110,0
E_a0p1_1216,9,0,this_run,180,0
E_a0p01_1216,0,0,this_run,36,0
E_a0p01_1216,1,0,this_run,25,0
E_a0p01_1216,2,0,this_run,35,0
E_a0p01_1216,3,0,this_run,19,0
E_a0p01_1216,4,0,this_run,34,0
