arm,k,at_risk,events,censored,survival
S_b1_1216,10,10,9,0,0.09999999999999998
S_b1_1216,25,1,1,0,0.0
G_b1_1216,10,10,3,0,0.7
G_b1_1216,33,7,1,0,0.6
G_b1_1216,81,6,1,0,0.5
G_b1_1216,103,5,1,0,0.4
G_b1_1216,110,4,2,0,0.2
G_b1_1216,112,2,1,0,0.1
G_b1_1216,147,1,1,0,0.0
LR_a0p01_1216,19,10,1,0,0.9
LR_a0p01_1216,25,9,1,0,0.7999999999999999
LR_a0p01_1216,26,8,1,0,0.7
LR_a0p01_1216,29,7,2,0,0.5
LR_a0p01_1216,31,5,1,0,0.4
LR_a0p01_1216,35,4,1,0,0.30000000000000004
LR_a0p01_1216,36,3,1,0,0.20000000000000004
LR_a0p01_1216,47,2,1,0,0.10000000000000002
LR_a0p01_1216,51,1,1,0,0.0
LR_a0p001_1216,18,10,1,0,0.9
LR_a0p001_1216,19,9,1,0,0.7999999999999999
LR_a0p001_1216,22,8,1,0,0.7
LR_a0p001_1216,27,7,1,0,0.6
LR_a0p001_1216,30,6,2,0,0.4
LR_a0p001_1216,31,4,1,0,0.30000000000000004
LR_a0p001_1216,34,3,1,0,0.20000000000000004
LR_a0p001_1216,36,2,1,0,0.10000000000000002
LR_a0p001_1216,54,1,1,0,0.0
LR_a0p0001_1216,19,10,1,0,0.9
LR_a0p0001_1216,21,9,1,0,0.7999999999999999
LR_a0p0001_1216,25,8,2,0,0.6
LR_a0p0001_1216,26,6,1,0,0.5
LR_a0p0001_1216,30,5,1,0,0.4
LR_a0p0001_1216,33,4,1,0,0.30000000000000004
LR_a0p0001_1216,39,3,2,0,0.10000000000000002
LR_a0p0001_1216,40,1,1,0,0.0
E_a0p1_1216,28,10,1,0,0.9
E_a0p1_1216,54,9,1,0,0.7999999999999999
E_a0p1_1216,64,8,1,0,0.7
E_a0p1_1216,90,7,1,0,0.6
E_a0p1_1216,110,6,1,0,0.5
E_a0p1_1216,126,5,1,0,0.4
E_a0p1_1216,143,4,1,0,0.30000000000000004
E_a0p1_1216,145,3,1,0,0.20000000000000004
E_a0p1_1216,160,2,1,0,0.10000000000000002
E_a0p1_1216,180,1,1,0,0.0
E_a0p01_1216,19,10,1,0,0.9
E_a0p01_1216,25,9,2,0,0.7000000000000001
E_a0p01_1216,34,7,1,0,0.6000000000000001
E_a0p01_1216,35,6,1,0,0.5000000000000001
E_a0p01_1216,36,5,1,0,0.40000000000000013
E_a0p01_1216,40,4,1,0,0.3000000000000001
E_a0p01_1216,43,3,1,0,0.2000000000000001
E_a0p01_1216,45,2,1,0,0.10000000000000005
E_a0p01_1216,58,1,1,0,0.0
S_b0p3_1216,10,10,10,0,0.0
S_b3_1216,33,10,1,0,0.9
S_b3_1216,69,9,1,0,0.7999999999999999
S_b3_1216,77,8,1,0,0.7
S_b3_1216,84,7,1,0,0.6
S_b3_1216,91,6,1,0,0.5
S_b3_1216,93,5,1,0,0.4
S_b3_1216,104,4,1,0,0.30000000000000004
S_b3_1216,111,3,1,0,0.20000000000000004
S_b3_1216,131,2,1,0,0.10000000000000002
S_b3_1216,169,1,1,0,0.0
G_b0p3_1216,10,10,10,0,0.0
G_b3_1216,29,10,1,0,0.9
G_b3_1216,45,9,1,0,0.7999999999999999
G_b3_1216,48,8,2,0,0.6
G_b3_1216,49,6,1,0,0.5
G_b3_1216,63,5,1,0,0.4
G_b3_1216,70,4,1,0,0.30000000000000004
G_b3_1216,72,3,1,0,0.20000000000000004
G_b3_1216,94,2,1,0,0.10000000000000002
G_b3_1216,139,1,1,0,0.0
LR_a0p00001_1216,19,10,1,0,0.9
LR_a0p00001_1216,23,9,1,0,0.7999999999999999
LR_a0p00001_1216,24,8,1,0,0.7
LR_a0p00001_1216,25,7,1,0,0.6
LR_a0p00001_1216,27,6,1,0,0.5
LR_a0p00001_1216,29,5,1,0,0.4
LR_a0p00001_1216,33,4,2,0,0.2
LR_a0p00001_1216,41,2,1,0,0.1
LR_a0p00001_1216,47,1,1,0,0.0
E_a0p001_1216,15,10,1,0,0.9
E_a0p001_1216,19,9,1,0,0.7999999999999999
E_a0p001_1216,25,8,1,0,0.7
E_a0p001_1216,26,7,1,0,0.6
E_a0p001_1216,27,6,1,0,0.5
E_a0p001_1216,30,5,1,0,0.4
E_a0p001_1216,32,4,1,0,0.30000000000000004
E_a0p001_1216,35,3,1,0,0.20000000000000004
E_a0p001_1216,40,2,1,0,0.10000000000000002
E_a0p001_1216,48,1,1,0,0.0
S_b10_1216,25,10,1,0,0.9
S_b10_1216,32,9,1,0,0.7999999999999999
S_b10_1216,36,8,2,0,0.6
S_b10_1216,45,6,1,0,0.5
S_b10_1216,46,5,1,0,0.4
S_b10_1216,47,4,2,0,0.2
S_b10_1216,58,2,1,0,0.1
S_b10_1216,72,1,1,0,0.0
R_1216,17,10,1,0,0.9
R_1216,20,9,1,0,0.7999999999999999
R_1216,25,8,1,0,0.7
R_1216,26,7,2,0,0.5
R_1216,30,5,3,0,0.2
R_1216,37,2,1,0,0.1
R_1216,49,1,1,0,0.0
LR_1216,47,10,1,0,0.9
LR_1216,274,9,1,0,0.7999999999999999
LR_1216,465,8,1,0,0.7
LR_1216,500,7,0,7,0.7
E_1216,10,10,10,0,0.0
