arm,seed,is_control,events_within_task,events_across_boundary,units_within_task,units_across_boundary,opportunities_within_task,opportunities_across_boundary,n_units,n_records,valley_escapes_within_task,valley_escapes_across_boundary,valley_units_escaped_within_task,valley_opportunities_within_task,valley_opportunities_across_boundary,rate_within_task,rate_across_boundary,valley_rate_within_task,valley_rate_across_boundary
S_b1_1216,0,0,991,661,100,97,373992,93076,100,5001,1045,1061,99,352193,87544,0.0026497893003058887,0.007101723322875929,0.002967123139869333,0.012119619848304852
S_b1_1216,1,0,891,611,99,99,379000,94438,100,5001,1068,964,97,360530,89548,0.002350923482849604,0.00646985323704441,0.0029623054946883755,0.010765176218341001
S_b1_1216,2,0,996,684,100,100,369907,92030,100,5001,980,1003,100,345218,85810,0.002692568672666373,0.007432359013365207,0.002838785926573933,0.01168861438060832
S_b1_1216,3,0,935,593,100,99,379236,94397,100,5001,992,1002,100,360728,89634,0.002465483234714004,0.006281979300189625,0.0027499944556563394,0.011178793761295937
S_b1_1216,4,0,916,561,100,97,379370,94474,100,5001,1093,997,100,360291,89554,0.002414529351292933,0.005938141710946927,0.0030336589034974507,0.011132947718694866
S_b1_1216,5,0,1070,835,100,99,363628,90503,100,5001,1121,1179,100,334130,83050,0.0029425676790566183,0.009226213495685226,0.003354981593990363,0.01419626730885009
S_b1_1216,6,0,1048,816,100,100,370463,92176,100,5001,1198,1259,100,343410,85303,0.002828892493987254,0.008852629751779206,0.003488541393669375,0.014759152667549793
S_b1_1216,7,0,1004,635,100,99,372867,92752,100,5001,1056,1054,100,349193,86755,0.0026926491215366337,0.006846213558737278,0.003024115603691941,0.012149155668261195
S_b1_1216,8,0,1045,676,100,99,374060,93057,100,5001,1070,1122,100,349613,86860,0.0027936694647917445,0.0072643648516500636,0.0030605269254861804,0.012917338245452452
S_b1_1216,9,0,1038,682,99,100,374492,93213,100,5001,1095,1194,99,351485,87410,0.0027717548038409365,0.0073165760140752895,0.0031153534290225757,0.013659764329024139
G_b1_1216,0,0,573,708,100,100,380464,94876,100,5001,923,897,100,365005,90905,0.0015060557634887927,0.0074623719381086894,0.0025287324831166696,0.009867444034981574
G_b1_1216,1,0,510,477,98,98,387441,96657,100,5001,763,668,100,376738,93850,0.001316329454033001,0.004934976256246314,0.0020252801681805393,0.007117741076185402
G_b1_1216,2,0,685,720,99,99,376565,93909,100,5001,914,889,100,360609,89723,0.0018190750600825887,0.007666996773472191,0.0025346011885449336,0.009908273240975
G_b1_1216,3,0,603,678,100,100,381847,95235,100,5001,859,925,99,367717,91571,0.001579166524812294,0.007119231375019688,0.0023360355925888658,0.010101451332845552
