seed,width,t_int,srank_target,svd_eps,svd_eps_clipped,svd_dF,shf_k,shf_theta,shf_dF,shf_n_draw,shf_abort,s2_sv_preserved,s2_dF_match,s2_normF_shuffle,s2_normF_svdrec,s2_pass,pre_stable_rank_W_alive,post_svdrec_stable_rank_W_alive,pre_dead_frac,post_svdrec_dead_frac,pre_n_gate_open,post_svdrec_n_gate_open,post_shuffle_stable_rank_W_alive,post_shuffle_dead_frac,post_shuffle_n_gate_open
0,10,150000,3.28474,0.47787527798461915,False,4.935226029631857,8,1.4286551802627452,4.935228278407743,1,,4.530555108956645e-16,4.5565813440012407e-07,0.0,6.178641732516614e-16,True,2.1171154975891113,3.284761667251587,0.10000000149011612,0.10000000149011612,9.0,9.0,2.1005239486694336,0.10000000149011612,10.0
1,10,150000,3.55285,0.5330815216064453,False,4.893208299060841,9,1.316805285699967,4.893207413365022,1,,1.0972777061330801e-15,1.810051331693129e-07,4.933584172082406e-16,6.578112229443208e-16,True,2.1687793731689453,3.386854887008667,0.10000000149011612,0.20000000298023224,9.0,8.0,2.155534505844116,0.10000000149011612,9.0
2,10,150000,4.48014,0.6760333439865114,False,4.351426313701024,9,1.4698479573186822,4.351424856699331,1,,7.768801924212994e-16,3.348331302150619e-07,5.714137691655156e-16,3.809425127770104e-16,True,2.672605276107788,3.9631388187408447,0.30000001192092896,0.4000000059604645,8.0,7.0,2.240527629852295,0.30000001192092896,7.0
3,10,150000,3.41733,0.5503239360046386,False,6.497302945002387,8,1.2859904729050413,6.497301906100808,1,,1.0053129119304626e-15,1.5989735860877475e-07,1.4054217297528637e-16,7.027108648764318e-16,True,1.9949240684509277,3.2791030406951904,0.20000000298023224,0.30000001192092896,8.0,7.0,2.0593976974487305,0.20000000298023224,9.0
4,10,150000,4.20347,0.7854845284805299,False,6.759347934610588,9,1.6646500351271398,6.7593452167127195,1,,9.019102693014402e-16,4.020946835161382e-07,4.892769401297514e-16,6.523692535063352e-16,True,1.6353968381881714,3.6111786365509033,0.4000000059604645,0.5,7.0,5.0,1.7758994102478027,0.20000000298023224,8.0
0,20,150000,5.47947,0.5524258320960997,False,8.681631303127675,14,2.568769173535447,8.681633176220757,1,,6.545702979595097e-16,2.1575358548723986e-07,6.35133833505428e-16,5.081070668043424e-16,True,2.779217004776001,5.220250606536865,0.3499999940395355,0.44999998807907104,14.0,12.0,3.184774398803711,0.30000001192092896,16.0
1,20,150000,5.47238,0.6990512042694091,False,9.187496329182807,14,2.5790726108978275,9.1874971870218,1,,9.61319162978685e-16,9.337026780675731e-08,5.317333770092658e-16,6.646667212615823e-16,True,2.4846882820129395,5.78861141204834,0.550000011920929,0.550000011920929,9.0,10.0,3.034825325012207,0.20000000298023224,17.0
2,20,150000,4.69754,0.512661467563629,False,7.886645387254218,14,2.4945051788391224,7.886646801044028,1,,5.463604276856276e-16,1.7926377326928017e-07,2.7968992980572464e-16,1.3984496490286232e-16,True,2.1559977531433105,4.697539806365967,0.3499999940395355,0.3499999940395355,13.0,14.0,2.35555362701416,0.20000000298023224,18.0
3,20,150000,5.59142,0.6449512217483522,False,9.21903575139205,14,2.7300828328739986,9.21903755782993,1,,3.358960891998627e-16,1.9594650980811172e-07,2.5164864609335067e-16,5.032972921867013e-16,True,2.3710649013519287,6.442461013793945,0.44999998807907104,0.3499999940395355,11.0,13.0,2.841951847076416,0.20000000298023224,16.0
4,20,150000,6.00119,0.593426157306671,False,9.243722013857681,14,2.5476080284088134,9.243717918118543,2,,1.1585009294953278e-15,4.430833307109102e-07,5.191241847855148e-16,5.191241847855148e-16,True,2.0309488773345947,5.267860412597656,0.25,0.550000011920929,15.0,10.0,2.185197353363037,0.15000000596046448,17.0
