seed,width,t_int,arm,srank_target,svd_eps,svd_eps_clipped,svd_dF,svd_abort,pre_stable_rank_W_alive,post_svdrec_alive_stable_rank_W_alive,pre_dead_frac,post_svdrec_alive_dead_frac,pre_n_gate_open,post_svdrec_alive_n_gate_open
0,10,150000,svdrec_alive,3.28474,0.4780660126571656,False,4.656301544577856,,2.1171154975891113,3.2847466468811035,0.10000000149011612,0.10000000149011612,9.0,9.0
1,10,150000,svdrec_alive,3.55285,0.5333065885200499,False,4.52997772020439,,2.1687793731689453,3.5528564453125,0.10000000149011612,0.10000000149011612,9.0,9.0
2,10,150000,svdrec_alive,4.48014,0.720016759475708,False,3.2994806673848864,,2.672605276107788,3.918987989425659,0.30000001192092896,0.4000000059604645,8.0,7.0
3,10,150000,svdrec_alive,3.41733,0.5566563271331787,False,5.478207710579709,,1.9949240684509277,3.1837751865386963,0.20000000298023224,0.30000001192092896,8.0,8.0
4,10,150000,svdrec_alive,4.20347,0.8004381268081664,False,5.474712011843357,,1.6353968381881714,3.014012098312378,0.4000000059604645,0.6000000238418579,7.0,6.0
0,20,150000,svdrec_alive,5.47947,0.5829319356231689,False,6.65132501254299,,2.779217004776001,4.768439769744873,0.3499999940395355,0.44999998807907104,14.0,12.0
1,20,150000,svdrec_alive,5.47238,0.7476961751556396,False,5.6138845989350346,,2.4846882820129395,4.524595260620117,0.550000011920929,0.6499999761581421,9.0,8.0
2,20,150000,svdrec_alive,4.69754,0.5333332913742064,False,6.197935370553321,,2.1559977531433105,4.569334506988525,0.3499999940395355,0.44999998807907104,13.0,12.0
3,20,150000,svdrec_alive,5.59142,0.6648143305473329,False,6.567230910344773,,2.3710649013519287,4.733792304992676,0.44999998807907104,0.550000011920929,11.0,9.0
4,20,150000,svdrec_alive,6.00119,0.5954174272880555,False,8.285616264278826,,2.0309488773345947,5.342944145202637,0.25,0.550000011920929,15.0,11.0
