exp,width,period,enc,c,kappa,lr,batch,seed,method,method_cfg,run_id,arm
A,10,10000,std,,1,0.01,full,0,none,{'name': 'none'},A_w10_T10000_std_lr0.01_bfull_s0_none,none
A,10,10000,std,,1,0.01,full,0,none,{'name': 'none'},A_w10_T10000_std_lr0.01_bfull_s0_svdrec,svdrec
A,10,10000,std,,1,0.01,full,0,none,{'name': 'none'},A_w10_T10000_std_lr0.01_bfull_s0_shuffle,shuffle
A,10,10000,std,,1,0.01,full,1,none,{'name': 'none'},A_w10_T10000_std_lr0.01_bfull_s1_none,none
A,10,10000,std,,1,0.01,full,1,none,{'name': 'none'},A_w10_T10000_std_lr0.01_bfull_s1_svdrec,svdrec
A,10,10000,std,,1,0.01,full,1,none,{'name': 'none'},A_w10_T10000_std_lr0.01_bfull_s1_shuffle,shuffle
A,10,10000,std,,1,0.01,full,2,none,{'name': 'none'},A_w10_T10000_std_lr0.01_bfull_s2_none,none
A,10,10000,std,,1,0.01,full,2,none,{'name': 'none'},A_w10_T10000_std_lr0.01_bfull_s2_svdrec,svdrec
A,10,10000,std,,1,0.01,full,2,none,{'name': 'none'},A_w10_T10000_std_lr0.01_bfull_s2_shuffle,shuffle
A,10,10000,std,,1,0.01,full,3,none,{'name': 'none'},A_w10_T10000_std_lr0.01_bfull_s3_none,none
A,10,10000,std,,1,0.01,full,3,none,{'name': 'none'},A_w10_T10000_std_lr0.01_bfull_s3_svdrec,svdrec
A,10,10000,std,,1,0.01,full,3,none,{'name': 'none'},A_w10_T10000_std_lr0.01_bfull_s3_shuffle,shuffle
A,10,10000,std,,1,0.01,full,4,none,{'name': 'none'},A_w10_T10000_std_lr0.01_bfull_s4_none,none
A,10,10000,std,,1,0.01,full,4,none,{'name': 'none'},A_w10_T10000_std_lr0.01_bfull_s4_svdrec,svdrec
A,10,10000,std,,1,0.01,full,4,none,{'name': 'none'},A_w10_T10000_std_lr0.01_bfull_s4_shuffle,shuffle
A,20,10000,std,,1,0.01,full,0,none,{'name': 'none'},A_w20_T10000_std_lr0.01_bfull_s0_none,none
A,20,10000,std,,1,0.01,full,0,none,{'name': 'none'},A_w20_T10000_std_lr0.01_bfull_s0_svdrec,svdrec
A,20,10000,std,,1,0.01,full,0,none,{'name': 'none'},A_w20_T10000_std_lr0.01_bfull_s0_shuffle,shuffle
A,20,10000,std,,1,0.01,full,1,none,{'name': 'none'},A_w20_T10000_std_lr0.01_bfull_s1_none,none
A,20,10000,std,,1,0.01,full,1,none,{'name': 'none'},A_w20_T10000_std_lr0.01_bfull_s1_svdrec,svdrec
A,20,10000,std,,1,0.01,full,1,none,{'name': 'none'},A_w20_T10000_std_lr0.01_bfull_s1_shuffle,shuffle
A,20,10000,std,,1,0.01,full,2,none,{'name': 'none'},A_w20_T10000_std_lr0.01_bfull_s2_none,none
A,20,10000,std,,1,0.01,full,2,none,{'name': 'none'},A_w20_T10000_std_lr0.01_bfull_s2_svdrec,svdrec
A,20,10000,std,,1,0.01,full,2,none,{'name': 'none'},A_w20_T10000_std_lr0.01_bfull_s2_shuffle,shuffle
A,20,10000,std,,1,0.01,full,3,none,{'name': 'none'},A_w20_T10000_std_lr0.01_bfull_s3_none,none
A,20,10000,std,,1,0.01,full,3,none,{'name': 'none'},A_w20_T10000_std_lr0.01_bfull_s3_svdrec,svdrec
A,20,10000,std,,1,0.01,full,3,none,{'name': 'none'},A_w20_T10000_std_lr0.01_bfull_s3_shuffle,shuffle
A,20,10000,std,,1,0.01,full,4,none,{'name': 'none'},A_w20_T10000_std_lr0.01_bfull_s4_none,none
A,20,10000,std,,1,0.01,full,4,none,{'name': 'none'},A_w20_T10000_std_lr0.01_bfull_s4_svdrec,svdrec
A,20,10000,std,,1,0.01,full,4,none,{'name': 'none'},A_w20_T10000_std_lr0.01_bfull_s4_shuffle,shuffle
A,10,10000,std,,1,0.01,full,0,none,{'name': 'none'},A_w10_T10000_std_lr0.01_bfull_s0_svdrec_alive,svdrec_alive
A,10,10000,std,,1,0.01,full,1,none,{'name': 'none'},A_w10_T10000_std_lr0.01_bfull_s1_svdrec_alive,svdrec_alive
A,10,10000,std,,1,0.01,full,2,none,{'name': 'none'},A_w10_T10000_std_lr0.01_bfull_s2_svdrec_alive,svdrec_alive
A,10,10000,std,,1,0.01,full,3,none,{'name': 'none'},A_w10_T10000_std_lr0.01_bfull_s3_svdrec_alive,svdrec_alive
A,10,10000,std,,1,0.01,full,4,none,{'name': 'none'},A_w10_T10000_std_lr0.01_bfull_s4_svdrec_alive,svdrec_alive
A,20,10000,std,,1,0.01,full,0,none,{'name': 'none'},A_w20_T10000_std_lr0.01_bfull_s0_svdrec_alive,svdrec_alive
A,20,10000,std,,1,0.01,full,1,none,{'name': 'none'},A_w20_T10000_std_lr0.01_bfull_s1_svdrec_alive,svdrec_alive
A,20,10000,std,,1,0.01,full,2,none,{'name': 'none'},A_w20_T10000_std_lr0.01_bfull_s2_svdrec_alive,svdrec_alive
A,20,10000,std,,1,0.01,full,3,none,{'name': 'none'},A_w20_T10000_std_lr0.01_bfull_s3_svdrec_alive,svdrec_alive
A,20,10000,std,,1,0.01,full,4,none,{'name': 'none'},A_w20_T10000_std_lr0.01_bfull_s4_svdrec_alive,svdrec_alive
