width,arm,seed,M,M_tail,dead_t_int,dead_end,d_dead,srank_end,eval_end
10,none,0,0.21296795400000001,0.1832308125,0.1,0.3,0.19999999999999998,2.38317,0.246426
10,none,1,0.19784722600000001,0.169839686,0.1,0.2,0.1,1.90969,0.11185
10,none,2,0.28471024449999993,0.271593955,0.3,0.5,0.2,1.61889,0.286528
10,none,3,0.19322430713,0.14144861635,0.2,0.2,0.0,2.32646,0.020772
10,none,4,0.38916433150000007,0.3579996225,0.4,0.6,0.19999999999999996,1.23337,0.517102
10,shuffle,0,0.33145560045,0.29809254075,0.1,0.6,0.5,1.40661,0.457069
10,shuffle,1,0.12829770170000002,0.10039338499999999,0.1,0.2,0.1,2.79567,0.0694911
10,shuffle,2,0.2169652975,0.19701348000000002,0.3,0.4,0.10000000000000003,1.72186,0.135464
10,shuffle,3,0.334311634,0.29035859,0.2,0.5,0.3,1.59703,0.300201
10,shuffle,4,0.3717910965,0.325716625,0.2,0.4,0.2,1.86037,0.130412
10,svdrec,0,0.57866469065,0.56081570625,0.1,0.9,0.8,1.0,0.6368
10,svdrec,1,0.32803516650000003,0.2963715075,0.2,0.3,0.09999999999999998,2.17548,0.242386
10,svdrec,2,0.24168734600000003,0.22477308000000001,0.4,0.6,0.19999999999999996,2.39315,0.287436
10,svdrec,3,0.417304619,0.37828823000000006,0.3,0.5,0.2,2.08966,0.249811
10,svdrec,4,0.5643021599999999,0.542135,0.5,0.6,0.09999999999999998,2.19442,0.609504
10,svdrec_alive,0,0.42506791699999996,0.4036401925,0.1,0.7,0.6,1.2469,0.502532
10,svdrec_alive,1,0.261983314851,0.23570322398249996,0.1,0.8,0.7000000000000001,1.78884,0.353555
10,svdrec_alive,2,0.2768066245,0.26131585749999997,0.4,0.6,0.19999999999999996,2.27036,0.14023
10,svdrec_alive,3,0.5716056485000001,0.5384435299999999,0.3,0.8,0.5,1.41072,0.477734
10,svdrec_alive,4,0.4374219255,0.36062932750000004,0.6,0.7,0.09999999999999998,1.4396,0.526759
20,none,0,0.05556846563752173,0.028636526275014902,0.35,0.2,-0.14999999999999997,2.86119,8.257e-07
20,none,1,0.10862039866379251,0.0704472195533625,0.55,0.35,-0.20000000000000007,1.66778,0.114568
20,none,2,0.021954409380553454,0.00039465018903182424,0.35,0.25,-0.09999999999999998,2.01051,3.05461e-10
20,none,3,0.2626257578542499,0.22323045147124998,0.45,0.5,0.04999999999999999,2.47873,0.0317405
20,none,4,0.021190535792419356,0.0038339938762025384,0.25,0.25,0.0,2.13128,6.15477e-10
20,shuffle,0,0.030517970019695584,0.005205090507290251,0.3,0.45,0.15000000000000002,2.41858,0.00850184
20,shuffle,1,0.25977784670000004,0.19511611875,0.2,0.45,0.25,2.00942,0.00340817
20,shuffle,2,0.022522558532360744,0.002068641222287125,0.2,0.1,-0.1,2.37217,7.41738e-10
20,shuffle,3,0.199764860617565,0.12640885844857502,0.2,0.6,0.39999999999999997,2.06187,0.0467179
20,shuffle,4,0.04219993107116764,0.01026092859220135,0.15,0.15,0.0,2.28922,1.45065e-07
20,svdrec,0,0.1652311503159721,0.12217295400166953,0.45,0.6,0.14999999999999997,2.86078,0.0191291
20,svdrec,1,0.17343924426927504,0.13826516659187502,0.55,0.55,0.0,2.53424,0.19972
20,svdrec,2,0.039179420835269804,0.010370433830422122,0.35,0.45,0.10000000000000003,2.37187,0.188289
20,svdrec,3,0.63055083025,0.58700158275,0.35,0.8,0.45000000000000007,1.66668,0.228628
20,svdrec,4,0.239421860376725,0.185100861713625,0.55,0.45,-0.10000000000000003,2.73324,0.0318569
20,svdrec_alive,0,0.06744484728662822,0.033095293384318554,0.45,0.45,0.0,2.91468,0.00806252
20,svdrec_alive,1,0.19279960193055004,0.13064512229775,0.65,0.4,-0.25,2.45798,0.0347348
20,svdrec_alive,2,0.04317215547417547,0.014704662688257725,0.45,0.35,-0.10000000000000003,2.66266,0.0327452
20,svdrec_alive,3,0.5221375795,0.46379704750000006,0.55,0.8,0.25,2.05189,0.189969
20,svdrec_alive,4,0.26328765155,0.21152505525,0.55,0.45,-0.10000000000000003,2.46031,0.00555057
