switch_step,run_id,post_err
300000,A_w10_T10000_std_lr0.01_bfull_s0_s1resume,5.59593
300000,A_w10_T10000_std_lr0.01_bfull_s1_s1resume,2.13899
300000,A_w10_T10000_std_lr0.01_bfull_s2_s1resume,1.07667
300000,A_w10_T10000_std_lr0.01_bfull_s3_s1resume,1.95618
300000,A_w10_T10000_std_lr0.01_bfull_s4_s1resume,2.74721
310000,A_w10_T10000_std_lr0.01_bfull_s0_s1resume,2.2622
310000,A_w10_T10000_std_lr0.01_bfull_s1_s1resume,1.27943
310000,A_w10_T10000_std_lr0.01_bfull_s2_s1resume,0.614549
310000,A_w10_T10000_std_lr0.01_bfull_s3_s1resume,3.75338
310000,A_w10_T10000_std_lr0.01_bfull_s4_s1resume,1.77819
320000,A_w10_T10000_std_lr0.01_bfull_s0_s1resume,1.3462
320000,A_w10_T10000_std_lr0.01_bfull_s1_s1resume,3.15487
320000,A_w10_T10000_std_lr0.01_bfull_s2_s1resume,0.702061
320000,A_w10_T10000_std_lr0.01_bfull_s3_s1resume,1.77426
320000,A_w10_T10000_std_lr0.01_bfull_s4_s1resume,2.97555
330000,A_w10_T10000_std_lr0.01_bfull_s0_s1resume,1.43202
330000,A_w10_T10000_std_lr0.01_bfull_s1_s1resume,3.4509
330000,A_w10_T10000_std_lr0.01_bfull_s2_s1resume,0.659928
330000,A_w10_T10000_std_lr0.01_bfull_s3_s1resume,2.13391
330000,A_w10_T10000_std_lr0.01_bfull_s4_s1resume,1.5239
340000,A_w10_T10000_std_lr0.01_bfull_s0_s1resume,1.11768
340000,A_w10_T10000_std_lr0.01_bfull_s1_s1resume,1.37851
340000,A_w10_T10000_std_lr0.01_bfull_s2_s1resume,0.910521
340000,A_w10_T10000_std_lr0.01_bfull_s3_s1resume,4.87496
340000,A_w10_T10000_std_lr0.01_bfull_s4_s1resume,1.52128
