arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,hit99,hit999,correct_at_hit_plus_500,hit_plus_500_observed,min_correct_after_hit,switch_step,pin_step,pf_disp_l1,pf_disp_l2,pf_disp_l3,pf_P_same,pf_mv_same,pf_mv_restored
LR,std,0,0,0.001,1,none,0.9822583333,1,1,0,0,-1.956481934,16.8210907,-8.773367882,0.4937501252,72.03502524,0,0,-7.564565659,13.2348814,-16.43795776,0.3617500961,76.07417549,3.653212309,0.9934191704,1.275191903,1600,1700,1200,1,883,2200,2200,248.4352129,11.24806446,1.705400474,0,0,1
LR,std,0,0,0.001,2,none,0.9775041667,1,1,0,0,-2.747128963,23.33697701,-8.725629807,0.4982501268,73.68105466,0,0,-23.48486328,20.53622818,-31.9637928,0.2027499825,79.57663981,5.196844101,1.274008632,1.383064508,1700,2100,1200,1,595,2600,2600,298.9518605,12.41215767,1.080933851,0,0,1
LR,std,0,0,0.001,3,none,0.9793604167,1,1,0,0,-3.594447136,27.40669632,-11.9832201,0.4967500865,75.1784714,0,0,-30.69699287,26.7237072,-49.38942719,0.1862499565,78.04010995,6.324253082,1.457739234,1.354084611,1700,2000,1200,1,855,2500,2500,326.8874027,15.16120157,0.848504771,0,0,1
LR,std,0,0,0.001,4,none,0.97866875,1,1,0,0,-4.950250149,29.98806572,-14.24375343,0.4892501533,75.27988075,0,0,-37.1379776,29.18308258,-51.74889374,0.1637499481,72.25123653,7.242981434,1.589596272,1.275659204,1700,1900,1200,1,893,2400,2400,354.2640702,16.6526246,0.9133082933,0,0,1
LR,std,0,0,0.001,5,none,0.9771791667,1,1,0,0,-6.030085087,32.38955307,-17.52284431,0.4720000923,75.98106615,0,0,-45.83665466,34.36658096,-70.88169098,0.1592499614,78.10742713,8.172203064,1.702473402,1.257296562,1800,2200,1156,1,678,2700,2700,368.7030172,15.72972034,0.9521561945,0,0,1
LR,std,0,0,0.001,6,none,0.9758083333,1,1,0,0,-6.251796246,35.00140381,-18.50779343,0.4712501168,76.19414764,0,0,-49.65038681,37.70135498,-73.65309143,0.1599999517,78.73270932,8.951525688,1.818944693,1.205531955,2200,2300,1200,1,992,2800,2800,416.6635793,18.69024226,0.8969613036,0,0,1
LR,std,0,0,0.001,7,none,0.97595625,1,1,0,0,-6.369570732,37.50322723,-17.79208374,0.4787501097,76.22710487,0,0,-57.42253494,41.97721481,-76.39662933,0.1457499415,75.27474328,9.726390839,1.902660728,1.177624583,2000,2400,1200,1,863,2900,2900,448.465535,19.06333104,0.8001181828,0,0,1
LR,std,0,0,0.001,8,none,0.9755416667,1,1,0,0,-7.854631424,41.541996,-23.57611084,0.4757501483,76.29147599,0,0,-63.42810059,45.91342545,-96.64574432,0.150249958,78.09187186,10.33625698,2.026852608,1.108599782,2200,2500,1200,1,698,3000,3000,465.4846032,20.23968319,0.7865061069,0,0,1
LR,std,0,0,0.001,9,none,0.9739520833,1,1,0,0,-8.301387787,41.15970993,-18.8194809,0.4712501168,77.18658968,0,0,-61.76658249,48.84165955,-89.21160889,0.1629999429,70.10849789,11.06209373,2.102097034,1.099623919,2000,2500,1059,1,911,3000,3000,479.823897,22.00070565,1.021869068,0,0,1
LR,std,0,0,0.001,10,none,0.97213125,1,1,0,0,-7.998763084,43.37774658,-18.29804993,0.4690001011,76.26115314,0,0,-72.28397369,52.59951782,-108.0000229,0.1487499475,77.63674124,11.7043047,2.209974051,1.089558959,2300,2600,1200,1,665,3100,3100,512.1318786,21.344689,0.7958642809,0,0,1
