arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,gate_zero_frac_l1,sink_ratio_l1,p_pos_l1,fold_mean_l1,onesided_frac_l1,skew_l1,bias_over_sd_l1,bias_share_l1,abs_zbar_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,gate_zero_frac_l2,sink_ratio_l2,p_pos_l2,fold_mean_l2,onesided_frac_l2,skew_l2,bias_over_sd_l2,bias_share_l2,abs_zbar_l2,r_a1,w_norm_l1,w_norm_l2,w_norm_l3,gamma_l1,beta_l1
LN,raw,0,0,0.001,1,none,0.9800041667,1,1,0,0,0.008628215641,3.764983177,-0.1310180426,0.4908333421,80.07568381,0.5082416534,0.002365547698,0.4908333421,0.4852416813,0,0.1037259027,0.01227419078,1.000010014,0.1485250443,0,0,0.1383516788,0.5042567253,-0.5219177604,0.5825000405,50.93937521,0.4224416614,0.2892239988,0.5825000405,0.3117083609,0.03999999911,0.2720811367,0.1060629785,0.08297563344,1.576624751,0.6156677008,4.129132748,0.9438948035,2.662163496,0.9865199924,-0.1921468079
LN,raw,0,0,0.001,2,none,0.9774666667,1,1,0,0,0.0197207015,5.809251308,-0.3280468583,0.4933333397,80.6550444,0.5063333511,0.00452812342,0.4933333397,0.4838833511,0,0.1122667566,0.01559808478,1.000008106,0.3280468583,0,0,0.5813878775,0.5336382985,-0.336240083,0.8650000095,56.82899746,0.174816668,1.071749687,0.8650000095,0.1516500115,0.09999999404,0.1291231513,0.1110824645,0.05602987856,1.468797922,0.5820388198,5.691633701,1.249019384,3.375977516,0.9737153649,-0.3024668694
LN,raw,0,0,0.001,3,none,0.9771645833,1,1,0,0,0.02027643286,7.249342442,-0.3339099884,0.4933333397,81.69297131,0.5038666725,0.002875395585,0.4933333397,0.4841499925,0,0.08484901488,0.01481611189,1.000003338,0.3701777756,0,0,1.055584073,0.5950049162,-0.1931686252,0.9700000286,60.64934265,0.07702500373,1.852025032,0.9700000286,0.07347499579,0.2800000012,0.09161994606,0.1276803166,0.05653982237,2.121011257,0.5555269122,7.00440073,1.552025557,4.374594212,0.9673195481,-0.3827027678
LN,raw,0,0,0.001,4,none,0.9768791667,1,1,0,0,0.02948384732,8.935982704,-0.3949786425,0.5,82.09934571,0.4996833503,0.003565634834,0.5,0.4851333499,0,0.03630101681,0.0151606584,0.9999992251,0.4580021799,0,0.02999999933,1.056483746,0.6126599908,-0.6697344184,0.9550000429,51.64396599,0.1231666654,1.629785657,0.9550000429,0.08678332716,0.2999999821,0.07425863296,0.1519554257,0.04864324257,2.72693038,0.5398808718,8.167295456,1.808945298,5.23235321,0.9625322223,-0.441829592
LN,raw,0,0,0.001,5,none,0.9788145833,1,1,0,0,0.04488571361,10.33715534,-0.4277318418,0.4950000048,81.21996039,0.5032666922,0.003694957122,0.4950000048,0.4851999879,0,0.08315124363,0.01513061486,1.000000477,0.4662939012,0,0,1.463690877,0.6306715608,0.07673989981,0.9841666818,59.40777282,0.03914999962,2.092144728,0.9841666818,0.03914999962,0.4099999964,-0.02506567724,0.1724874824,0.05483219773,2.983699083,0.5375991464,9.192171097,2.032936096,6.255475998,0.9531676769,-0.5000681877
LN,raw,0,0,0.001,6,none,0.9760645833,1,1,0,0,0.02891413495,11.18348503,-0.3718448281,0.5041666627,80.75689053,0.4973416626,0.003089499194,0.5041666627,0.4846583307,0,0.01456339564,0.01437664591,0.9999991059,0.5563293695,0,0,1.674589038,0.63544029,1.00515306,0.9966666698,63.56218039,0.009624999948,2.620671988,0.9966666698,0.009624999948,0.6999999881,0.01541365962,0.2057236284,0.06357119977,3.272177696,0.5264516473,10.07410336,2.33046937,7.084783554,0.9402769208,-0.5620806813
LN,raw,0,0,0.001,7,none,0.97485625,1,1,0,0,0.02990743145,11.87326908,-0.3393342793,0.5058333278,81.6556724,0.494566679,0.002658479381,0.5058333278,0.4854499698,0,-0.02854320221,0.01544851437,0.9999959469,0.6089044213,0,0,1.969795585,0.6611289978,1.383406043,0.9991666675,65.07077693,0.003066666657,3.014127731,0.9991666675,0.003066666657,0.9300000072,0.06330987066,0.2410645038,0.07158872485,3.463361979,0.5051113963,10.88079357,2.600408792,8.050904274,0.9239887595,-0.6230795383
LN,raw,0,0,0.001,8,none,0.9717895833,1,1,0,0,0.0468788296,12.74796391,-0.3426768184,0.5033333302,81.71347968,0.4950666726,0.003494806122,0.5033333302,0.4869666696,0,-0.01040315628,0.01474969182,0.9999964833,0.6671490669,0,0.009999999776,2.068630934,0.6505298018,1.441465735,1,64.2921198,0.001541666687,3.518985033,1,0.001541666687,0.969999969,0.1059146672,0.298591435,0.08414954692,3.511403084,0.4839250743,11.7070713,2.866071463,8.995417595,0.898642838,-0.700807929
LN,raw,0,0,0.001,9,none,0.9681166667,1,1,0,0,0.07179484516,13.69463348,-0.3327447176,0.5058333278,81.89369811,0.4939666688,0.004487445578,0.5058333278,0.4875499904,0,-0.04498357326,0.01455224212,0.999995172,0.8560007215,0,0.01999999955,2.031868935,0.5814806819,1.673082471,1,64.94313355,0.0004166666768,3.788277388,1,0.0004166666185,0.9899999499,0.2213591337,0.3790272176,0.09812410176,3.226362705,0.4528900683,12.48646355,3.069240332,9.885185242,0.8660698533,-0.7787621617
LN,raw,0,0,0.001,10,none,0.9638375,1,1,0,0,0.06495198607,15.29776287,-0.3986904025,0.5099999905,80.57875607,0.4909500182,0.003178825835,0.5099999905,0.4844166934,0,-0.09077041596,0.01361397747,0.9999941587,0.8500157595,0,0.01999999955,2.055734873,0.5463086963,1.650419593,1,60.05247556,0.0002583333408,3.848791122,1,0.0002583333116,1,0.3123217523,0.46951437,0.1137390435,3.220209599,0.4358032644,13.24231052,3.279165983,11.02557945,0.8404732943,-0.8442762494
LN,raw,0,0,0.001,11,none,0.9590666667,1,1,0,0.009999999776,0.0724209249,16.6364727,-0.5375989676,0.5091666579,78.82126489,0.493175,0.004243575968,0.5091666579,0.4829416573,0,-0.06861148775,0.0136162499,0.9999952316,0.891325295,0,0.01999999955,2.129096031,0.5577226281,1.853423715,1,56.51975684,4.166666622e-05,3.974373579,1,4.166666258e-05,1,0.4891978204,0.4927640855,0.1169592291,3.192641735,0.4307186306,14.09078884,3.69664669,11.70983982,0.8232969642,-0.8818067908
LN,raw,0,0,0.001,12,none,0.9531625,1,1,0,0,0.05870351195,17.90738678,-0.5274338126,0.5049999952,78.00074429,0.4955333471,0.002628088696,0.5049999952,0.4840666354,0,-0.03800881281,0.01399415545,0.9999965429,1.063143134,0,0.009999999776,2.328085899,0.5772124529,1.91253829,1,57.00541805,5.000000237e-05,4.061274529,1,4.999999874e-05,1,0.5733154416,0.5176659226,0.1178896874,3.177976608,0.4386143684,15.05953884,4.08769846,12.63026142,0.8166877627,-0.9127164483
LN,raw,0,0,0.001,13,none,0.9518520833,1,1,0,0.009999999776,0.05637041852,19.06858253,-0.5347700119,0.5066666603,75.48791719,0.4954083264,0.002345779911,0.5066666603,0.4845250249,0,-0.02427848615,0.01433508564,0.9999963641,1.223289609,0,0.009999999776,2.556539059,0.6683833599,2.256025553,1,59.69315033,4.166666622e-05,3.849290609,1,4.166666258e-05,1,0.5160160661,0.4784565568,0.1161617041,3.316064596,0.4470445216,15.87480736,4.584442616,14.09551334,0.8082847595,-0.9378011823
LN,raw,0,0,0.001,14,none,0.9359375,1,1,0,0.02999999933,0.04743545502,20.49308014,-0.5789377093,0.5016666651,74.02615151,0.4974666834,0.00255250372,0.5016666651,0.4847166836,0,0.04543848708,0.01431490947,0.9999976754,1.24643743,0,0.009999999776,3.22919488,0.751167357,2.948810339,1,67.72146841,2.500000119e-05,4.293697834,1,2.499999937e-05,1,0.3207846582,0.4689563513,0.1020327434,4.123056412,0.4616885185,16.81278038,5.115803242,15.41510391,0.8174276352,-0.9516100883
LN,raw,0,0,0.001,15,none,0.93710625,1,1,0,0.009999999776,0.06285044551,20.66563797,-0.6330936551,0.5033333302,74.14394198,0.4979999959,0.002566593699,0.5033333302,0.4828499854,0,0.0255235862,0.01511917263,0.9999973774,1.446816921,0,0.009999999776,3.476457596,0.9299702644,2.928370237,1,69.4395026,0,3.718595266,1,0,1,0.4350409508,0.416673243,0.1061284468,4.427501202,0.4592916667,17.71103096,5.656896114,17.00108337,0.8285037279,-0.9581748247
LN,raw,0,0,0.001,16,none,0.9354625,1,1,0,0.02999999933,0.08456543088,22.71709061,-0.7156918645,0.5033333302,73.20071716,0.4967916608,0.00354365306,0.5033333302,0.4842083752,0,0.007186396979,0.01530638803,0.9999958277,1.67026341,0,0.009999999776,3.345576763,0.8732241988,2.985620975,1,64.93163892,8.333333426e-06,3.813423872,1,8.333333426e-06,1,0.7181686759,0.4903717637,0.1239322722,4.175982475,0.4474524558,18.54357147,6.262319088,18.32488823,0.8183108568,-0.986202836
LN,raw,0,0,0.001,17,none,0.9283604167,1,1,0,0.04999999702,0.1185724959,23.89538002,-0.8152750731,0.5041666627,69.44148237,0.4949499965,0.003341140924,0.5041666627,0.4836166799,0,-0.02735113539,0.01621041819,0.9999954104,1.686704636,0,0.009999999776,3.850232363,1.105778337,3.616993904,1,58.24855884,0,3.461317062,1,0,1,0.6174572706,0.4257422686,0.1191982254,4.733222008,0.4786209166,19.35537529,6.914681435,19.29223824,0.8146984577,-1.011434078
LN,raw,0,0,0.001,18,none,0.91876875,1,1,0,0.04999999702,0.1927167773,25.29814529,-0.8015170693,0.5058333278,71.89666132,0.4945583344,0.005442167167,0.5058333278,0.4822416604,0,-0.02598014288,0.01633614115,0.9999969006,1.620222092,0,0.009999999776,3.379173994,1.075613976,3.056460142,1,68.1979678,8.333333426e-06,3.139128447,1,8.333333426e-06,1,0.7833025455,0.4681347013,0.1470622271,3.788107157,0.4364555776,20.12684822,7.513019562,20.10730934,0.8077047467,-1.035514832
