seed,env,act1,act2,task,floor_acc,online_acc,online_ce,train_acc,train_ce,a1_rms,wnorm_l1,wnorm_l2,wnorm_l3,cnorm_l1,lowgate_l1,nearzero_l1
0,RL,ELU1,ELU1,1,0.11666666666666667,0.7906354069709778,0.609719455242157,1.0,0.008020377717912197,0.7175004482269287,3.46951961517334,1.6134209632873535,2.4304871559143066,3.4625515937805176,0.04721667245030403,0.5848749876022339
0,RL,ELU1,LR,1,0.11666666666666667,0.8210208415985107,0.5413179397583008,1.0,0.008893917314708233,0.9173510670661926,3.5137953758239746,1.8051543235778809,2.7394509315490723,3.5043294429779053,0.030883336439728737,0.5850250720977783
0,RL,LR,ELU1,1,0.11666666666666667,0.87151038646698,0.38718318939208984,0.7758333683013916,0.7636539936065674,0.5096033811569214,2.747563362121582,1.588654637336731,2.619210958480835,2.7381300926208496,0.0,0.4428499937057495
0,RL,LR,LR,1,0.11666666666666667,0.8567395806312561,0.4328807294368744,1.0,0.003140996675938368,0.7560162544250488,3.022515296936035,1.6505634784698486,2.462571382522583,3.014975070953369,0.0,0.5459334254264832
0,PM,ELU1,ELU1,1,0.11916666666666667,0.9897603988647461,0.03957858309149742,1.0,4.956245538778603e-05,1.4718490839004517,1.5174505710601807,1.1304705142974854,1.4292587041854858,1.5055903196334839,0.003633333370089531,0.49937498569488525
0,PM,ELU1,LR,1,0.11916666666666667,0.9888333082199097,0.04271857813000679,1.0,5.850951129104942e-05,1.7515875101089478,1.6025069952011108,1.1287074089050293,1.4159196615219116,1.5768613815307617,0.046941667795181274,0.4097166955471039
0,PM,LR,ELU1,1,0.11916666666666667,0.9898332953453064,0.0389946848154068,1.0,4.464149606064893e-05,1.5300911664962769,1.5032992362976074,1.0565117597579956,1.438226342201233,1.4938478469848633,0.0,0.4768916964530945
0,PM,LR,LR,1,0.11916666666666667,0.9883020520210266,0.043335311114788055,1.0,5.462984336190857e-05,1.8035024404525757,1.608235478401184,1.075463891029358,1.3705133199691772,1.5896145105361938,0.0,0.3731499910354614
1,RL,ELU1,ELU1,1,0.12416666666666666,0.8000520467758179,0.5881906151771545,1.0,0.005554294213652611,0.719592809677124,3.343224048614502,1.612985610961914,2.467710256576538,3.3377199172973633,0.03724166750907898,0.6138333678245544
1,RL,ELU1,LR,1,0.12416666666666666,0.8216041326522827,0.5383676886558533,0.9925000071525574,0.04555970057845116,0.8612440228462219,3.4536426067352295,1.802993893623352,2.778339147567749,3.446091651916504,0.03228333592414856,0.5907000303268433
1,RL,LR,ELU1,1,0.12416666666666666,0.8738853931427002,0.3752346932888031,1.0,0.0013254666700959206,0.6797569990158081,2.58687424659729,1.556549310684204,2.684950590133667,2.58061146736145,0.0,0.6211416721343994
1,RL,LR,LR,1,0.12416666666666666,0.8613333106040955,0.4136800765991211,1.0,0.0016492643626406789,0.832065999507904,2.778154134750366,1.5997121334075928,2.449394941329956,2.771496295928955,0.0,0.5829333662986755
1,PM,ELU1,ELU1,1,0.11416666666666667,0.988739550113678,0.040181685239076614,1.0,5.7195822591893375e-05,1.5965160131454468,1.5484386682510376,1.1230955123901367,1.4369038343429565,1.5344477891921997,0.008141666650772095,0.46603333950042725
1,PM,ELU1,LR,1,0.11416666666666667,0.987541675567627,0.04364437982439995,1.0,6.571770063601434e-05,1.917382836341858,1.6404350996017456,1.1314927339553833,1.3858320713043213,1.6207554340362549,0.01308333408087492,0.40027499198913574
