section,arm,seed0,seed1,seed2,verdict,detail,value,boundary
Q1_LEVEL,EE,AT_FLOOR,AT_FLOOR,AT_FLOOR,AT_FLOOR,all 3 seeds AT_FLOOR,,
Q1_LEVEL,EL,ABOVE_FLOOR,ABOVE_FLOOR,ABOVE_FLOOR,ABOVE_FLOOR,all 3 seeds ABOVE_FLOOR,,
Q1_LEVEL,LE,AT_FLOOR,AT_FLOOR,AT_FLOOR,AT_FLOOR,all 3 seeds AT_FLOOR,,
Q2_GROWTH,EE,,,,HIGH,sd2_t2=1.6639989614486694; sd2_t8=12.107208251953125,1.3920296751553878,1.245638727718375
Q2_GROWTH,EL,,,,LOW,sd2_t2=2.4811851978302; sd2_t8=3.633228302001953,1.0656279047442556,1.245638727718375
Q2_GROWTH,LE,,,,HIGH,sd2_t2=0.7850134968757629; sd2_t8=6.036723613739014,1.4049278709951296,1.245638727718375
Q2_GROWTH,LL,,,,LOW,sd2_t2=1.1086634397506714; sd2_t8=2.126248359680176,1.1146427893634163,1.245638727718375
Q1,ALL,,,,FLOOR_IN_DEEP_LAYER,RL EE was AT_FLOOR; EL was ABOVE_FLOOR and LE was AT_FLOOR.,,
Q2,ALL,,,,WIDTH_SET_BY_L2,Mechanical HIGH/LOW classification of RL EL and LE.,,
