seed,env,act1,act2,arm,late_online_acc,floor_F,floor_s,floor_thr,floor_verdict
0,RL,ELU1,ELU1,EE,0.10226249918341637,0.1155,0.007659819808988513,0.12276674311886389,AT_FLOOR
0,RL,ELU1,LR,EL,0.33031041324138644,0.1155,0.007659819808988513,0.12276674311886389,ABOVE_FLOOR
0,RL,LR,ELU1,LE,0.10228020697832108,0.1155,0.007659819808988513,0.12276674311886389,AT_FLOOR
0,RL,LR,LR,LL,0.48426041603088377,0.1155,0.007659819808988513,0.12276674311886389,ABOVE_FLOOR
0,PM,ELU1,ELU1,EE,0.9887510299682617,0.11916666666666667,0.0,0.11916666666666667,ABOVE_FLOOR
0,PM,ELU1,LR,EL,0.989473956823349,0.11916666666666667,0.0,0.11916666666666667,ABOVE_FLOOR
0,PM,LR,ELU1,LE,0.9870468556880951,0.11916666666666667,0.0,0.11916666666666667,ABOVE_FLOOR
0,PM,LR,LR,LL,0.9855156242847443,0.11916666666666667,0.0,0.11916666666666667,ABOVE_FLOOR
1,RL,ELU1,ELU1,EE,0.10231562331318855,0.11583333333333334,0.005226357700618547,0.12079149159354785,AT_FLOOR
1,RL,ELU1,LR,EL,0.3049239546060562,0.11583333333333334,0.005226357700618547,0.12079149159354785,ABOVE_FLOOR
1,RL,LR,ELU1,LE,0.10307291522622108,0.11583333333333334,0.005226357700618547,0.12079149159354785,AT_FLOOR
1,RL,LR,LR,LL,0.4910020798444748,0.11583333333333334,0.005226357700618547,0.12079149159354785,ABOVE_FLOOR
1,PM,ELU1,ELU1,EE,0.9883926928043365,0.11416666666666668,1.4628472785736255e-17,0.1141666666666667,ABOVE_FLOOR
1,PM,ELU1,LR,EL,0.9892124891281128,0.11416666666666668,1.4628472785736255e-17,0.1141666666666667,ABOVE_FLOOR
1,PM,LR,ELU1,LE,0.9875510215759278,0.11416666666666668,1.4628472785736255e-17,0.1141666666666667,ABOVE_FLOOR
1,PM,LR,LR,LL,0.9850926995277405,0.11416666666666668,1.4628472785736255e-17,0.1141666666666667,ABOVE_FLOOR
2,RL,ELU1,ELU1,EE,0.10209479108452797,0.11341666666666668,0.005068207611677103,0.11822479057891723,AT_FLOOR
2,RL,ELU1,LR,EL,0.30779999792575835,0.11341666666666668,0.005068207611677103,0.11822479057891723,ABOVE_FLOOR
2,RL,LR,ELU1,LE,0.10693854093551636,0.11341666666666668,0.005068207611677103,0.11822479057891723,AT_FLOOR
2,RL,LR,LR,LL,0.48927187025547025,0.11341666666666668,0.005068207611677103,0.11822479057891723,ABOVE_FLOOR
2,PM,ELU1,ELU1,EE,0.9882687509059906,0.11583333333333332,1.4628472785736255e-17,0.11583333333333333,ABOVE_FLOOR
2,PM,ELU1,LR,EL,0.98876873254776,0.11583333333333332,1.4628472785736255e-17,0.11583333333333333,ABOVE_FLOOR
2,PM,LR,ELU1,LE,0.9836062431335449,0.11583333333333332,1.4628472785736255e-17,0.11583333333333333,ABOVE_FLOOR
2,PM,LR,LR,LL,0.9839885354042053,0.11583333333333332,1.4628472785736255e-17,0.11583333333333333,ABOVE_FLOOR
