arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,gate_zero_frac_l1,sink_ratio_l1,p_pos_l1,fold_mean_l1,onesided_frac_l1,skew_l1,bias_over_sd_l1,bias_share_l1,abs_zbar_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,gate_zero_frac_l2,sink_ratio_l2,p_pos_l2,fold_mean_l2,onesided_frac_l2,skew_l2,bias_over_sd_l2,bias_share_l2,abs_zbar_l2,r_a1,w_norm_l1,w_norm_l2,w_norm_l3,m_l1,m_l2
CH,raw,0,0,0.001,12,none,0.9825604167,1,1,0,0,0.04616689309,22.4589653,-1.872908592,0.4941666722,47.63393567,0.5047083497,0.00188136159,0.4941666722,0.478575021,0,0.008839645423,0.03389557451,1.000001073,2.956439734,0,0,-1.474680781,42.86764526,-3.088004112,0.5074999928,84.99944016,0.4948833287,-0.03345987201,0.5074999928,0.4728166461,0,-0.2816999257,0.03642171621,-1.56131328e+12,3.088004112,0.006883073132,20.16447258,3.207113504,0.9512052536,16.30048943,17.4514122
CH,raw,0,0,0.001,13,none,0.9838604167,1,1,0,0,0.00818013493,20.77925873,-1.891815186,0.4933333397,48.09186012,0.5050916672,0.0004844307259,0.4933333397,0.4800249636,0,-0.01795332693,0.03741103038,0.9999993443,3.134695768,0,0,-1.727345824,44.46678925,-3.397173405,0.5049999952,85.14232321,0.4955916703,-0.03772607446,0.5049999952,0.4731416702,0,-0.247166723,0.03819647804,-1.698474885e+12,3.397173405,0.004348712042,20.5056591,3.319638968,0.9753993154,15.63654709,17.58173752
CH,raw,0,0,0.001,14,none,0.9831979167,1,1,0,0,-0.05907959118,20.43407822,-2.166503429,0.4925000072,48.81317292,0.5058833361,-0.003128557,0.4925000072,0.4789166451,0,-0.006897252519,0.04037566483,0.9999982715,3.415649414,0,0,-1.876292944,43.90050125,-3.453104258,0.4933333397,85.32347398,0.5016999841,-0.04118135199,0.4933333397,0.4749666452,0,-0.2258625329,0.04218829796,-1.852087337e+12,3.453104258,0.004672705662,20.90139771,3.405260801,0.9665141702,14.92644978,17.07552528
CH,raw,0,0,0.001,15,none,0.98524375,1,1,0,0,-0.08915615082,20.65808487,-2.222653389,0.4925000072,50.00865746,0.5078999996,-0.004451257177,0.4925000072,0.4787667096,0,-0.01185775828,0.04227674007,0.9999974966,3.571565866,0,0,-2.024450541,44.35396957,-3.735251188,0.5,85.77169926,0.5004749894,-0.04286023974,0.5,0.4761583209,0,-0.2680206299,0.04463481531,-1.979731149e+12,3.735251188,0.00275699771,21.20133972,3.513638735,1.003034115,14.40058804,17.43343163
CH,raw,0,0,0.001,16,none,0.9858041667,1,1,0,0,-0.1347501874,21.05538177,-2.363875628,0.4916666746,51.2754237,0.5079416633,-0.007198657375,0.4916666746,0.4777583182,0,0.005106922705,0.04370360076,0.9999844432,3.7821908,0,0,-2.149652243,44.49462128,-4.042902946,0.4900000095,85.8398022,0.5049833655,-0.04652233794,0.4900000095,0.472966671,0,-0.1930929571,0.04724783823,-2.102274687e+12,4.042902946,0.004922826309,21.54582214,3.56475997,0.9943445921,14.21843719,17.27025795
CH,raw,0,0,0.001,17,none,0.9846354167,1,1,0,0,-0.24033916,20.62268829,-2.556500673,0.4916666746,52.83690787,0.5103416443,-0.01117757335,0.4916666746,0.4759250283,0,0.01708614454,0.0472657904,-7181206016,3.8149333,0,0,-2.297350407,44.01166534,-4.132400036,0.4925000072,86.46699498,0.5076583624,-0.0530590266,0.4925000072,0.4751916528,0,-0.2127857804,0.05090603977,-2.240459571e+12,4.132400036,0.003438765882,21.79351425,3.578891516,0.9915136695,13.47968483,16.817873
CH,raw,0,0,0.001,18,none,0.986,1,1,0,0,-0.3256008625,20.26431847,-2.726322412,0.4866666794,53.91167414,0.5124999881,-0.01191129349,0.4866666794,0.4725333154,0,0.02563693374,0.05142726377,-7.781317837e+10,3.861915827,0,0,-2.38342309,43.17999649,-4.539717674,0.4900000095,86.71535268,0.5123333335,-0.05608262122,0.4900000095,0.4755333662,0,-0.1754328907,0.05522919446,-2.38479632e+12,4.539717674,0.001797528588,22.19011688,3.618810177,1.034777641,13.01738644,16.43786621
CH,raw,0,0,0.001,19,none,0.9860583333,1,1,0,0,-0.3540291488,20.21463966,-2.904951811,0.4883333445,53.53990372,0.5135916471,-0.0155011816,0.4883333445,0.4712916315,0,-8.328755939e-05,0.05455678701,-1.502595973e+11,4.144583225,0,0,-2.647564173,42.8642807,-4.472655773,0.4816666842,86.75496826,0.5170083642,-0.06113959104,0.4816666842,0.4727083445,0,-0.1720322967,0.05930939689,-2.542254686e+12,4.472655773,0.002316079801,22.34461021,3.614063501,1.035413623,12.81271172,16.40109634
CH,raw,0,0,0.001,20,none,0.98509375,1,1,0,0,-0.416590929,19.68279839,-3.158768415,0.4866666794,54.57145939,0.5144333243,-0.01869119518,0.4866666794,0.4703166783,0,-0.03081973828,0.05898406357,-2.176568852e+11,4.228027344,0,0,-2.70272851,42.61788177,-5.093601704,0.4800000191,85.99376425,0.5172750354,-0.06498829275,0.4800000191,0.4703083038,0,-0.2070053667,0.06308846921,-2.688696975e+12,5.093601704,0.003286196385,22.67954445,3.641508818,1.042677522,12.39490318,16.51879692
CH,raw,0,0,0.001,21,none,0.9854875,1,1,0,0,-0.5110509396,20.69778824,-3.418101072,0.4866666794,56.97541609,0.5144166946,-0.02141488716,0.4866666794,0.4709833562,0,-0.033716131,0.058058016,-2.578338939e+11,4.441792011,0,0,-2.797342539,43.37973404,-5.2033391,0.4808333516,86.22881318,0.5159916878,-0.06292506307,0.4808333516,0.4713583291,0,-0.1672767848,0.06453184783,-2.799374434e+12,5.2033391,0.00211624126,23.03716469,3.661362886,1.03380537,12.1749897,16.77830505
