unit,cnorm,raw_norm,row_mean,bias,current_z_mean,current_z_sd,ref_z_mean,ref_z_sd,h05,h1,h2,dce,w2col,dce_rank,w2_rank,target,matched,random,shallow,shallow_matched
0,3.960997620472453,3.9642453611192474,-0.0057297929948729185,0.06899212300777435,-0.7449492574378382,2.1008343507921348,-0.8586060222705783,1.3085183568353531,0.284423828125,0.514404296875,0.804443359375,-0.0036796480417251587,1.7955364762028325,0.8181818181818182,0.9494949494949495,0,0,0,1,0
1,3.6245017309101115,3.7105804059087997,-0.028378683599431517,0.17809930443763733,-2.8773018261708785,1.4755174020678028,-2.9235805797288776,1.5267630702288995,0.03369140625,0.08544921875,0.300537109375,-1.4394521713256836e-05,1.446299878025683,0.12121212121212122,0.3939393939393939,0,0,0,0,0
2,3.681545499827738,3.8402149813067,-0.039016510034779996,0.0793858990073204,-2.9005196979705943,2.53499827129109,-4.0579021222292795,1.7706268535095673,0.006103515625,0.01904296875,0.1044921875,0.0024862736463546753,1.7045943450845293,0.7272727272727273,0.8686868686868687,0,0,0,0,0
3,3.968210519437388,3.9685671082606078,-0.0018999752262191447,0.2718338072299957,0.9578814900596626,2.0915522854388415,0.0488593379050144,1.1009939659831764,0.368896484375,0.650146484375,0.92822265625,0.007759898900985718,1.7399436285173373,0.9494949494949495,0.9191919191919192,0,0,0,1,0
4,3.7873807983037664,3.7881914535388828,-0.00279877371674873,0.05488153547048569,1.1768311608830118,1.4095927457617985,-0.4024001508219044,1.2648456370618097,0.264892578125,0.518798828125,0.869384765625,0.006927475333213806,1.6626280119612398,0.9191919191919192,0.8181818181818182,0,0,0,1,0
5,2.103317788099889,3.5323243401294833,-0.10135164038052719,-0.3807564079761505,-12.679659712128341,3.889200251049783,-11.01822103903396,3.80870564670243,0.0,0.0,0.0,-1.9371509552001953e-07,0.9949213078572591,0.010101010101010102,0.0,0,0,0,0,0
6,3.6413793682525766,3.8033052403787977,-0.039212383637797235,0.137917622923851,-4.333096346381353,1.8899319189222814,-4.0082103040476795,1.7676571909036642,0.007080078125,0.022216796875,0.1171875,4.9740076065063477e-05,1.3362186188524916,0.15151515151515152,0.2222222222222222,0,0,0,0,0
7,3.815576977399049,3.837367617704999,0.014584490073558503,0.1177835762500763,1.6374659100838471,2.0535617046399213,2.0069923792234476,1.2949749199875613,0.08837890625,0.2265625,0.5302734375,0.0007644742727279663,1.6485431632423801,0.5050505050505051,0.7777777777777778,0,0,0,0,0
8,4.103904905177345,4.144172166621254,-0.020582322136115924,-0.0781252309679985,-1.5974547788646305,1.8616011266816679,-2.139520869651278,1.4398650198412732,0.098388671875,0.22021484375,0.50244140625,0.002694159746170044,1.3465889676265845,0.7474747474747475,0.23232323232323232,0,0,1,0,1
9,3.989010655802419,3.9894437041735493,-0.0020992760732116613,-0.06980951130390167,-0.007373059954261407,1.8261894959823382,-0.27547092741042434,1.1881676053856196,0.3271484375,0.605224609375,0.902099609375,0.0032866746187210083,1.4540157977725636,0.7676767676767676,0.43434343434343436,0,0,0,1,0
10,3.749761169530149,3.920216963769217,-0.04083616179737799,-0.07029163092374802,-5.012413651915267,1.819936405278375,-4.5946982698933425,1.9036848377965108,0.00146484375,0.0078125,0.0732421875,5.4463744163513184e-05,1.4477734723607807,0.16161616161616163,0.40404040404040403,0,0,0,0,0
11,3.7337130214422105,3.755038401689641,-0.014272336221529375,-0.0014783160295337439,-0.8658525433402247,1.6263574741552647,-1.4152028850500074,1.2368051205550852,0.175048828125,0.344970703125,0.69482421875,0.001035258173942566,1.4145239029589958,0.5252525252525253,0.3333333333333333,0,0,0,0,0
12,3.773806812533975,3.8790867438060626,-0.03205734871583872,0.08487259596586227,-3.833023047540337,1.5913997952026482,-3.0613780649055116,1.6852288615011977,0.032958984375,0.090576171875,0.286865234375,0.0002073347568511963,1.5327592113564286,0.2828282828282828,0.5353535353535354,0,0,0,0,0
13,3.92203957234088,4.0227917848319805,-0.03195299754996977,-0.04049242287874222,-3.357065428979695,1.5988825646130502,-3.545255691175953,1.6689721031701419,0.015380859375,0.041015625,0.172607421875,-8.508563041687012e-06,1.3708200777871322,0.08080808080808081,0.2828282828282828,0,0,0,0,0
14,3.5397652073937342,3.572016993746698,-0.017104409270860762,0.17470267415046692,-1.0849400101578794,1.556503873323332,-1.4260788451429107,1.1941745165924824,0.19189453125,0.384521484375,0.706298828125,0.0034975409507751465,1.2240280940267263,0.7878787878787878,0.09090909090909091,0,0,0,0,1
15,3.899772994800848,3.9216627298158278,-0.014777652885585463,0.0012712626485154033,-0.8354866353113266,1.7881730877054454,-1.6191796047056926,1.255868617807908,0.15380859375,0.3037109375,0.63623046875,0.0002421736717224121,1.2645719253905956,0.32323232323232326,0.16161616161616163,0,0,0,0,0
16,4.084422123162683,4.1798057453710245,-0.03170881526291071,0.0335247702896595,-0.9359081066722865,2.4199134826198616,-2.8983259972078486,1.7167992410849209,0.0546875,0.122802734375,0.312744140625,0.00294455885887146,1.734285190215935,0.7575757575757576,0.9090909090909091,0,0,0,0,1
17,3.6306584584110912,3.7183907497330693,-0.028677235471205882,0.14089536666870117,-4.493183470331132,1.6038031816300904,-2.595962522977061,1.4030049155417426,0.04443359375,0.117431640625,0.3701171875,-0.00011204183101654053,1.6116985962975476,0.20202020202020202,0.7373737373737373,0,0,0,0,1
