arm,seed,checkpoint,branch,n_frozen,cohort_status,auc_ce,task1_auc_ce,tasks2to10_auc_ce,heldout_ce,heldout_acc
ELU1,1,20,NONE,0,COHORT_TOO_SMALL,0.49828990992307653,0.5267034850120544,0.4951328460243013,0.25636639147996904,0.919919902086258
ELU1,1,20,TARGET,1,COHORT_TOO_SMALL,0.4988023801326752,0.5275667613744736,0.4956063377724753,0.25702695548534393,0.9192980587482452
ELU1,1,20,MATCHED,1,COHORT_TOO_SMALL,0.497021702671051,0.5267854093313217,0.49371462415324313,0.25666807740926745,0.9198777377605438
ELU1,1,20,RANDOM,1,COHORT_TOO_SMALL,0.4984012770831584,0.5271111352443695,0.4952112928430239,0.25648541152477267,0.9194877743721008
ELU1,1,20,SHALLOW,25,COHORT_TOO_SMALL,0.5211463199913502,0.5976584547758103,0.5126449716819657,0.2679469034075737,0.9168528735637664
ELU1,1,20,SHALLOW_MATCHED,25,COHORT_TOO_SMALL,0.524378430044651,0.5709905492067338,0.5191993056933085,0.27524245381355283,0.9141863465309144
ELU1,1,100,NONE,0,EXISTS,0.5945506681799888,0.5724516966342926,0.597006109462844,0.31039978563785553,0.9041842341423034
ELU1,1,100,TARGET,9,EXISTS,0.612598581969738,0.5965640001296997,0.6143802021741867,0.3163166165351868,0.9018444359302521
ELU1,1,100,MATCHED,9,EXISTS,0.6154528365850449,0.5835567833185196,0.6189968425035477,0.3179520219564438,0.9018128216266632
ELU1,1,100,RANDOM,9,EXISTS,0.6060627624988555,0.5772703770399094,0.6092619164387385,0.3178765892982483,0.9018866002559662
ELU1,1,100,SHALLOW,25,EXISTS,0.643668822312355,0.6597308483123779,0.641884152756797,0.3319729119539261,0.8970699846744538
ELU1,1,100,SHALLOW_MATCHED,25,EXISTS,0.6302594178795815,0.6245741709470749,0.6308911119831934,0.3350609093904495,0.8964797675609588
